Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
322,Javon Small,23.0,MEM,PG,8.0,0.0,12.4,1.3,3.5,0.357,0.8,2.4,0.316,0.5,1.1,0.444,0.464,1.0,1.3,0.8,0.1,0.9,1.0,2.8,0.0,0.1,1.0,0.9,4.3,
323,Gabe Vincent,29.0,LAL,PG,4.0,3.0,22.0,1.3,4.0,0.313,1.0,3.3,0.308,0.3,0.8,0.333,0.438,0.8,0.8,1.0,0.3,0.5,0.8,2.0,0.8,0.0,0.5,2.5,4.3,
324,Nicolas Batum,37.0,LAC,PF,14.0,2.0,17.9,1.4,4.1,0.333,1.2,3.7,0.327,0.1,0.4,0.4,0.482,0.3,0.3,1.0,0.4,2.5,2.9,0.8,0.9,0.6,0.6,2.0,4.2,
325,Kelly Olynyk,34.0,SAS,C,5.0,0.0,11.2,1.6,2.8,0.571,0.4,1.0,0.4,1.2,1.8,0.667,0.643,0.6,0.8,0.75,1.0,2.2,3.2,3.2,0.4,0.0,0.8,1.8,4.2,
326,Moussa Cisse,23.0,DAL,C,12.0,1.0,11.6,1.7,2.5,0.667,0.0,0.0,,1.7,2.5,0.667,0.667,0.8,2.1,0.36,1.8,2.0,3.8,0.1,0.3,1.3,0.9,2.0,4.1,
327,Liam McNeeley,20.0,CHO,SF,9.0,0.0,12.4,1.0,3.2,0.31,0.7,2.0,0.333,0.3,1.2,0.273,0.414,1.4,1.7,0.867,0.4,1.4,1.9,1.2,0.2,0.1,0.6,1.6,4.1,
328,Robert Williams,28.0,POR,C,9.0,0.0,12.0,2.0,3.1,0.643,0.1,0.3,0.333,1.9,2.8,0.68,0.661,0.0,0.1,0.0,1.8,1.9,3.7,0.7,0.7,0.6,0.3,0.9,4.1,
329,Koby Brea,23.0,PHO,SG,1.0,0.0,4.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,
330,Javonte Cooke,26.0,POR,SG,1.0,0.0,9.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,
331,Olivier-Maxence Prosper,23.0,MEM,PF,9.0,0.0,8.4,1.1,2.2,0.5,0.0,0.6,0.0,1.1,1.7,0.667,0.5,1.8,1.8,1.0,0.7,1.3,2.0,0.6,0.1,0.1,0.4,0.4,4.0,
332,James Wiseman,24.0,IND,C,1.0,1.0,20.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0,
333,Jamison Battle,24.0,TOR,SF,11.0,0.0,7.0,1.5,2.2,0.667,1.0,1.5,0.647,0.5,0.6,0.714,0.896,0.0,0.0,,0.1,0.9,1.0,0.2,0.2,0.1,0.4,0.5,3.9,
334,Bones Hyland,25.0,MIN,PG,13.0,0.0,9.1,1.5,3.2,0.488,0.6,1.9,0.32,0.9,1.2,0.75,0.585,0.2,0.3,0.75,0.2,1.0,1.2,1.4,0.5,0.0,0.6,1.1,3.9,
335,Chaz Lanier,24.0,DET,SG,11.0,0.0,11.6,1.3,3.6,0.35,1.1,3.3,0.333,0.2,0.4,0.5,0.5,0.3,0.3,1.0,0.5,0.7,1.3,0.9,0.3,0.0,0.1,0.3,3.9,
336,Terrence Shannon Jr.,25.0,MIN,SG,7.0,0.0,16.4,1.3,4.0,0.321,0.6,1.6,0.364,0.7,2.4,0.294,0.393,0.7,1.0,0.714,0.4,2.0,2.4,1.1,0.6,0.0,0.9,1.6,3.9,
337,Malaki Branham,22.0,WAS,SG,5.0,0.0,6.8,1.2,2.2,0.545,0.2,1.0,0.2,1.0,1.2,0.833,0.591,1.2,1.6,0.75,0.6,1.0,1.6,0.6,0.0,0.0,0.2,0.4,3.8,
338,Yanic Konan Niederhauser,22.0,LAC,C,5.0,0.0,4.4,1.4,1.6,0.875,0.0,0.0,,1.4,1.6,0.875,0.875,1.0,1.6,0.625,0.6,0.6,1.2,0.4,0.0,0.2,0.2,0.4,3.8,
339,Mitchell Robinson,27.0,NYK,C,8.0,8.0,17.1,1.8,2.9,0.609,0.0,0.0,,1.8,2.9,0.609,0.609,0.3,1.1,0.222,5.4,3.5,8.9,1.0,0.5,1.0,0.8,2.6,3.8,
340,Mark Sears,23.0,MIL,PG,5.0,0.0,4.2,1.0,1.8,0.556,0.6,1.0,0.6,0.4,0.8,0.5,0.722,1.2,1.6,0.75,0.2,0.0,0.2,0.2,0.0,0.0,0.8,0.6,3.8,
341,Clint Capela,31.0,HOU,C,12.0,0.0,10.2,1.5,2.3,0.643,0.0,0.0,,1.5,2.3,0.643,0.643,0.7,0.8,0.8,2.3,2.2,4.5,0.3,0.3,0.6,0.4,1.0,3.7,
342,Larry Nance Jr.,33.0,CLE,PF,12.0,1.0,15.1,1.5,4.4,0.34,0.6,2.2,0.269,0.9,2.3,0.407,0.406,0.1,0.3,0.333,0.8,2.3,3.2,1.3,0.5,0.2,0.8,2.8,3.7,
343,Duop Reath,29.0,POR,C,11.0,0.0,7.6,1.3,2.2,0.583,1.2,2.0,0.591,0.1,0.2,0.5,0.854,0.0,0.0,,0.1,0.5,0.5,0.4,0.0,0.1,0.1,0.7,3.7,
344,Julian Strawther,23.0,DEN,SG,9.0,0.0,7.9,1.2,3.3,0.367,0.2,1.8,0.125,1.0,1.6,0.643,0.4,1.0,1.4,0.692,0.0,1.6,1.6,0.4,0.0,0.1,0.3,0.7,3.7,
345,Ja'Kobe Walter,21.0,TOR,SG,12.0,0.0,11.5,1.2,3.0,0.389,0.8,2.2,0.346,0.4,0.8,0.5,0.514,0.5,0.6,0.857,0.5,0.8,1.3,0.6,0.8,0.1,0.8,1.8,3.6,
346,Charles Bassey,25.0,MEM,C,2.0,0.0,15.5,1.5,4.0,0.375,0.0,0.0,,1.5,4.0,0.375,0.375,0.5,1.5,0.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,
347,Jordan McLaughlin,29.0,SAS,PG,8.0,0.0,9.3,1.3,3.0,0.417,0.6,1.9,0.333,0.6,1.1,0.556,0.521,0.4,0.4,1.0,0.4,0.4,0.8,1.3,0.9,0.0,0.3,0.9,3.5,
348,Micah Peavy,24.0,NOP,SG,11.0,0.0,12.3,1.5,3.6,0.4,0.3,1.4,0.2,1.2,2.3,0.52,0.438,0.4,0.5,0.8,1.1,1.3,2.4,1.0,0.1,0.1,0.2,1.5,3.5,
349,Jabari Walker,23.0,PHI,PF,14.0,5.0,12.9,1.4,3.1,0.455,0.2,0.9,0.231,1.2,2.2,0.548,0.489,0.3,0.4,0.8,1.5,1.8,3.3,0.5,0.1,0.3,0.4,1.7,3.4,
350,Ben Saraf,19.0,BRK,SG,7.0,5.0,13.9,1.0,3.9,0.259,0.4,1.9,0.231,0.6,2.0,0.286,0.315,0.9,1.1,0.75,0.4,1.4,1.9,2.4,0.3,0.0,1.3,1.9,3.3,
351,Tristan Vukcevic,22.0,WAS,C,11.0,0.0,7.2,1.1,2.7,0.4,0.4,1.3,0.286,0.7,1.5,0.5,0.467,0.7,1.1,0.667,0.3,1.0,1.3,0.5,0.1,0.4,0.7,1.1,3.3,
352,Sidy Cissoko,21.0,POR,SF,10.0,1.0,13.9,1.1,2.8,0.393,0.3,1.2,0.25,0.8,1.6,0.5,0.446,0.7,1.1,0.636,0.8,1.4,2.2,1.1,0.6,0.0,0.6,2.0,3.2,
353,Ryan Nembhard,22.0,DAL,PG,5.0,0.0,9.0,1.4,3.0,0.467,0.0,0.8,0.0,1.4,2.2,0.636,0.467,0.4,0.6,0.667,0.2,0.0,0.2,1.8,0.0,0.0,1.2,0.6,3.2,
354,Branden Carlson,26.0,OKC,C,11.0,0.0,8.3,1.3,3.0,0.424,0.4,1.5,0.25,0.9,1.5,0.588,0.485,0.2,0.4,0.5,0.5,1.5,2.0,0.5,0.2,0.5,0.3,1.1,3.1,
355,Tidjane Salaün,20.0,CHO,PF,7.0,0.0,11.9,1.0,2.7,0.368,0.6,1.7,0.333,0.4,1.0,0.429,0.474,0.6,0.9,0.667,0.7,2.9,3.6,0.7,0.3,0.1,0.4,1.1,3.1,
356,Jamaree Bouyea,26.0,PHO,PG,1.0,0.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,
357,Myron Gardner,24.0,MIA,SF,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,
358,Hugo González,19.0,BOS,SF,11.0,1.0,12.4,1.3,2.8,0.452,0.5,0.9,0.5,0.8,1.9,0.429,0.532,0.0,0.1,0.0,0.7,1.3,2.0,0.6,0.8,0.2,0.5,1.8,3.0,
359,Isaiah Livers,27.0,PHO,PF,9.0,0.0,11.6,0.9,2.1,0.421,0.7,1.9,0.353,0.2,0.2,1.0,0.579,0.6,0.7,0.833,0.4,1.3,1.8,0.4,0.2,0.3,0.1,1.0,3.0,
360,Kyle Lowry,39.0,PHI,PG,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,
361,Bryce McGowens,23.0,NOP,SG,6.0,0.0,7.2,0.8,2.2,0.385,0.0,0.3,0.0,0.8,1.8,0.455,0.385,1.3,1.7,0.8,0.0,0.7,0.7,0.5,0.3,0.0,0.2,0.7,3.0,
362,Riley Minix,25.0,SAS,SF,3.0,0.0,2.7,1.3,2.0,0.667,0.3,1.0,0.333,1.0,1.0,1.0,0.75,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,
363,Monte Morris,30.0,IND,PG,6.0,0.0,10.8,1.2,3.3,0.35,0.3,1.3,0.25,0.8,2.0,0.417,0.4,0.3,0.7,0.5,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,3.0,
364,Adou Thiero,21.0,LAL,SF,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,3.0,
365,Yang Hansen,20.0,POR,C,7.0,0.0,7.1,1.0,2.9,0.35,0.0,0.9,0.0,1.0,2.0,0.5,0.35,0.9,1.0,0.857,0.7,0.9,1.6,0.6,0.0,0.4,1.0,0.7,2.9,
366,Baylor Scheierman,25.0,BOS,SG,11.0,0.0,10.3,1.0,1.8,0.55,0.8,1.5,0.529,0.2,0.3,0.667,0.775,0.1,0.1,1.0,0.5,1.6,2.1,0.5,0.3,0.1,0.2,0.9,2.9,
367,Jett Howard,22.0,ORL,SF,10.0,0.0,8.4,1.0,2.9,0.345,0.8,2.2,0.364,0.2,0.7,0.286,0.483,0.0,0.0,,0.1,0.5,0.6,0.7,0.1,0.3,0.1,0.5,2.8,
368,David Jones García,24.0,SAS,SF,4.0,0.0,4.5,1.3,2.0,0.625,0.0,0.0,,1.3,2.0,0.625,0.625,0.3,0.8,0.333,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.5,2.8,
369,Bobi Klintman,22.0,DET,SF,6.0,0.0,8.8,1.2,3.5,0.333,0.5,1.8,0.273,0.7,1.7,0.4,0.405,0.0,0.5,0.0,0.8,1.8,2.7,0.7,0.3,0.0,0.8,1.5,2.8,
370,Gary Payton II,33.0,GSW,SG,16.0,0.0,10.4,1.2,2.8,0.432,0.3,1.1,0.222,0.9,1.6,0.577,0.477,0.1,0.1,1.0,0.9,1.9,2.8,1.0,0.7,0.4,0.5,1.3,2.8,
371,Cody Williams,21.0,UTA,SG,9.0,0.0,13.1,1.2,3.3,0.367,0.2,1.6,0.143,1.0,1.8,0.563,0.4,0.1,0.3,0.333,0.2,0.7,0.9,0.4,0.3,0.2,0.3,1.6,2.8,
372,Ochai Agbaji,25.0,TOR,SG,9.0,1.0,13.9,1.0,2.8,0.36,0.1,1.3,0.083,0.9,1.4,0.615,0.38,0.6,0.9,0.625,0.2,1.9,2.1,0.7,0.6,0.1,0.3,1.8,2.7,
373,Justin Champagnie,24.0,WAS,SF,12.0,3.0,8.4,0.7,2.1,0.32,0.2,0.8,0.2,0.5,1.3,0.4,0.36,1.2,1.4,0.824,1.4,1.4,2.8,0.3,0.3,0.0,0.2,1.0,2.7,
374,Johnny Furphy,21.0,IND,SG,3.0,0.0,12.3,1.0,2.0,0.5,0.7,1.0,0.667,0.3,1.0,0.333,0.667,0.0,0.0,,0.3,1.7,2.0,0.0,0.7,0.0,1.0,1.3,2.7,
375,Eric Gordon,37.0,PHI,SG,3.0,0.0,7.0,1.0,1.7,0.6,0.7,1.3,0.5,0.3,0.3,1.0,0.8,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.7,2.7,
376,Ron Harper Jr.,25.0,BOS,SF,3.0,0.0,5.0,1.0,2.3,0.429,0.7,2.0,0.333,0.3,0.3,1.0,0.571,0.0,0.0,,0.3,0.7,1.0,1.0,0.0,0.3,0.0,0.7,2.7,
377,Jalen Pickett,26.0,DEN,SG,7.0,1.0,7.6,1.0,2.1,0.467,0.4,1.0,0.429,0.6,1.1,0.5,0.567,0.1,0.1,1.0,0.3,0.7,1.0,1.0,0.0,0.0,0.6,0.6,2.6,
378,Dalen Terry,23.0,CHI,SG,9.0,0.0,8.4,1.0,2.1,0.474,0.2,0.8,0.286,0.8,1.3,0.583,0.526,0.3,0.8,0.429,0.2,0.8,1.0,1.4,0.4,0.3,0.3,0.8,2.6,
379,Guerschon Yabusele,30.0,NYK,C,13.0,0.0,10.2,0.9,2.9,0.316,0.5,2.1,0.259,0.4,0.8,0.455,0.408,0.2,0.5,0.5,1.0,1.5,2.5,0.4,0.2,0.2,0.2,1.1,2.6,
380,Gary Harris,31.0,MIL,SG,8.0,0.0,9.5,1.0,2.1,0.471,0.5,1.3,0.4,0.5,0.9,0.571,0.588,0.0,0.0,,0.1,0.4,0.5,0.5,0.6,0.3,0.3,0.8,2.5,
381,Kevon Looney,29.0,NOP,C,8.0,6.0,13.0,1.0,3.0,0.333,0.1,0.8,0.167,0.9,2.3,0.389,0.354,0.4,0.8,0.5,1.8,2.1,3.9,1.5,0.3,0.5,0.6,2.0,2.5,
382,Drew Peterson,26.0,CHO,PF,2.0,0.0,17.5,1.0,4.5,0.222,0.0,3.0,0.0,1.0,1.5,0.667,0.222,0.5,1.0,0.5,0.5,1.5,2.0,0.5,0.5,0.5,0.0,0.5,2.5,
383,Xavier Tillman Sr.,27.0,BOS,C,8.0,0.0,8.1,1.1,2.3,0.5,0.3,1.0,0.25,0.9,1.3,0.7,0.556,0.0,0.0,,0.9,1.3,2.1,0.6,0.4,0.1,0.1,0.9,2.5,
384,Lindy Waters III,28.0,SAS,SG,6.0,0.0,7.7,0.8,2.0,0.417,0.8,2.0,0.417,0.0,0.0,,0.625,0.0,0.0,,0.0,1.2,1.2,0.5,0.0,0.0,0.0,0.7,2.5,
385,Chris Boucher,33.0,BOS,PF,7.0,0.0,10.9,1.0,3.1,0.318,0.1,1.7,0.083,0.9,1.4,0.6,0.341,0.3,0.3,1.0,0.3,2.1,2.4,0.3,0.6,0.7,0.1,2.1,2.4,
386,Carter Bryant,20.0,SAS,PF,9.0,0.0,6.9,0.9,2.9,0.308,0.3,1.6,0.214,0.6,1.3,0.417,0.365,0.3,0.3,1.0,0.1,1.0,1.1,0.0,0.2,0.1,0.4,0.6,2.4,
387,Ousmane Dieng,22.0,OKC,C,12.0,0.0,11.3,0.9,3.0,0.306,0.3,1.4,0.176,0.7,1.6,0.421,0.347,0.3,0.3,1.0,0.3,1.4,1.8,0.7,0.1,0.4,0.5,0.8,2.4,
388,Jeff Green,39.0,HOU,PF,5.0,0.0,4.2,0.8,1.2,0.667,0.8,1.2,0.667,0.0,0.0,,1.0,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.4,2.4,
389,Elijah Harkless,25.0,UTA,SG,7.0,0.0,9.4,0.6,1.6,0.364,0.3,1.0,0.286,0.3,0.6,0.5,0.455,1.0,1.3,0.778,0.3,0.6,0.9,0.7,0.6,0.0,0.4,1.4,2.4,
390,Jonathan Isaac,28.0,ORL,PF,14.0,0.0,9.5,0.8,2.2,0.355,0.3,1.4,0.211,0.5,0.9,0.583,0.419,0.6,0.9,0.667,0.6,2.1,2.8,0.1,0.4,0.4,0.3,0.7,2.4,
391,John Konchar,29.0,MEM,SG,13.0,0.0,11.6,0.9,1.8,0.5,0.5,1.2,0.375,0.5,0.6,0.75,0.625,0.1,0.1,1.0,0.3,2.0,2.3,1.1,0.8,0.4,0.3,0.8,2.4,
392,E.J. Liddell,25.0,BRK,PF,5.0,0.0,5.0,0.8,2.2,0.364,0.4,1.6,0.25,0.4,0.6,0.667,0.455,0.4,0.6,0.667,0.2,1.2,1.4,0.0,0.0,0.0,0.0,0.8,2.4,
393,Noah Penda,21.0,ORL,SF,7.0,0.0,6.7,0.9,1.6,0.545,0.3,0.3,1.0,0.6,1.3,0.444,0.636,0.4,0.6,0.75,0.9,1.0,1.9,0.9,0.1,0.3,0.4,0.9,2.4,
394,Caleb Houstan,23.0,ATL,SF,6.0,0.0,5.8,0.7,1.7,0.4,0.5,1.2,0.429,0.2,0.5,0.333,0.55,0.5,0.5,1.0,0.5,0.0,0.5,0.3,0.2,0.2,0.5,0.8,2.3,
395,Tyler Kolek,24.0,NYK,PG,10.0,0.0,6.7,1.0,2.4,0.417,0.3,1.3,0.231,0.7,1.1,0.636,0.479,0.0,0.0,,0.2,0.3,0.5,1.3,0.1,0.0,0.6,0.9,2.3,
396,Chris Paul,40.0,LAC,PG,9.0,0.0,12.7,0.8,3.0,0.259,0.7,2.2,0.3,0.1,0.8,0.143,0.37,0.1,0.1,1.0,0.6,1.2,1.8,3.2,1.0,0.0,0.8,1.7,2.3,
397,Dwight Powell,34.0,DAL,C,12.0,0.0,9.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,1.3,1.5,0.833,1.0,1.2,2.2,0.7,0.3,0.2,0.4,2.1,2.3,
398,Adem Bona,22.0,PHI,C,12.0,3.0,14.8,0.8,1.7,0.45,0.0,0.1,0.0,0.8,1.6,0.474,0.45,0.7,1.3,0.5,1.3,2.2,3.4,0.3,0.4,1.7,0.6,1.5,2.2,
399,JD Davison,23.0,HOU,PG,5.0,0.0,4.8,0.8,1.6,0.5,0.6,1.2,0.5,0.2,0.4,0.5,0.688,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.4,2.2,
400,Will Riley,19.0,WAS,SF,9.0,0.0,7.1,0.9,2.0,0.444,0.1,0.4,0.25,0.8,1.6,0.5,0.472,0.3,0.7,0.5,0.3,1.2,1.6,0.8,0.2,0.0,0.2,0.2,2.2,
401,Gui Santos,23.0,GSW,PF,13.0,1.0,7.3,0.8,2.2,0.357,0.5,1.7,0.273,0.3,0.5,0.667,0.464,0.2,0.3,0.5,0.8,0.8,1.7,0.2,0.3,0.1,0.5,1.3,2.2,
402,Kobe Brown,26.0,LAC,PF,7.0,0.0,8.6,0.7,1.6,0.455,0.1,0.9,0.167,0.6,0.7,0.8,0.5,0.6,0.6,1.0,0.6,1.6,2.1,1.0,0.0,0.0,0.4,0.3,2.1,
403,Devin Carter,23.0,SAC,PG,8.0,0.0,8.1,0.6,2.6,0.238,0.3,1.4,0.182,0.4,1.3,0.3,0.286,0.6,0.6,1.0,0.4,1.1,1.5,1.1,0.8,0.1,0.8,1.0,2.1,
404,Bronny James,21.0,LAL,SG,10.0,1.0,11.1,0.8,2.7,0.296,0.3,1.1,0.273,0.5,1.6,0.313,0.352,0.2,0.2,1.0,0.4,0.5,0.9,1.8,0.8,0.1,0.8,1.2,2.1,
405,Joan Beringer,19.0,MIN,PF,9.0,0.0,4.1,0.9,1.2,0.727,0.0,0.0,,0.9,1.2,0.727,0.727,0.2,0.3,0.667,0.2,1.1,1.3,0.0,0.1,0.2,0.2,1.0,2.0,
406,Johni Broome,23.0,PHI,PF,2.0,0.0,3.0,1.0,2.5,0.4,0.0,0.5,0.0,1.0,2.0,0.5,0.4,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,
407,Thomas Bryant,28.0,CLE,C,10.0,0.0,6.5,1.0,2.4,0.417,0.0,1.1,0.0,1.0,1.3,0.769,0.417,0.0,0.3,0.0,0.5,1.2,1.7,0.1,0.3,0.3,0.1,0.7,2.0,
408,Hunter Dickinson,25.0,NOP,C,1.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,
409,Rasheer Fleming,21.0,PHO,PF,8.0,0.0,5.8,0.6,2.4,0.263,0.3,1.4,0.182,0.4,1.0,0.375,0.316,0.5,0.5,1.0,0.9,0.6,1.5,0.3,0.1,0.1,0.4,0.6,2.0,
410,GG Jackson II,21.0,MEM,PF,6.0,0.0,4.7,0.7,2.3,0.286,0.0,1.0,0.0,0.7,1.3,0.5,0.286,0.7,1.2,0.571,0.2,0.3,0.5,0.2,0.5,0.0,0.0,0.5,2.0,
411,Colby Jones,23.0,DET,SG,1.0,0.0,7.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,
412,Wendell Moore Jr.,24.0,DET,SG,3.0,0.0,14.3,1.0,2.0,0.5,0.0,0.3,0.0,1.0,1.7,0.6,0.5,0.0,0.0,,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.3,2.0,
413,Taelon Peter,23.0,IND,SG,10.0,0.0,9.0,0.6,2.4,0.25,0.5,2.2,0.227,0.1,0.2,0.5,0.354,0.3,0.3,1.0,0.4,1.0,1.4,1.3,0.2,0.2,0.8,0.5,2.0,
414,Daeqwon Plowden,27.0,SAC,SG,1.0,0.0,14.0,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
415,Jacob Toppin,25.0,ATL,SF,3.0,0.0,3.0,1.0,1.3,0.75,0.0,0.0,,1.0,1.3,0.75,0.75,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,2.0,
416,Jamir Watkins,24.0,WAS,SG,3.0,0.0,7.0,1.0,1.3,0.75,0.0,0.3,0.0,1.0,1.0,1.0,0.75,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.3,0.3,1.3,2.0,
417,PJ Hall,23.0,MEM,C,7.0,0.0,3.9,0.7,1.3,0.556,0.1,0.4,0.333,0.6,0.9,0.667,0.611,0.3,0.4,0.667,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,1.9,
418,Tyus Jones,29.0,ORL,PG,15.0,1.0,12.9,0.8,2.5,0.316,0.3,1.4,0.19,0.5,1.1,0.471,0.368,0.0,0.0,,0.2,0.7,0.9,1.5,0.7,0.1,0.4,0.6,1.9,
419,Khaman Maluach,19.0,PHO,C,7.0,0.0,5.0,0.4,1.0,0.429,0.0,0.4,0.0,0.4,0.6,0.75,0.429,1.0,1.1,0.875,0.1,0.7,0.9,0.1,0.0,0.6,0.7,1.1,1.9,
420,Leonard Miller,22.0,MIN,SF,8.0,0.0,4.6,0.8,1.5,0.5,0.0,0.6,0.0,0.8,0.9,0.857,0.5,0.4,0.6,0.6,0.1,1.3,1.4,0.5,0.3,0.0,0.5,0.8,1.9,
421,Zeke Nnaji,25.0,DEN,PF,7.0,1.0,6.9,0.6,1.4,0.4,0.1,0.9,0.167,0.4,0.6,0.75,0.45,0.6,0.7,0.8,0.1,0.7,0.9,0.3,0.3,0.1,0.3,1.3,1.9,
422,Anthony Gill,33.0,WAS,PF,5.0,0.0,2.6,0.6,0.8,0.75,0.2,0.2,1.0,0.4,0.6,0.667,0.875,0.4,0.4,1.0,0.2,0.6,0.8,0.0,0.0,0.0,0.4,0.2,1.8,
423,Maxi Kleber,34.0,LAL,PF,4.0,0.0,12.5,0.5,1.0,0.5,0.5,0.8,0.667,0.0,0.3,0.0,0.75,0.3,0.5,0.5,0.5,1.3,1.8,1.0,0.3,0.5,0.0,1.5,1.8,
424,Cody Martin,30.0,IND,SF,4.0,0.0,13.8,0.5,2.5,0.2,0.0,1.3,0.0,0.5,1.3,0.4,0.2,0.8,1.5,0.5,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,1.8,
425,Julian Phillips,22.0,CHI,SF,13.0,0.0,6.8,0.7,1.9,0.36,0.2,1.0,0.231,0.5,0.9,0.5,0.42,0.2,0.2,1.0,0.6,0.4,1.0,0.2,0.4,0.2,0.1,0.5,1.8,
426,Nolan Traoré,19.0,BRK,PG,4.0,0.0,8.8,0.5,2.3,0.222,0.5,1.5,0.333,0.0,0.8,0.0,0.333,0.3,0.5,0.5,0.0,0.3,0.3,1.3,0.5,0.0,0.5,1.3,1.8,
427,Dylan Cardwell,24.0,SAC,C,3.0,1.0,11.0,0.7,2.0,0.333,0.0,0.3,0.0,0.7,1.7,0.4,0.333,0.3,0.7,0.5,0.7,1.0,1.7,0.0,0.7,1.0,0.7,3.3,1.7,
428,Harrison Ingram,23.0,SAS,SF,3.0,0.0,3.7,0.7,1.0,0.667,0.3,0.3,1.0,0.3,0.7,0.5,0.833,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.7,
429,Caleb Martin,30.0,DAL,SF,13.0,0.0,10.0,0.5,1.7,0.318,0.1,0.5,0.143,0.5,1.2,0.4,0.341,0.5,0.6,0.875,0.7,1.0,1.7,1.1,0.4,0.2,0.5,1.8,1.7,
430,Dario Šarić,31.0,SAC,C,3.0,0.0,9.3,0.3,1.7,0.2,0.3,0.7,0.5,0.0,1.0,0.0,0.3,0.7,0.7,1.0,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.0,1.7,
431,Luke Travers,24.0,CLE,SG,6.0,0.0,7.8,0.3,2.7,0.125,0.0,1.0,0.0,0.3,1.7,0.2,0.125,1.0,1.0,1.0,0.7,1.2,1.8,0.7,0.5,0.7,0.2,0.3,1.7,
432,Amir Coffey,28.0,MIL,SG,13.0,0.0,9.8,0.6,1.5,0.421,0.2,0.6,0.25,0.5,0.8,0.545,0.474,0.2,0.2,1.0,0.3,0.8,1.1,0.5,0.0,0.1,0.1,0.5,1.6,
433,Nigel Hayes-Davis,31.0,PHO,SF,12.0,0.0,8.1,0.8,2.0,0.375,0.1,0.8,0.111,0.7,1.3,0.533,0.396,0.0,0.0,,0.6,0.8,1.3,0.4,0.4,0.0,0.4,0.8,1.6,
434,DaRon Holmes,23.0,DEN,PF,2.0,0.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,
435,Spencer Jones,24.0,DEN,SF,10.0,0.0,8.8,0.5,0.9,0.556,0.2,0.5,0.4,0.3,0.4,0.75,0.667,0.3,0.4,0.75,0.2,0.0,0.2,0.6,0.7,0.1,0.6,1.4,1.5,
