Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
246,Kris Dunn,31.0,LAC,PG,14.0,8.0,25.7,2.7,5.7,0.475,0.9,2.4,0.364,1.9,3.4,0.553,0.55,0.9,1.3,0.722,0.9,1.6,2.5,2.4,1.5,0.3,1.4,2.7,7.2,
247,Day'Ron Sharpe,24.0,BRK,C,13.0,0.0,15.8,2.7,4.2,0.636,0.2,0.9,0.25,2.5,3.3,0.744,0.664,1.5,2.3,0.667,2.4,3.0,5.4,1.9,1.0,0.5,1.9,2.5,7.2,
248,Luka Garza,27.0,BOS,C,14.0,0.0,14.6,2.6,4.4,0.581,0.6,1.5,0.381,2.0,2.9,0.683,0.645,1.4,1.9,0.769,2.4,1.8,4.2,0.8,0.4,0.4,0.4,3.1,7.1,
249,Sion James,23.0,CHO,SG,15.0,10.0,26.5,2.3,5.3,0.438,1.3,3.1,0.435,1.0,2.3,0.441,0.563,1.1,1.4,0.81,0.3,2.7,3.1,1.5,0.8,0.3,1.0,1.7,7.1,
250,Dalton Knecht,24.0,LAL,SF,14.0,1.0,17.8,2.8,6.0,0.464,1.1,3.3,0.326,1.7,2.7,0.632,0.554,0.4,0.6,0.667,0.6,1.6,2.2,0.6,0.5,0.4,0.6,1.4,7.1,
251,Precious Achiuwa,26.0,SAC,C,8.0,5.0,18.0,2.9,5.4,0.535,0.1,1.1,0.111,2.8,4.3,0.647,0.547,1.1,2.1,0.529,1.9,2.9,4.8,1.0,0.8,0.4,0.6,1.1,7.0,
252,Jevon Carter,30.0,CHI,PG,5.0,0.0,13.4,2.2,5.0,0.44,2.2,4.0,0.55,0.0,1.0,0.0,0.66,0.4,0.4,1.0,0.4,1.2,1.6,1.6,0.6,0.0,0.4,1.2,7.0,
253,Kobe Sanders,23.0,LAC,SG,6.0,1.0,16.7,2.3,5.7,0.412,1.3,3.5,0.381,1.0,2.2,0.462,0.529,1.0,1.2,0.857,0.8,0.8,1.7,1.3,0.7,0.0,1.0,2.3,7.0,
254,Nick Smith Jr.,21.0,LAL,SG,6.0,0.0,15.0,2.7,6.2,0.432,1.3,3.0,0.444,1.3,3.2,0.421,0.541,0.3,0.5,0.667,0.0,1.0,1.0,2.2,0.5,0.2,1.7,0.7,7.0,
255,Jordan Goodwin,27.0,PHO,PG,12.0,0.0,17.1,2.6,6.1,0.425,1.3,3.2,0.395,1.3,2.9,0.457,0.527,0.5,0.7,0.75,1.6,2.2,3.8,1.9,1.3,0.2,1.1,1.7,6.9,
256,Ben Sheppard,24.0,IND,SG,15.0,6.0,25.7,2.5,7.7,0.33,0.9,4.2,0.222,1.6,3.5,0.462,0.391,0.9,1.1,0.824,1.0,3.5,4.5,1.8,0.6,0.2,0.6,2.4,6.9,
257,Paul Reed,26.0,DET,C,13.0,2.0,12.5,3.0,4.3,0.696,0.3,0.6,0.5,2.7,3.7,0.729,0.732,0.5,0.9,0.583,1.9,2.5,4.4,1.2,1.1,0.8,1.1,1.8,6.8,
258,Jeremy Sochan,22.0,SAS,PF,8.0,0.0,16.5,2.5,4.1,0.606,0.9,1.6,0.538,1.6,2.5,0.65,0.712,0.9,1.1,0.778,0.5,2.6,3.1,1.6,0.4,0.3,1.3,2.9,6.8,
259,Keon Ellis,26.0,SAC,SG,15.0,2.0,18.2,2.3,5.3,0.443,1.6,3.7,0.429,0.7,1.5,0.478,0.595,0.5,0.7,0.7,0.3,1.3,1.6,0.6,1.4,0.3,0.5,2.3,6.7,
260,Nae'Qwan Tomlin,25.0,CLE,PF,7.0,1.0,13.7,2.6,5.3,0.486,0.0,1.9,0.0,2.6,3.4,0.75,0.486,1.6,2.0,0.786,2.0,1.1,3.1,0.6,0.9,0.7,0.3,2.3,6.7,
261,Bruce Brown,29.0,DEN,SG,14.0,0.0,22.8,2.4,5.5,0.442,0.6,1.6,0.391,1.8,3.9,0.463,0.5,1.1,1.4,0.789,1.1,3.1,4.2,1.4,0.9,0.1,0.9,2.4,6.6,
262,Sam Hauser,28.0,BOS,PF,15.0,2.0,21.5,2.2,6.9,0.32,2.0,6.0,0.333,0.2,0.9,0.231,0.466,0.2,0.3,0.75,0.7,2.7,3.5,1.4,0.6,0.3,0.7,0.9,6.6,
263,Brook Lopez,37.0,LAC,C,14.0,0.0,15.2,2.4,5.6,0.423,1.4,3.9,0.352,1.0,1.7,0.583,0.545,0.6,0.8,0.727,0.3,1.9,2.2,0.6,0.4,0.8,0.9,1.7,6.6,
264,Kyle Anderson,32.0,UTA,SF,4.0,0.0,17.3,2.5,5.5,0.455,0.0,0.0,,2.5,5.5,0.455,0.455,1.5,2.3,0.667,1.0,1.5,2.5,3.5,0.8,0.0,0.8,2.0,6.5,
265,Mouhamed Gueye,23.0,ATL,PF,15.0,2.0,16.9,2.7,5.5,0.5,0.7,2.6,0.282,2.0,2.9,0.698,0.567,0.3,0.7,0.5,1.5,2.8,4.3,1.4,0.4,0.6,0.9,2.0,6.5,
266,Lonzo Ball,28.0,CLE,PG,13.0,2.0,23.2,2.1,6.2,0.333,1.6,5.2,0.313,0.5,1.1,0.429,0.463,0.6,0.9,0.667,1.1,2.8,3.9,5.1,1.1,0.2,2.1,1.9,6.4,
267,Mike Conley,38.0,MIN,PG,15.0,5.0,20.6,1.8,4.3,0.415,1.3,2.9,0.455,0.5,1.4,0.333,0.569,1.5,1.6,0.917,0.4,1.5,1.9,3.7,0.8,0.2,0.9,1.8,6.4,
268,Aaron Holiday,29.0,HOU,PG,8.0,0.0,9.8,1.9,3.1,0.6,1.0,2.0,0.5,0.9,1.1,0.778,0.76,1.6,1.8,0.929,0.0,0.5,0.5,0.9,0.3,0.1,0.6,0.9,6.4,
269,Jay Huff,27.0,IND,C,15.0,2.0,15.3,2.3,5.7,0.4,1.1,3.9,0.293,1.1,1.8,0.63,0.5,0.7,1.1,0.688,0.9,2.1,3.0,0.9,0.1,1.9,0.6,2.1,6.4,
270,Justin Edwards,22.0,PHI,SF,12.0,2.0,14.8,2.2,4.9,0.441,1.3,3.3,0.4,0.8,1.6,0.526,0.576,0.6,0.6,1.0,0.7,1.2,1.8,1.3,0.3,0.2,0.6,2.1,6.3,
271,Drew Eubanks,28.0,SAC,C,15.0,4.0,15.2,2.7,4.1,0.645,0.0,0.1,0.0,2.7,4.1,0.656,0.645,1.0,2.1,0.484,0.7,2.1,2.8,0.3,0.6,0.9,0.9,1.3,6.3,
272,Jaden Hardy,23.0,DAL,SG,13.0,0.0,11.3,1.9,4.8,0.397,1.2,3.0,0.41,0.7,1.8,0.375,0.524,1.2,1.5,0.8,0.2,1.1,1.3,0.4,0.3,0.2,1.0,1.3,6.3,
273,Mac McClung,27.0,IND,SG,3.0,0.0,11.3,2.3,6.0,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1.0,1.3,0.75,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,
274,Walter Clayton,22.0,UTA,PG,11.0,0.0,16.2,2.0,4.9,0.407,0.9,2.6,0.345,1.1,2.3,0.48,0.5,1.3,1.3,1.0,0.5,1.8,2.4,3.2,0.5,0.3,1.4,1.8,6.2,
275,Steven Adams,32.0,HOU,C,12.0,3.0,22.3,2.3,4.6,0.491,0.0,0.0,,2.3,4.6,0.491,0.491,1.6,2.1,0.76,5.2,4.3,9.5,1.6,0.7,0.8,1.2,2.2,6.1,
276,Bub Carrington,20.0,WAS,PG,14.0,5.0,26.1,2.1,6.3,0.33,1.3,2.9,0.439,0.8,3.4,0.234,0.432,0.7,1.0,0.714,0.2,3.6,3.8,4.1,0.6,0.1,2.4,2.6,6.1,
