,,,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,#NAME?
Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
1,Precious Achiuwa,Projected,5.3,10.6,0.6,2,1.6,2.5,3.4,10,2,1.2,1.3,1.6,2.8,12.8,0.501,0.292,0.637,achiupr01
2,Steven Adams,Projected,4.5,8.5,0.3,0.9,1.9,4.1,6.5,13.6,3.1,1,1.2,2.4,2.8,11.3,0.532,0.328,0.479,adamsst01
3,Bam Adebayo,Projected,7.5,15,0.8,2.2,3.7,4.8,2.4,10.1,4.3,1.3,0.8,2.3,2.3,19.5,0.5,0.356,0.767,adebaba01
4,Ochai Agbaji,Projected,5.1,10.8,1.9,5.2,0.9,1.3,1.4,5,2.1,1.1,0.7,1.2,2.6,13.1,0.475,0.373,0.722,agbajoc01
5,Santi Aldama,Projected,6.3,13.3,2.5,6.7,1.5,2.2,1.9,8.5,3.6,1.1,0.8,1.5,1.9,16.7,0.475,0.367,0.696,aldamsa01
6,Trey Alexander,Projected,5.4,13,1.6,5.4,1.9,2.4,1.1,5.5,3.8,1,0.6,1.8,2.8,14.4,0.419,0.298,0.783,alexatr01
7,Nickeil Alexander-Walker,Projected,4.7,10.7,2.4,6.3,1.5,1.9,0.9,4.3,3.9,1,0.7,1.7,2.5,13.4,0.443,0.385,0.778,alexani01
8,Grayson Allen,Projected,5,10.8,3.1,7.2,2,2.4,0.8,4.5,3.2,1.1,0.5,1.6,2.3,15.1,0.464,0.431,0.84,allengr01
9,Jarrett Allen,Projected,7.2,10.8,0.1,0.3,3.2,4.3,3.4,12,2.7,1.1,1.2,1.6,2.1,17.6,0.666,0.267,0.731,allenja01
10,Jose Alvarado,Projected,5.4,13.3,2.8,7.6,1.6,2,0.8,4.1,5.9,1.9,0.4,2,2.7,15.1,0.405,0.363,0.782,alvarjo01
11,Kyle Anderson,Projected,4.7,10,0.7,2.1,1.9,2.6,1.5,6.5,5.8,1.4,1.1,1.7,2.8,11.9,0.467,0.339,0.727,anderky01
12,Giannis Antetokounmpo,Projected,11.9,20.1,0.4,1.6,6.9,10.9,2.4,12,6.6,1,1.1,3.4,2.7,31.2,0.593,0.266,0.632,antetgi01
13,Cole Anthony,Projected,6.7,15.2,2.1,5.8,3.1,3.8,1.3,6.2,5.2,1.3,0.8,2.6,3.8,18.6,0.439,0.355,0.833,anthoco01
14,OG Anunoby,Projected,6.4,13.3,2.2,5.9,2.2,2.7,1.3,4.8,2.3,1.5,0.8,1.5,2.4,17.2,0.478,0.375,0.803,anunoog01
15,Deni Avdija,Projected,6.5,13.3,1.8,5,4.1,5.3,1.7,8.7,4.6,1.1,0.6,2.9,2.9,18.9,0.488,0.368,0.772,avdijde01
16,Deandre Ayton,Projected,8.3,14.5,0.2,0.9,1.5,2,3.4,11.8,2,1,1,2,2.6,18.3,0.567,0.253,0.743,aytonde01
17,Marcus Bagley,Projected,4.9,11.2,1.2,4.9,1.7,2.2,2.7,8.8,2.5,1.3,1.3,1.4,2.4,12.7,0.435,0.253,0.793,baglema02
18,Marvin Bagley III,Projected,7.7,14,0.6,2.1,3.1,4.2,4.1,10.2,2,0.9,1.1,1.9,2.7,19.1,0.549,0.3,0.737,baglema01
19,Patrick Baldwin Jr.,Projected,5.6,12.4,2.8,7.1,1.6,2.2,1.4,8.1,2.5,1.2,0.9,1.6,3.2,15.5,0.451,0.398,0.713,baldwpa01
20,LaMelo Ball,Projected,9.4,22.4,4,11.5,4.4,5.1,1.2,5.8,8.2,1.4,0.3,3.8,3.6,27.2,0.42,0.353,0.847,ballla01
21,Lonzo Ball,Projected,4.5,11.6,2.9,8.4,1.3,1.6,1.2,5.7,5.1,2,0.8,1.9,2.6,13.2,0.387,0.346,0.802,balllo01
22,Mo Bamba,Projected,5,10.4,1.5,4.4,1.8,2.6,2.9,11.1,2.2,0.9,2.4,1.8,4.6,13.3,0.478,0.34,0.707,bambamo01
