RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
428,-0.53,Jaden Springer,,43,7.1,1.9,0.25,1.07,0.61,0.48,0.1,0.31,39%,1.65,76%,0.54,-1.16,-0.95,-0.84,-1.1,-0.5,-0.79,1.06,-0.34,-0.16
429,-0.53,AJ Johnson,,41,13.7,4.6,0.49,1.27,1.39,0.26,0.08,0.8,42%,4.26,82%,0.59,-0.75,-0.69,-0.42,-1.02,-1.06,-0.83,0.46,-0.51,0.01
430,-0.54,Kobe Brown,,46,8.1,2.8,0.23,1.64,0.69,0.23,0.11,0.42,50%,2.33,67%,0.32,-1.02,-0.97,-0.8,-0.87,-1.13,-0.76,0.93,0.1,-0.29
431,-0.54,RayJ Dennis,,15,9.2,3.1,0.61,1.12,1.54,0.33,0.07,0.58,37%,2.92,75%,0.44,-0.98,-0.56,-0.34,-1.08,-0.88,-0.86,0.73,-0.68,-0.18
432,-0.54,Andre Jackson Jr.,,28,9.1,2,0.19,1.75,0.76,0.35,0.13,0.52,49%,1.71,53%,0.21,-1.14,-1.02,-0.76,-0.82,-0.83,-0.72,0.8,0.02,-0.38
433,-0.54,Drake Powell,,48,10.8,2.8,0.53,1.39,0.5,0.27,0.2,0.33,40%,2.51,66%,0.41,-1.02,-0.64,-0.9,-0.97,-1.03,-0.55,1.04,-0.43,-0.35
434,-0.54,Keshad Johnson,,17,7.9,2.7,0.2,1.8,0.38,0.23,0.17,0.32,51%,2.08,64%,0.57,-1.04,-1,-0.96,-0.8,-1.13,-0.62,1.05,0.12,-0.48
435,-0.54,Isaiah Livers,Status$,15,8.8,2.6,0.57,1.05,0.29,0.22,0.16,0.27,42%,2.13,79%,0.26,-1.05,-0.6,-1.01,-1.11,-1.16,-0.65,1.11,-0.29,-0.12
436,-0.54,Ryan Nembhard,Status$,48,10.1,3.1,0.42,1,2.49,0.3,0.04,0.94,41%,2.83,75%,0.44,-0.98,-0.76,0.17,-1.13,-0.96,-0.93,0.29,-0.42,-0.18
437,-0.55,Drew Peterson,,17,6.9,2.5,0.64,1.47,0.39,0.19,0.08,0.29,41%,1.88,77%,0.38,-1.07,-0.53,-0.96,-0.94,-1.23,-0.83,1.08,-0.3,-0.14
438,-0.55,Chaz Lanier,,34,10.1,3.6,0.76,1.2,0.48,0.25,0.08,0.46,40%,3.17,79%,0.41,-0.9,-0.39,-0.91,-1.05,-1.08,-0.83,0.88,-0.53,-0.1
