RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
39,0.79,Coby White,,74,32.7,22.4,3.08,3.98,4.34,0.88,0.21,2.4,47%,15.6,90%,5.28,1.95,2.13,1.16,0.09,0.5,-0.53,-1.5,0,3.32
40,0.78,Myles Turner,,74,31.5,16.7,2.49,6.38,1.73,0.84,2.09,1.94,48%,12.09,77%,3.58,1.08,1.49,-0.24,1.07,0.4,3.91,-0.93,0.24,0
41,0.78,Franz Wagner,,74,34.3,22.5,1.98,5.89,4.17,1.22,0.37,2.21,47%,17.48,87%,4.54,1.96,0.94,1.07,0.87,1.36,-0.15,-1.26,0.01,2.19
42,0.76,Nikola Vučević,Status$,72,29.6,16.8,1.62,9.93,3.6,0.83,0.71,1.6,51%,13.63,81%,1.61,1.1,0.54,0.76,2.52,0.38,0.65,-0.52,1.17,0.22
43,0.75,Jalen Brunson,Status$,69,34.4,25.3,2.3,2.82,6.81,0.86,0.15,2.53,49%,17.67,83%,6.75,2.38,1.29,2.48,-0.38,0.45,-0.67,-1.66,0.77,2.06
44,0.75,Alperen Sengun,,74,31.5,21.7,0.45,10.63,7.63,1.25,0.96,2.6,51%,16.28,69%,6.91,1.84,-0.73,2.92,2.81,1.44,1.24,-1.74,1.4,-2.46
45,0.74,Walker Kessler,,62,30.5,11.8,0.13,12.36,1.76,0.68,2.39,1.61,68%,7.43,53%,2.91,0.34,-1.08,-0.22,3.52,0,4.61,-0.53,3.33,-3.33
46,0.73,Giannis Antetokounmpo,,70,33.4,31,0.41,11.89,7.09,0.92,1.12,3.31,60%,19.64,63%,11,3.25,-0.78,2.63,3.33,0.6,1.62,-2.61,5.52,-6.95
47,0.73,OG Anunoby,Status$,62,34.5,18.1,2.28,4.51,2.24,1.55,0.83,1.46,48%,13.74,81%,3.34,1.29,1.26,0.03,0.31,2.19,0.93,-0.35,0.29,0.62
48,0.72,Scottie Barnes,,71,34.4,20,1.37,8.23,5.93,1.4,1.1,2.85,46%,16.51,76%,4.5,1.58,0.27,2.01,1.83,1.81,1.57,-2.05,-0.35,-0.17
49,0.71,Jakob Poeltl,Status$,70,30.6,13,0.03,9.84,2.81,1.13,1.32,1.76,64%,9.08,62%,2.16,0.52,-1.19,0.34,2.49,1.13,2.09,-0.71,3.3,-1.59
50,0.7,Desmond Bane,,66,32.7,18.6,3.04,4.47,4.61,1.06,0.35,2.16,48%,13.7,89%,2.6,1.37,2.09,1.3,0.29,0.96,-0.2,-1.2,0.29,1.43
51,0.7,Jalen Duren,,74,28.6,13.1,0.01,10.87,3.12,0.81,1.16,1.89,69%,7.69,70%,3.62,0.54,-1.21,0.5,2.91,0.33,1.71,-0.87,3.61,-1.19
52,0.7,Darius Garland,,53,30.5,20.4,2.9,2.84,6.74,1.35,0.13,2.51,46%,15.56,87%,3.51,1.64,1.93,2.44,-0.38,1.69,-0.72,-1.63,-0.34,1.66
53,0.7,LaMelo Ball,,52,32.4,25.4,3.76,5.01,7.93,1.23,0.28,3.59,42%,21.11,84%,4.73,2.4,2.87,3.08,0.51,1.39,-0.36,-2.95,-2.26,1.62
54,0.7,Deandre Ayton,,67,30.5,18,0.14,9.38,1.55,0.87,0.96,1.75,59%,13.77,73%,2.14,1.28,-1.06,-0.34,2.3,0.48,1.24,-0.7,3.55,-0.47
55,0.68,Ja Morant,Status$,58,32.4,25.6,1.89,5.03,7.94,1.12,0.39,3.78,46%,19.42,82%,6.95,2.43,0.84,3.09,0.52,1.11,-0.1,-3.18,-0.41,1.79
56,0.67,Jarrett Allen,Status$,78,28,13.4,0,9.36,2.07,0.87,0.89,1.22,69%,7.97,72%,3.32,0.58,-1.22,-0.06,2.29,0.48,1.08,-0.05,3.75,-0.79
57,0.67,Deni Avdija,Status$,74,32.4,22.3,2.26,8.22,5.12,1.06,0.45,3.31,48%,15.52,79%,6.51,1.93,1.24,1.58,1.82,0.96,0.04,-2.61,0.33,0.75
58,0.66,Alex Sarr,,76,30.6,18.2,1.84,7.77,3.27,0.92,1.81,1.99,46%,14.81,72%,3.7,1.31,0.78,0.59,1.64,0.6,3.24,-1,-0.32,-0.87
59,0.66,Bam Adebayo,Status$,75,34.6,18.6,1.38,8.97,4.31,1.24,0.62,2.16,48%,14.29,77%,4.44,1.37,0.28,1.14,2.13,1.41,0.44,-1.2,0.3,0.04
60,0.66,Miles Bridges,,65,32.2,19.5,2.31,8.42,3.72,0.7,0.76,1.99,44%,15.81,86%,3.69,1.51,1.29,0.83,1.91,0.05,0.77,-1,-1.02,1.58
61,0.64,Rudy Gobert,,72,32.3,12,0,11.15,1.73,0.8,1.41,1.21,67%,7.15,67%,3.73,0.37,-1.22,-0.24,3.02,0.3,2.3,-0.04,3.05,-1.75
62,0.63,De'Aaron Fox,,75,34.4,22.1,1.85,4.09,6.51,1.41,0.43,2.79,46%,17.37,81%,5.3,1.9,0.79,2.32,0.13,1.84,-0.01,-1.97,-0.37,1.08
63,0.63,Pascal Siakam,Status$,74,33.5,23.4,1.57,7.57,4.57,0.89,0.49,2.2,52%,16.81,73%,5.79,2.1,0.48,1.28,1.56,0.53,0.13,-1.25,1.82,-0.99
64,0.62,Onyeka Okongwu,,71,30.4,14.2,0.85,9.02,2.1,0.95,0.86,1.5,55%,9.7,78%,3.3,0.7,-0.29,-0.04,2.15,0.68,1,-0.4,1.65,0.15
65,0.59,Isaiah Hartenstein,,66,27.3,10.7,0.06,9.33,3.39,0.89,1.08,1.53,61%,7.92,69%,1.43,0.17,-1.15,0.65,2.28,0.53,1.52,-0.43,2.36,-0.63
66,0.59,Jaylen Brown,Status$,59,35.6,25.6,2.35,7.07,5.33,1.28,0.36,3.17,47%,20.21,75%,5.7,2.43,1.34,1.69,1.35,1.51,-0.17,-2.44,0.02,-0.44
67,0.59,Brandon Miller,,68,34.5,21.9,3.98,5.02,4.02,1.14,0.72,2.78,41%,18.39,86%,3.06,1.87,3.11,0.99,0.52,1.16,0.67,-1.96,-2.37,1.28
68,0.57,Paul George,,48,32.3,16.2,2.49,4.96,3.83,1.66,0.52,2.29,44%,13.54,86%,2.09,1.01,1.49,0.88,0.49,2.47,0.2,-1.36,-0.89,0.83
69,0.56,Cameron Johnson,Status$,58,31.7,16.4,2.96,4.16,2.1,0.9,0.41,1.23,48%,11.72,88%,2.5,1.04,2,-0.04,0.16,0.55,-0.06,-0.07,0.24,1.25
70,0.56,Christian Braun,,75,32.6,13.9,1.24,4.56,3.2,1.02,0.45,0.97,55%,9.67,83%,2.39,0.66,0.13,0.55,0.33,0.86,0.04,0.25,1.64,0.63
71,0.56,Jordan Poole,,68,31.5,20.5,3.32,2.99,4.56,1.18,0.33,2.88,44%,15.84,89%,3.75,1.66,2.39,1.28,-0.32,1.26,-0.25,-2.08,-1.03,2.14
72,0.55,Zion Williamson,Status$,54,30.6,25,0.15,7.22,5.4,1.18,0.81,3.11,57%,16.89,69%,8.15,2.34,-1.06,1.73,1.42,1.26,0.89,-2.37,3.65,-2.88
73,0.55,Cooper Flagg,,73,33.6,17.2,1.89,5.49,3.24,1.26,1.06,2.71,45%,13.21,83%,4.16,1.16,0.84,0.57,0.71,1.46,1.48,-1.88,-0.58,1.21
74,0.53,Kyrie Irving,,9,27.6,18.2,2.36,3.68,3.1,1.03,0.42,1.72,45%,14.59,92%,3.03,1.31,1.34,0.49,-0.03,0.88,-0.03,-0.66,-0.64,2.13
75,0.53,John Collins,Status$,68,27.5,14.6,1.38,6.41,1.21,0.76,1.01,1.78,54%,9.85,83%,3.13,0.76,0.28,-0.52,1.08,0.2,1.36,-0.74,1.46,0.87
76,0.52,Keegan Murray,Status$,79,34.4,13,2.54,6.1,1.47,0.82,0.95,0.68,46%,10.78,84%,0.67,0.52,1.55,-0.38,0.96,0.35,1.22,0.61,-0.25,0.1
77,0.52,Josh Hart,,75,32.5,12,1,8.11,4.66,1.22,0.33,1.81,52%,8.73,78%,2.39,0.37,-0.13,1.33,1.78,1.36,-0.25,-0.77,0.91,0.06
78,0.51,Kel'el Ware,,73,27.6,11.9,0.76,9.95,1.31,0.74,1.23,1.12,54%,9.16,68%,1.83,0.36,-0.39,-0.46,2.53,0.15,1.88,0.07,1.36,-0.85
79,0.51,Bradley Beal,Status$,56,29.8,16.6,2.02,3.4,3.46,1.22,0.41,1.64,50%,12.36,81%,2.7,1.07,0.98,0.69,-0.15,1.36,-0.06,-0.57,0.78,0.47
80,0.5,Tari Eason,,58,25.3,12.3,1.1,6.35,1.52,1.61,0.79,1.23,49%,10.2,76%,1.63,0.42,-0.02,-0.35,1.06,2.34,0.84,-0.07,0.42,-0.16
81,0.49,Ausar Thompson,,71,29.4,12.3,0.42,6.75,3.32,1.92,1.04,1.78,52%,9.13,66%,3.64,0.42,-0.77,0.61,1.22,3.12,1.43,-0.74,0.96,-1.89
82,0.48,Shaedon Sharpe,,66,32.4,23.5,2.65,5.23,3.29,0.96,0.21,2.19,48%,18.25,77%,4.43,2.11,1.66,0.6,0.6,0.71,-0.53,-1.24,0.4,0.04
83,0.48,Zach Edey,,54,23.3,11.2,0.41,9.18,1.15,0.62,1.45,1.43,60%,7.43,71%,2.71,0.25,-0.77,-0.55,2.22,-0.15,2.4,-0.31,2.05,-0.8
84,0.48,Immanuel Quickley,,66,31.5,17.5,2.69,3.77,5.74,0.81,0.13,1.75,43%,13.3,86%,3.96,1.2,1.71,1.91,0,0.33,-0.72,-0.7,-1.16,1.7
85,0.47,Matas Buzelis,,77,29,13.5,1.77,5.32,1.94,0.79,1.33,1.91,49%,9.88,82%,2.5,0.6,0.71,-0.13,0.64,0.28,2.11,-0.9,0.4,0.55
86,0.47,Jaden McDaniels,Status$,73,30.4,12.7,1.3,5.82,1.92,1.25,0.89,1.17,48%,10.42,80%,1.64,0.48,0.2,-0.14,0.84,1.44,1.08,0.01,0.2,0.15
87,0.46,Mikal Bridges,,82,35.5,16.9,2.01,2.96,3.73,0.92,0.53,1.53,50%,13.54,81%,1.84,1.11,0.97,0.83,-0.33,0.6,0.23,-0.43,0.87,0.27
88,0.46,DeMar DeRozan,,69,34.6,21.3,1.25,3.71,4.03,0.5,0.36,1.19,46%,16.67,85%,5.63,1.78,0.14,0.99,-0.02,-0.45,-0.17,-0.02,-0.36,2.22
89,0.44,Toumani Camara,,75,32.4,13.2,1.98,5.73,2.3,1.54,0.6,1.43,46%,10.66,73%,1.91,0.55,0.93,0.07,0.81,2.17,0.39,-0.31,-0.25,-0.43
90,0.43,Nic Claxton,,66,27.4,11.6,0.07,7.8,2.4,0.92,1.7,1.3,61%,8.4,52%,2.5,0.31,-1.15,0.12,1.65,0.6,2.99,-0.15,2.51,-3
91,0.43,Robert Williams III,,38,21.4,6.8,0.03,7.06,1.26,0.73,1.49,0.88,65%,4.61,77%,0.92,-0.42,-1.19,-0.49,1.35,0.13,2.49,0.36,1.74,-0.11
92,0.43,Anfernee Simons,,67,30.5,19,3.1,2.49,4.92,0.85,0.06,2.01,44%,15.31,91%,2.74,1.43,2.15,1.47,-0.52,0.43,-0.88,-1.02,-0.99,1.78
93,0.43,Dereck Lively II,,67,23.6,8.5,0,7.32,1.87,0.6,1.62,1.14,70%,5.24,63%,1.8,-0.16,-1.22,-0.16,1.46,-0.2,2.8,0.04,2.56,-1.27
94,0.42,Cason Wallace,,77,27.6,9.9,1.22,3.08,2.64,1.8,0.42,1,51%,7.85,81%,0.76,0.05,0.11,0.25,-0.28,2.82,-0.03,0.22,0.64,0.02
95,0.42,Devin Vassell,,63,28.4,14.8,2.63,4.04,2.32,1.26,0.43,1.2,45%,12.44,83%,1.2,0.8,1.64,0.08,0.11,1.46,-0.01,-0.03,-0.55,0.24
96,0.41,Jrue Holiday,,56,31.4,11.3,1.98,4.58,5.16,1.2,0.51,1.66,43%,9.77,89%,1.11,0.27,0.93,1.6,0.34,1.31,0.18,-0.59,-0.87,0.52
97,0.41,Donte DiVincenzo,,66,29.5,13.6,3.22,4.11,4.08,1.31,0.33,1.81,43%,10.91,79%,1.18,0.61,2.29,1.02,0.14,1.59,-0.25,-0.77,-0.96,0.01
98,0.4,Brandon Ingram,,58,32.6,19,1.73,5.44,4.8,0.72,0.56,2.88,48%,15.05,82%,3.46,1.43,0.66,1.4,0.69,0.1,0.3,-2.08,0.32,0.81
99,0.4,Payton Pritchard,,74,32.6,16.5,3.52,4.56,4.3,0.88,0.21,1.96,44%,13.4,84%,1.33,1.05,2.61,1.14,0.33,0.5,-0.53,-0.96,-0.88,0.34
100,0.4,Tobias Harris,Status$,69,29.6,12.8,1.36,5.09,2.05,0.94,0.73,1.12,47%,10.11,87%,2.12,0.49,0.26,-0.07,0.54,0.66,0.7,0.07,-0.02,0.94
101,0.39,Donovan Clingan,,62,26.6,10.9,0.3,10.19,1.81,0.7,1.68,1.42,55%,8.21,59%,2.65,0.21,-0.89,-0.2,2.63,0.05,2.94,-0.3,1.38,-2.29
102,0.39,Naz Reid,Status$,75,27.5,14.1,2.31,5.99,2.35,0.7,0.88,1.36,46%,11.46,77%,1.69,0.69,1.29,0.09,0.91,0.05,1.05,-0.22,-0.27,-0.08
103,0.39,Julius Randle,,69,33.5,18.2,1.66,7.13,4.91,0.72,0.25,2.73,48%,13.3,80%,4.71,1.31,0.59,1.46,1.38,0.1,-0.43,-1.9,0.28,0.72
104,0.39,Zach LaVine,Status$,67,35.7,21.4,2.83,3.36,3.06,0.64,0.07,2.3,49%,16.57,86%,2.8,1.79,1.86,0.47,-0.16,-0.1,-0.86,-1.37,0.72,1.16
105,0.38,Brandin Podziemski,,69,29.5,14,2.37,5.37,3.42,1.16,0.18,1.26,46%,11.02,76%,2.05,0.67,1.36,0.67,0.66,1.21,-0.6,-0.1,-0.26,-0.16
106,0.38,Aaron Nesmith,,69,29.6,13.3,2.1,4.42,1.48,0.92,0.49,1.24,48%,9.49,87%,2.37,0.57,1.06,-0.37,0.27,0.6,0.13,-0.08,0.18,1.07
107,0.38,Cam Thomas,,52,27.6,20.5,2.63,2.88,3.92,0.58,0.13,2.16,44%,15.2,88%,5.1,1.66,1.64,0.93,-0.36,-0.25,-0.72,-1.2,-0.99,2.72
108,0.38,Bennedict Mathurin,,74,31.5,18.6,1.7,5.64,2.2,0.77,0.34,1.92,46%,12.81,83%,6.11,1.37,0.62,0.01,0.77,0.23,-0.22,-0.91,-0.29,1.85
109,0.37,Norman Powell,Status$,68,34.4,18.2,2.87,3.07,2.02,1.02,0.18,1.61,48%,12.92,80%,3.62,1.31,1.9,-0.08,-0.28,0.86,-0.6,-0.53,0.27,0.52
110,0.37,Cam Whitmore,,77,27.4,17.7,2.19,6.01,1.91,0.9,0.48,1.31,47%,13.95,75%,3.25,1.23,1.16,-0.14,0.92,0.55,0.11,-0.16,-0.01,-0.32
111,0.37,Neemias Queta,,72,24.1,9.2,0.09,7.43,1.66,0.55,1.1,1.03,63%,6.23,75%,1.67,-0.05,-1.13,-0.28,1.5,-0.33,1.57,0.18,2.11,-0.24
112,0.37,Herbert Jones,,73,32.4,10.3,0.97,4.01,3.11,1.76,0.57,1.72,45%,8.46,86%,2.04,0.11,-0.16,0.5,0.1,2.72,0.32,-0.66,-0.4,0.8
113,0.36,Andrew Wiggins,Status$,72,32.6,18.2,2.15,4.85,3.42,1.06,0.85,2.26,44%,14.21,77%,4.48,1.31,1.12,0.67,0.45,0.96,0.98,-1.33,-0.93,0.04
114,0.36,Bobby Portis,,68,24.7,13.7,1.34,7.95,2.24,0.8,0.47,1.13,47%,11.93,81%,1.54,0.63,0.24,0.03,1.71,0.3,0.08,0.06,-0.02,0.2
115,0.35,Jalen Suggs,,61,30.4,13.1,1.73,3.81,3.27,1.51,0.84,2.24,43%,10.85,82%,2.54,0.54,0.66,0.59,0.02,2.09,0.96,-1.3,-0.96,0.56
116,0.34,Mitchell Robinson,Status$,69,24.4,7.4,0,8.42,0.79,1.01,1.48,0.76,67%,4.78,52%,1.96,-0.32,-1.22,-0.74,1.91,0.83,2.47,0.51,2.02,-2.39
117,0.33,Sam Hauser,,69,27.6,12.1,3.27,4.83,1.66,0.72,0.29,0.79,45%,9.16,88%,0.77,0.39,2.34,-0.28,0.44,0.1,-0.34,0.47,-0.42,0.28
118,0.33,Jay Huff,,69,23.3,9.9,1.52,4.56,1.08,0.59,1.27,0.92,51%,7.2,80%,1.25,0.05,0.43,-0.59,0.33,-0.23,1.97,0.31,0.59,0.08
119,0.33,Paolo Banchero,,73,34.5,24.9,1.97,7.85,4.66,0.8,0.56,2.95,45%,18.72,74%,8.08,2.32,0.92,1.33,1.67,0.3,0.3,-2.17,-0.8,-0.94
120,0.32,Ryan Kalkbrenner,,77,24.6,9,0.12,5.81,1.11,0.37,1.73,0.98,62%,6.16,70%,1.83,-0.08,-1.09,-0.57,0.84,-0.78,3.06,0.24,1.95,-0.68
121,0.32,Kevin Porter Jr.,Status$,73,27.6,15.8,1.15,5.25,5.56,1.2,0.17,2.75,47%,11.58,80%,4.63,0.95,0.03,1.81,0.61,1.31,-0.62,-1.92,-0.02,0.71
122,0.31,Aaron Gordon,,66,32.4,14.5,1.45,4.81,3.1,0.54,0.33,1.32,53%,9.65,79%,3.53,0.75,0.36,0.49,0.43,-0.35,-0.25,-0.18,1.22,0.33
123,0.31,De'Andre Hunter,,66,31.4,16.4,2.53,5.12,1.83,0.81,0.39,1.44,45%,12.66,81%,2.84,1.04,1.53,-0.19,0.56,0.33,-0.1,-0.32,-0.56,0.51
124,0.31,Isaiah Jackson,Status$,51,20.3,9.6,0.02,5.79,1.19,0.8,1.67,1.21,60%,6.15,69%,3.11,0.01,-1.19,-0.53,0.83,0.3,2.91,-0.04,1.68,-1.19
125,0.31,Adem Bona,,71,20.6,8.4,0.01,6.87,0.6,0.61,1.68,1.41,70%,4.93,66%,2.14,-0.17,-1.21,-0.84,1.27,-0.18,2.94,-0.29,2.4,-1.17
126,0.3,Alex Caruso,Status$,52,19.4,7.7,1.11,2.86,2.53,1.48,0.58,0.65,47%,5.9,83%,1.22,-0.28,-0.01,0.19,-0.37,2.01,0.34,0.64,-0.04,0.24
127,0.3,Reed Sheppard,,62,27.7,12.5,2.48,3.24,4.76,1.52,0.66,2.26,40%,11.35,80%,1.1,0.45,1.48,1.38,-0.21,2.12,0.53,-1.33,-1.73,0.05
128,0.3,Khris Middleton,Status$,48,25.3,13.4,1.41,4.3,4.66,0.86,0.22,1.88,49%,10.07,84%,2.43,0.58,0.31,1.33,0.22,0.45,-0.5,-0.86,0.41,0.76
129,0.3,Chris Boucher,,62,23.6,12.3,1.62,6.76,0.89,0.63,0.68,0.85,49%,9.35,77%,1.96,0.42,0.55,-0.69,1.23,-0.13,0.58,0.4,0.38,-0.07
130,0.29,Daniel Gafford,Status$,57,20.2,9,0,6.01,1.32,0.46,1.54,0.94,68%,5.36,67%,2.55,-0.08,-1.22,-0.46,0.92,-0.55,2.61,0.29,2.38,-1.25
131,0.29,Al Horford,,55,28.5,8.6,1.91,6.57,2.57,0.59,0.85,0.88,43%,7.37,86%,0.44,-0.14,0.86,0.21,1.15,-0.23,0.98,0.36,-0.67,0.05
132,0.28,Kevin Huerter,,63,27.4,12.6,2.63,3.18,3.24,1.03,0.32,1.03,45%,10.42,74%,0.72,0.46,1.64,0.57,-0.24,0.88,-0.27,0.18,-0.47,-0.23
133,0.28,Scotty Pippen Jr.,,72,25.3,12.2,1.41,3.5,4.93,1.38,0.48,2,48%,9.09,73%,2.95,0.4,0.31,1.47,-0.11,1.76,0.11,-1.01,0.17,-0.58
134,0.28,Taylor Hendricks,,63,26.5,8.6,1.65,5.56,1,0.98,1.17,0.85,42%,7.26,77%,1.05,-0.14,0.58,-0.63,0.74,0.76,1.74,0.4,-0.82,-0.11
135,0.28,Kyle Filipowski,,77,24.4,12.7,1.32,7.45,1.83,0.76,0.58,1.33,53%,9.47,67%,2.17,0.48,0.22,-0.19,1.51,0.2,0.34,-0.19,1.2,-1.09
136,0.27,T.J. McConnell,,74,23.7,10.1,0.5,2.92,6.18,1.35,0.29,1.9,51%,8.43,80%,1.21,0.08,-0.67,2.14,-0.34,1.69,-0.34,-0.88,0.7,0.07
137,0.27,Andrew Nembhard,,69,32.6,12.6,1.37,3.53,6.36,1.23,0.2,2.19,45%,9.8,80%,2.92,0.46,0.26,2.24,-0.09,1.39,-0.55,-1.24,-0.45,0.39
138,0.25,Lonzo Ball,Status$,52,23.6,8.4,2.15,3.8,3.46,1.41,0.52,1.18,38%,7.57,83%,0.7,-0.17,1.11,0.69,0.02,1.84,0.2,0,-1.5,0.07
139,0.25,Dejounte Murray,,15,25.7,13.7,1.66,5.04,5.16,1.19,0.28,2.16,42%,11.88,81%,2.61,0.63,0.59,1.6,0.52,1.28,-0.36,-1.2,-1.3,0.45
140,0.24,Isaiah Stewart,,66,22.4,6.9,0.3,5.62,1.55,0.37,1.59,0.98,59%,4.77,73%,1.28,-0.4,-0.89,-0.34,0.76,-0.78,2.73,0.24,1.19,-0.34
141,0.24,Draymond Green,Status$,69,28.6,8.6,1.16,5.87,6,1.4,0.82,2.56,41%,7.62,70%,1.85,-0.14,0.04,2.05,0.86,1.81,0.91,-1.69,-1.02,-0.69
142,0.23,Goga Bitadze,,75,20.6,7.1,0.1,6.35,1.7,0.74,1.31,0.88,59%,4.86,66%,1.91,-0.37,-1.11,-0.26,1.06,0.15,2.07,0.36,1.21,-1.06
143,0.23,Grayson Allen,,72,27.3,11.6,2.34,3,3.12,0.94,0.34,1.41,46%,8.42,81%,1.86,0.31,1.32,0.5,-0.31,0.66,-0.22,-0.29,-0.21,0.28
144,0.22,Caris LeVert,,65,27.5,13.6,1.86,3.67,3.22,1,0.4,1.16,46%,10.75,74%,2.58,0.61,0.8,0.56,-0.04,0.81,-0.08,0.02,-0.25,-0.41
145,0.22,CJ McCollum,Status$,54,29.5,18.6,2.71,3.67,4.57,0.65,0.38,2.25,45%,15.25,76%,3.04,1.37,1.72,1.28,-0.04,-0.08,-0.13,-1.31,-0.66,-0.17
146,0.22,Malik Monk,,59,25.6,14.5,1.95,3.02,4.14,0.7,0.49,2.02,46%,11.79,85%,2.05,0.75,0.9,1.05,-0.3,0.05,0.13,-1.03,-0.27,0.71
147,0.22,Brook Lopez,,66,20.7,9.2,1.16,3.32,1.02,0.31,1.3,0.69,52%,6.77,85%,1.25,-0.05,0.05,-0.62,-0.18,-0.93,2.04,0.6,0.69,0.37
148,0.22,Santi Aldama,,73,26.7,12.2,2.02,5.99,3.16,0.81,0.59,1.24,45%,10.06,65%,1.66,0.4,0.98,0.53,0.91,0.33,0.37,-0.08,-0.46,-1.02
149,0.21,Jaden Ivey,,71,31.6,19.1,2.15,3.92,4.24,1.03,0.4,2.6,46%,15,74%,4.18,1.45,1.12,1.1,0.07,0.88,-0.08,-1.74,-0.33,-0.56
150,0.21,Kelly Oubre Jr.,,66,32.4,12.6,1.05,4.7,1.44,1.33,0.46,1.25,48%,10.06,75%,2.61,0.46,-0.07,-0.39,0.38,1.64,0.06,-0.09,0.19,-0.29
151,0.21,Obi Toppin,,78,23.6,13.1,1.75,4.99,2.42,0.55,0.44,1.33,51%,9.51,75%,2,0.54,0.68,0.13,0.5,-0.33,0.01,-0.19,0.79,-0.26
152,0.21,Quentin Grimes,,71,28.4,12.6,2.32,4.17,2.63,1.04,0.35,1.42,45%,9.81,75%,2.07,0.46,1.3,0.24,0.17,0.91,-0.2,-0.3,-0.45,-0.26
153,0.21,Jalen Green,,79,35.4,21.6,2.79,5.15,5.43,0.87,0.35,2.84,42%,17.95,75%,4.82,1.82,1.81,1.74,0.57,0.48,-0.2,-2.03,-1.93,-0.4
154,0.2,Zaccharie Risacher,Status$,76,28,15,2.14,3.98,1.47,0.78,0.6,1.41,49%,11.6,71%,2.13,0.83,1.11,-0.38,0.09,0.25,0.39,-0.29,0.48,-0.67
155,0.2,Josh Minott,,62,17.2,8.2,1.03,3.59,1.17,0.97,0.75,0.73,50%,5.91,83%,1.55,-0.2,-0.1,-0.54,-0.07,0.73,0.75,0.55,0.34,0.35
156,0.2,Ayo Dosunmu,,73,25.7,11.3,1.35,2.8,3.66,0.89,0.35,1.54,52%,8.62,80%,1.36,0.27,0.25,0.79,-0.39,0.53,-0.2,-0.44,0.9,0.1
157,0.2,Jabari Smith Jr.,Status$,71,28.5,12.8,1.95,7.01,1.12,0.46,0.54,1.1,44%,10.36,83%,2.09,0.49,0.9,-0.57,1.33,-0.55,0.25,0.09,-0.69,0.53
158,0.2,Ty Jerome,,76,21.7,12.4,1.5,2.68,4.1,1.1,0.05,1.64,47%,9.6,85%,2.21,0.43,0.42,1.03,-0.44,1.06,-0.91,-0.57,-0.03,0.78
159,0.2,Matisse Thybulle,,61,22.3,7.2,1.21,2.87,1.28,1.69,0.66,0.66,45%,6.16,65%,0.72,-0.35,0.1,-0.48,-0.36,2.54,0.53,0.63,-0.31,-0.53
160,0.19,VJ Edgecombe,,77,27.3,12,1.62,4.71,2.36,1.6,0.46,1.64,41%,9.8,76%,3.04,0.37,0.54,0.1,0.39,2.32,0.06,-0.57,-1.29,-0.17
161,0.19,Kyshawn George,,70,28.3,10.2,1.66,5.04,2.93,1.11,0.64,1.53,43%,8.53,75%,1.66,0.1,0.59,0.4,0.52,1.08,0.49,-0.43,-0.77,-0.24
162,0.19,Jonas Valančiūnas,,71,17.8,9.9,0.13,7.53,1.91,0.38,0.48,1.31,57%,7.25,85%,1.81,0.05,-1.08,-0.14,1.54,-0.76,0.11,-0.16,1.53,0.61
163,0.19,Scoot Henderson,,71,32.4,17.1,1.84,3.91,6.81,1.02,0.32,3.33,44%,13.97,78%,3.82,1.14,0.78,2.48,0.06,0.86,-0.27,-2.63,-0.91,0.19
164,0.19,D'Angelo Russell,Status$,68,27.3,12.9,2.33,2.46,5.56,0.86,0.45,2.07,41%,10.82,84%,2,0.51,1.32,1.81,-0.53,0.45,0.04,-1.09,-1.42,0.59
165,0.18,Kentavious Caldwell-Pope,Status$,66,27.7,9.4,1.84,2.71,1.85,1.16,0.37,0.8,43%,7.37,89%,1.32,-0.02,0.78,-0.18,-0.43,1.21,-0.15,0.46,-0.67,0.65
166,0.18,Aaron Wiggins,Status$,72,21.6,12.7,1.81,3.66,1.68,0.78,0.23,0.88,49%,9.97,81%,1.49,0.48,0.75,-0.27,-0.04,0.25,-0.48,0.36,0.41,0.19
167,0.18,Keon Ellis,,74,22.7,6.4,1.47,2.55,1.43,1.41,0.7,0.75,44%,4.92,81%,0.74,-0.48,0.38,-0.4,-0.5,1.84,0.63,0.52,-0.36,0.02
168,0.18,Jeremy Sochan,Status$,66,25.6,11.2,0.81,6.25,2.41,0.87,0.48,1.51,54%,8.13,70%,2.26,0.25,-0.34,0.12,1.02,0.48,0.11,-0.41,1.2,-0.8
169,0.18,Jalen Smith,,54,17.2,9.3,1.07,6.57,1.16,0.3,0.72,0.6,51%,7.17,80%,1.18,-0.04,-0.05,-0.54,1.15,-0.96,0.67,0.71,0.58,0.06
170,0.17,Ziaire Williams,,69,25.7,12,2.15,3.96,1.18,0.99,0.44,1.07,43%,9.76,83%,1.89,0.37,1.11,-0.53,0.08,0.78,0.01,0.13,-0.87,0.46
171,0.17,Jared McCain,,70,25.6,15.6,2.28,2.34,2.81,0.67,0.12,1.8,47%,11.76,87%,2.5,0.92,1.26,0.34,-0.58,-0.02,-0.74,-0.76,-0.02,1.14
172,0.16,Gary Trent Jr.,,74,29.5,12.1,2.43,2.67,1.58,1.09,0.06,0.62,42%,9.45,85%,1.9,0.39,1.43,-0.32,-0.45,1.03,-0.88,0.68,-1.05,0.65
