,PLAYER,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
474,Cam Spencer,16.1,5.5,12.3,0.443,2.9,2.7,0.905,2.5,5.3,4.6,1.3,0.4,1.4
475,Pat Spencer,14.9,5.9,13.8,0.429,2.5,1.9,0.756,1.2,6.6,5.8,1.6,0.5,2.4
476,Jaden Springer,12.7,4.4,10.4,0.426,3.4,2.6,0.767,1.2,6.0,3.4,2.2,0.7,1.9
477,Isaiah Stevens,16.6,6.1,13.3,0.459,3.1,2.5,0.784,2.0,6.9,3.9,1.4,0.7,2.0
478,Lamar Stevens,15.7,6.1,13.4,0.457,2.9,2.2,0.758,1.3,7.6,2.1,1.2,0.9,1.6
479,Isaiah Stewart,12.3,4.7,9.1,0.524,2.4,1.8,0.763,1.0,9.3,2.7,0.7,1.9,1.7
480,Julian Strawther,15.7,5.6,13.0,0.435,2.4,1.9,0.809,2.5,4.1,2.5,1.1,0.5,1.5
481,Max Strus,13.8,4.9,11.4,0.429,1.4,1.1,0.812,2.9,5.6,4.2,0.9,0.4,1.6
482,Jalen Suggs,18.4,6.5,14.6,0.444,3.4,2.8,0.822,2.6,4.8,4.2,1.8,1.0,2.9
483,Cole Swider,15.1,5.5,13.5,0.41,1.6,1.2,0.749,2.8,5.8,2.3,0.9,0.6,1.6
484,Jae'Sean Tate,11.6,4.4,9.4,0.471,2.4,1.7,0.698,1.0,6.9,2.9,1.5,0.5,1.5
485,Jayson Tatum,26.7,9.1,19.7,0.461,6.4,5.3,0.825,3.3,8.4,5.4,1.0,0.6,2.7
486,Terry Taylor,13.6,5.3,10.9,0.487,2.3,1.8,0.766,1.2,6.7,3.1,1.0,0.6,1.7
487,Garrett Temple,11.5,4.0,10.8,0.373,2.4,2.0,0.827,1.4,5.3,4.1,1.9,0.5,1.8
488,Dalen Terry,12.2,4.5,9.9,0.459,2.6,1.8,0.702,1.3,5.2,3.8,1.6,0.7,1.8
489,Daniel Theis,11.9,4.7,9.4,0.493,2.2,1.7,0.789,0.9,8.7,3.0,0.9,1.4,1.6
490,Cam Thomas,25.9,8.9,19.9,0.45,6.2,5.3,0.868,2.7,4.0,3.8,0.8,0.2,2.4
491,Amen Thompson,16.0,6.4,11.5,0.556,4.0,2.8,0.698,0.5,9.5,4.3,1.7,1.3,2.2
492,Ausar Thompson,15.3,6.3,12.0,0.523,3.4,2.2,0.648,0.5,8.6,3.4,2.2,1.2,2.0
493,Klay Thompson,19.7,7.1,16.9,0.417,1.7,1.6,0.897,4.0,4.4,2.7,0.9,0.5,1.8
494,Tristan Thompson,10.6,4.5,9.0,0.495,3.3,1.2,0.364,0.4,11.6,3.1,0.6,1.0,1.8
495,JT Thor,11.1,4.2,9.3,0.447,2.1,1.4,0.698,1.3,6.7,1.7,0.9,1.1,1.2
496,Matisse Thybulle,10.5,3.9,8.9,0.435,1.2,0.8,0.669,2.0,4.4,2.5,2.8,1.1,1.2
497,Xavier Tillman Sr.,10.9,4.5,10.1,0.441,2.0,1.1,0.58,0.8,7.7,2.7,1.7,1.2,1.6
498,Drew Timme,16.2,6.4,14.0,0.457,2.7,1.9,0.704,1.6,8.3,3.3,0.8,0.4,2.1
499,Nae'Qwan Tomlin,18.2,6.6,14.7,0.452,4.1,3.1,0.762,1.8,8.2,3.2,0.9,0.7,1.8
500,Jacob Toppin,15.1,5.6,12.1,0.464,2.2,1.8,0.798,2.1,6.8,3.6,1.1,0.5,1.8
501,Obi Toppin,18.6,7.1,13.3,0.535,2.5,1.9,0.78,2.4,7.1,2.9,1.0,0.7,1.5
502,Karl-Anthony Towns,24.3,8.8,17.0,0.515,5.5,4.6,0.839,2.1,11.6,3.3,0.9,0.7,2.9
503,Armel Traoré,14.6,5.5,12.4,0.441,3.4,2.1,0.632,1.5,7.1,3.0,1.5,0.8,1.9
504,Luke Travers,13.0,4.9,11.5,0.422,2.4,2.0,0.81,1.3,7.2,3.8,1.0,0.6,2.5
505,Gary Trent Jr.,16.8,5.9,13.7,0.433,2.0,1.6,0.822,3.2,3.4,1.9,1.4,0.2,0.9
506,Oscar Tshiebwe,16.3,6.2,11.5,0.54,4.1,3.1,0.757,0.8,13.2,2.3,1.6,0.4,1.6
507,P.J. Tucker,7.1,2.5,6.0,0.424,0.9,0.8,0.798,1.2,5.8,1.6,0.9,0.5,1.0
508,Myles Turner,19.9,7.1,14.2,0.499,4.5,3.5,0.774,2.3,8.2,1.9,0.8,2.4,2.0
