,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
358,Kyle Lowry,38,14.3,2.6,2.21,0.36,0.45,0.84,0.57,1.45,2.04,0.54,0.2,0.48
359,James Wiseman,47,12.8,5.5,4.04,0.56,1.25,0.69,0.11,3.9,0.53,0.13,0.44,0.82
360,Noa Essengue,55,15.8,7.4,6.04,0.45,2.02,0.71,0.52,2.61,0.75,0.53,0.27,0.7
361,Nique Clifford,73,15.8,5.2,4.58,0.43,0.85,0.72,0.72,3.16,1.45,0.49,0.26,1.15
362,Liam McNeeley,68,17.3,6.0,5.05,0.4,1.11,0.86,1.06,2.87,1.11,0.35,0.14,1.05
363,Pelle Larsson,71,14.8,5.5,4.38,0.45,1.29,0.68,0.64,1.87,1.41,0.62,0.12,0.59
364,Nae'Qwan Tomlin,17,11.9,5.8,4.77,0.45,1.53,0.76,0.39,2.86,0.46,0.34,0.3,0.48
365,Leonard Miller,42,8.1,4.8,3.22,0.51,1.61,0.79,0.25,2.59,0.32,0.24,0.24,0.38
366,Spencer Dinwiddie,61,15.8,6.1,4.99,0.41,1.54,0.76,0.81,1.52,2.15,0.45,0.14,0.8
367,Jase Richardson,74,14.2,5.4,4.25,0.47,0.94,0.81,0.71,1.52,0.91,0.39,0.15,0.69
368,Amari Williams,44,12.2,5.1,4.02,0.5,1.52,0.65,0.04,3.61,1.04,0.36,0.65,1.12
369,Orlando Robinson,14,11.8,4.0,3.28,0.48,0.76,0.77,0.25,3.31,1.04,0.26,0.27,0.71
370,Ariel Hukporti,42,11.1,3.5,2.26,0.67,0.77,0.59,0.0,2.79,0.51,0.22,0.62,0.82
371,Branden Carlson,16,7.9,3.5,2.75,0.46,0.5,0.75,0.63,1.54,0.4,0.14,0.55,0.32
372,Asa Newell,44,11.8,4.3,3.8,0.42,0.92,0.76,0.4,2.61,0.42,0.36,0.4,0.51
373,Gui Santos,66,11.8,3.7,2.9,0.44,0.74,0.75,0.53,2.75,1.19,0.36,0.15,0.61
374,Johni Broome,18,10.8,4.0,3.34,0.51,0.81,0.64,0.1,2.68,0.52,0.29,0.55,0.67
375,Duop Reath,41,9.1,4.1,3.4,0.46,0.44,0.76,0.69,1.8,0.44,0.24,0.29,0.37
376,Jae'Sean Tate,51,12.2,3.7,3.18,0.46,0.61,0.67,0.36,2.18,0.93,0.47,0.18,0.42
377,Gary Harris,51,14.2,2.8,2.51,0.41,0.13,0.7,0.64,1.14,0.72,0.54,0.2,0.32
378,Maxi Kleber,46,14.2,2.8,2.27,0.43,0.54,0.76,0.45,1.9,0.86,0.22,0.44,0.44
379,Nolan Traore,58,18.8,7.2,6.73,0.4,1.18,0.71,1.05,1.53,3.52,0.48,0.24,1.85
380,Cody Williams,73,20.4,6.3,6.25,0.36,0.95,0.72,1.12,2.14,1.43,0.43,0.31,0.83
381,Keaton Wallace,15,9.8,3.4,3.38,0.4,0.29,0.85,0.51,1.0,1.98,0.51,0.15,0.68
382,Jordan Walsh,70,13.8,4.3,4.16,0.39,0.64,0.63,0.68,2.87,0.67,0.5,0.31,0.74
383,Kris Murray,70,15.3,4.5,4.26,0.42,0.77,0.61,0.48,2.72,0.92,0.5,0.26,0.64
384,Zeke Nnaji,21,8.8,2.7,2.09,0.46,0.69,0.67,0.28,1.83,0.37,0.25,0.52,0.24
385,Tyler Kolek,54,10.8,3.0,2.74,0.37,0.68,0.79,0.49,0.9,2.7,0.43,0.11,0.63
386,Adou Thiero,71,11.8,3.5,3.01,0.43,0.87,0.71,0.22,2.2,0.7,0.48,0.3,0.52
387,Jevon Carter,15,10.1,4.3,4.09,0.39,0.15,0.75,0.92,1.01,1.16,0.37,0.13,0.34
388,Tidjane Salaün,66,16.2,5.1,4.44,0.38,1.37,0.71,0.72,4.0,1.01,0.3,0.17,0.77
389,Dalen Terry,53,10.8,3.9,3.2,0.46,0.82,0.69,0.41,1.5,1.12,0.48,0.15,0.59
390,Sion James,32,11.1,2.6,2.11,0.43,0.55,0.73,0.34,1.82,0.99,0.5,0.14,0.51
391,Kessler Edwards,48,9.8,2.5,2.15,0.44,0.22,0.8,0.42,1.71,0.58,0.34,0.21,0.3
392,PJ Hall,15,5.9,3.1,2.3,0.55,0.47,0.77,0.22,1.68,0.31,0.14,0.32,0.31
393,Lindy Waters III,48,9.1,3.5,3.03,0.42,0.14,0.76,0.87,1.2,0.55,0.27,0.15,0.23
394,Dillon Jones,51,13.2,3.0,2.72,0.43,0.53,0.64,0.32,2.98,1.44,0.43,0.08,0.71
395,Antonio Reeves,29,10.8,4.3,3.43,0.47,0.55,0.81,0.68,1.07,0.57,0.33,0.07,0.51
396,Bobi Klintman,26,10.2,3.4,2.77,0.46,0.64,0.78,0.37,1.95,0.54,0.38,0.17,0.6
397,Jackson Rowe,15,7.9,3.1,2.63,0.44,0.36,0.76,0.47,1.6,0.49,0.3,0.22,0.32
398,Jaden Hardy,61,15.2,8.0,6.98,0.42,1.28,0.75,1.2,1.41,1.34,0.4,0.06,1.28
399,Brooks Barnhizer,27,8.1,2.5,2.42,0.38,0.52,0.75,0.26,1.6,0.48,0.47,0.32,0.35
400,Daeqwon Plowden,15,9.9,3.9,3.2,0.44,0.43,0.77,0.73,1.64,0.32,0.24,0.2,0.44
401,Blake Wesley,37,14.3,5.1,4.26,0.44,1.49,0.64,0.44,1.45,1.98,0.58,0.14,0.87
402,Tyrese Proctor,44,15.8,5.1,4.83,0.38,0.61,0.77,0.94,1.63,1.83,0.36,0.1,0.96
403,Isaac Jones,17,7.1,3.3,2.1,0.66,0.56,0.67,0.1,1.38,0.32,0.13,0.24,0.33
404,Yanic Konan Niederhäuser,19,8.8,3.1,2.32,0.53,0.91,0.67,0.04,2.19,0.25,0.18,0.59,0.71
405,KJ Simpson,32,10.8,4.1,3.67,0.4,0.79,0.84,0.49,1.42,1.18,0.41,0.07,0.72
