,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
43,Alperen Sengun,74,31.5,21.7,16.28,0.51,6.91,0.69,0.45,10.63,7.63,1.25,0.96,2.6
44,Walker Kessler,62,30.5,11.8,7.43,0.68,2.91,0.53,0.13,12.36,1.76,0.68,2.39,1.61
45,Giannis Antetokounmpo,70,33.4,31.0,19.64,0.6,11.0,0.63,0.41,11.89,7.09,0.92,1.12,3.31
46,OG Anunoby,62,34.5,18.1,13.74,0.48,3.34,0.81,2.28,4.51,2.24,1.55,0.83,1.46
47,Scottie Barnes,71,34.4,20.0,16.51,0.46,4.5,0.76,1.37,8.23,5.93,1.4,1.1,2.85
48,Jakob Poeltl,70,30.6,13.0,9.08,0.64,2.16,0.62,0.03,9.84,2.81,1.13,1.32,1.76
49,Desmond Bane,66,32.7,18.6,13.7,0.48,2.6,0.89,3.04,4.47,4.61,1.06,0.35,2.16
50,Jalen Duren,74,28.6,13.1,7.69,0.69,3.62,0.7,0.01,10.87,3.12,0.81,1.16,1.89
51,Darius Garland,53,30.5,20.4,15.56,0.46,3.51,0.87,2.9,2.84,6.74,1.35,0.13,2.51
52,LaMelo Ball,52,32.4,25.4,21.11,0.42,4.73,0.84,3.76,5.01,7.93,1.23,0.28,3.59
53,Deandre Ayton,67,30.5,18.0,13.77,0.59,2.14,0.73,0.14,9.38,1.55,0.87,0.96,1.75
54,Ja Morant,58,32.4,25.6,19.42,0.46,6.95,0.82,1.89,5.03,7.94,1.12,0.39,3.78
55,Jarrett Allen,78,28.0,13.4,7.97,0.69,3.32,0.72,0.0,9.36,2.07,0.87,0.89,1.22
56,Deni Avdija,74,32.4,22.3,15.52,0.48,6.51,0.79,2.26,8.22,5.12,1.06,0.45,3.31
57,Alex Sarr,76,30.6,18.2,14.81,0.46,3.7,0.72,1.84,7.77,3.27,0.92,1.81,1.99
58,Bam Adebayo,75,34.6,18.6,14.29,0.48,4.44,0.77,1.38,8.97,4.31,1.24,0.62,2.16
59,Miles Bridges,65,32.2,19.5,15.81,0.44,3.69,0.86,2.31,8.42,3.72,0.7,0.76,1.99
60,Rudy Gobert,72,32.3,12.0,7.15,0.67,3.73,0.67,0.0,11.15,1.73,0.8,1.41,1.21
61,De'Aaron Fox,75,34.4,22.1,17.37,0.46,5.3,0.81,1.85,4.09,6.51,1.41,0.43,2.79
62,Pascal Siakam,74,33.5,23.4,16.81,0.52,5.79,0.73,1.57,7.57,4.57,0.89,0.49,2.2
63,Onyeka Okongwu,71,30.4,14.2,9.7,0.55,3.3,0.78,0.85,9.02,2.1,0.95,0.86,1.5
64,Isaiah Hartenstein,66,27.3,10.7,7.92,0.61,1.43,0.69,0.06,9.33,3.39,0.89,1.08,1.53
65,Jaylen Brown,59,35.6,25.6,20.21,0.47,5.7,0.75,2.35,7.07,5.33,1.28,0.36,3.17
66,Brandon Miller,68,34.5,21.9,18.39,0.41,3.06,0.86,3.98,5.02,4.02,1.14,0.72,2.78
67,Paul George,48,32.3,16.2,13.54,0.44,2.09,0.86,2.49,4.96,3.83,1.66,0.52,2.29
68,Cameron Johnson,58,31.7,16.4,11.72,0.48,2.5,0.88,2.96,4.16,2.1,0.9,0.41,1.23
69,Christian Braun,75,32.6,13.9,9.67,0.55,2.39,0.83,1.24,4.56,3.2,1.02,0.45,0.97
70,Jordan Poole,68,31.5,20.5,15.84,0.44,3.75,0.89,3.32,2.99,4.56,1.18,0.33,2.88
71,Zion Williamson,54,30.6,25.0,16.89,0.57,8.15,0.69,0.15,7.22,5.4,1.18,0.81,3.11
72,Cooper Flagg,73,33.6,17.2,13.21,0.45,4.16,0.83,1.89,5.49,3.24,1.26,1.06,2.71
73,Kyrie Irving,9,27.6,18.2,14.59,0.45,3.03,0.92,2.36,3.68,3.1,1.03,0.42,1.72
74,John Collins,68,27.5,14.6,9.85,0.54,3.13,0.83,1.38,6.41,1.21,0.76,1.01,1.78
75,Keegan Murray,79,34.4,13.0,10.78,0.46,0.67,0.84,2.54,6.1,1.47,0.82,0.95,0.68
76,Josh Hart,75,32.5,12.0,8.73,0.52,2.39,0.78,1.0,8.11,4.66,1.22,0.33,1.81
77,Kel'el Ware,73,27.6,11.9,9.16,0.54,1.83,0.68,0.76,9.95,1.31,0.74,1.23,1.12
78,Bradley Beal,56,29.8,16.6,12.36,0.5,2.7,0.81,2.02,3.4,3.46,1.22,0.41,1.64
79,Tari Eason,58,25.3,12.3,10.2,0.49,1.63,0.76,1.1,6.35,1.52,1.61,0.79,1.23
80,Ausar Thompson,71,29.4,12.3,9.13,0.52,3.64,0.66,0.42,6.75,3.32,1.92,1.04,1.78
81,Shaedon Sharpe,66,32.4,23.5,18.25,0.48,4.43,0.77,2.65,5.23,3.29,0.96,0.21,2.19
82,Zach Edey,54,23.3,11.2,7.43,0.6,2.71,0.71,0.41,9.18,1.15,0.62,1.45,1.43
83,Immanuel Quickley,66,31.5,17.5,13.3,0.43,3.96,0.86,2.69,3.77,5.74,0.81,0.13,1.75
84,Matas Buzelis,77,29.0,13.5,9.88,0.49,2.5,0.82,1.77,5.32,1.94,0.79,1.33,1.91
85,Jaden McDaniels,73,30.4,12.7,10.42,0.48,1.64,0.8,1.3,5.82,1.92,1.25,0.89,1.17
86,Mikal Bridges,82,35.5,16.9,13.54,0.5,1.84,0.81,2.01,2.96,3.73,0.92,0.53,1.53
87,DeMar DeRozan,69,34.6,21.3,16.67,0.46,5.63,0.85,1.25,3.71,4.03,0.5,0.36,1.19
88,Toumani Camara,75,32.4,13.2,10.66,0.46,1.91,0.73,1.98,5.73,2.3,1.54,0.6,1.43
89,Nic Claxton,66,27.4,11.6,8.4,0.61,2.5,0.52,0.07,7.8,2.4,0.92,1.7,1.3
90,Robert Williams III,38,21.4,6.8,4.61,0.65,0.92,0.77,0.03,7.06,1.26,0.73,1.49,0.88
91,Anfernee Simons,67,30.5,19.0,15.31,0.44,2.74,0.91,3.1,2.49,4.92,0.85,0.06,2.01
92,Dereck Lively II,67,23.6,8.5,5.24,0.7,1.8,0.63,0.0,7.32,1.87,0.6,1.62,1.14
93,Cason Wallace,77,27.6,9.9,7.85,0.51,0.76,0.81,1.22,3.08,2.64,1.8,0.42,1.0
94,Devin Vassell,63,28.4,14.8,12.44,0.45,1.2,0.83,2.63,4.04,2.32,1.26,0.43,1.2
95,Jrue Holiday,56,31.4,11.3,9.77,0.43,1.11,0.89,1.98,4.58,5.16,1.2,0.51,1.66
96,Donte DiVincenzo,66,29.5,13.6,10.91,0.43,1.18,0.79,3.22,4.11,4.08,1.31,0.33,1.81
97,Brandon Ingram,58,32.6,19.0,15.05,0.48,3.46,0.82,1.73,5.44,4.8,0.72,0.56,2.88
98,Payton Pritchard,74,32.6,16.5,13.4,0.44,1.33,0.84,3.52,4.56,4.3,0.88,0.21,1.96
99,Tobias Harris,69,29.6,12.8,10.11,0.47,2.12,0.87,1.36,5.09,2.05,0.94,0.73,1.12
100,Donovan Clingan,62,26.6,10.9,8.21,0.55,2.65,0.59,0.3,10.19,1.81,0.7,1.68,1.42
101,Naz Reid,75,27.5,14.1,11.46,0.46,1.69,0.77,2.31,5.99,2.35,0.7,0.88,1.36
102,Julius Randle,69,33.5,18.2,13.3,0.48,4.71,0.8,1.66,7.13,4.91,0.72,0.25,2.73
103,Zach LaVine,67,35.7,21.4,16.57,0.49,2.8,0.86,2.83,3.36,3.06,0.64,0.07,2.3
104,Brandin Podziemski,69,29.5,14.0,11.02,0.46,2.05,0.76,2.37,5.37,3.42,1.16,0.18,1.26
105,Aaron Nesmith,69,29.6,13.3,9.49,0.48,2.37,0.87,2.1,4.42,1.48,0.92,0.49,1.24
106,Cam Thomas,52,27.6,20.5,15.2,0.44,5.1,0.88,2.63,2.88,3.92,0.58,0.13,2.16
107,Bennedict Mathurin,74,31.5,18.6,12.81,0.46,6.11,0.83,1.7,5.64,2.2,0.77,0.34,1.92
108,Norman Powell,68,34.4,18.2,12.92,0.48,3.62,0.8,2.87,3.07,2.02,1.02,0.18,1.61
109,Cam Whitmore,77,27.4,17.7,13.95,0.47,3.25,0.75,2.19,6.01,1.91,0.9,0.48,1.31
110,Neemias Queta,72,24.1,9.2,6.23,0.63,1.67,0.75,0.09,7.43,1.66,0.55,1.1,1.03
111,Herbert Jones,73,32.4,10.3,8.46,0.45,2.04,0.86,0.97,4.01,3.11,1.76,0.57,1.72
112,Andrew Wiggins,72,32.6,18.2,14.21,0.44,4.48,0.77,2.15,4.85,3.42,1.06,0.85,2.26
113,Bobby Portis,68,24.7,13.7,11.93,0.47,1.54,0.81,1.34,7.95,2.24,0.8,0.47,1.13
114,Jalen Suggs,61,30.4,13.1,10.85,0.43,2.54,0.82,1.73,3.81,3.27,1.51,0.84,2.24
115,Mitchell Robinson,69,24.4,7.4,4.78,0.67,1.96,0.52,0.0,8.42,0.79,1.01,1.48,0.76
116,Sam Hauser,69,27.6,12.1,9.16,0.45,0.77,0.88,3.27,4.83,1.66,0.72,0.29,0.79
117,Jay Huff,69,23.3,9.9,7.2,0.51,1.25,0.8,1.52,4.56,1.08,0.59,1.27,0.92
118,Paolo Banchero,73,34.5,24.9,18.72,0.45,8.08,0.74,1.97,7.85,4.66,0.8,0.56,2.95
119,Ryan Kalkbrenner,77,24.6,9.0,6.16,0.62,1.83,0.7,0.12,5.81,1.11,0.37,1.73,0.98
120,Kevin Porter Jr.,73,27.6,15.8,11.58,0.47,4.63,0.8,1.15,5.25,5.56,1.2,0.17,2.75
121,Aaron Gordon,66,32.4,14.5,9.65,0.53,3.53,0.79,1.45,4.81,3.1,0.54,0.33,1.32
122,De'Andre Hunter,66,31.4,16.4,12.66,0.45,2.84,0.81,2.53,5.12,1.83,0.81,0.39,1.44
123,Isaiah Jackson,51,20.3,9.6,6.15,0.6,3.11,0.69,0.02,5.79,1.19,0.8,1.67,1.21
124,Adem Bona,71,20.6,8.4,4.93,0.7,2.14,0.66,0.01,6.87,0.6,0.61,1.68,1.41
125,Alex Caruso,52,19.4,7.7,5.9,0.47,1.22,0.83,1.11,2.86,2.53,1.48,0.58,0.65
126,Reed Sheppard,62,27.7,12.5,11.35,0.4,1.1,0.8,2.48,3.24,4.76,1.52,0.66,2.26
127,Khris Middleton,48,25.3,13.4,10.07,0.49,2.43,0.84,1.41,4.3,4.66,0.86,0.22,1.88
128,Chris Boucher,62,23.6,12.3,9.35,0.49,1.96,0.77,1.62,6.76,0.89,0.63,0.68,0.85
129,Daniel Gafford,57,20.2,9.0,5.36,0.68,2.55,0.67,0.0,6.01,1.32,0.46,1.54,0.94
130,Al Horford,55,28.5,8.6,7.37,0.43,0.44,0.86,1.91,6.57,2.57,0.59,0.85,0.88
131,Kevin Huerter,63,27.4,12.6,10.42,0.45,0.72,0.74,2.63,3.18,3.24,1.03,0.32,1.03
132,Scotty Pippen Jr.,72,25.3,12.2,9.09,0.48,2.95,0.73,1.41,3.5,4.93,1.38,0.48,2.0
133,Taylor Hendricks,63,26.5,8.6,7.26,0.42,1.05,0.77,1.65,5.56,1.0,0.98,1.17,0.85
134,Kyle Filipowski,77,24.4,12.7,9.47,0.53,2.17,0.67,1.32,7.45,1.83,0.76,0.58,1.33
135,T.J. McConnell,74,23.7,10.1,8.43,0.51,1.21,0.8,0.5,2.92,6.18,1.35,0.29,1.9
136,Andrew Nembhard,69,32.6,12.6,9.8,0.45,2.92,0.8,1.37,3.53,6.36,1.23,0.2,2.19
137,Lonzo Ball,52,23.6,8.4,7.57,0.38,0.7,0.83,2.15,3.8,3.46,1.41,0.52,1.18
138,Dejounte Murray,15,25.7,13.7,11.88,0.42,2.61,0.81,1.66,5.04,5.16,1.19,0.28,2.16
139,Isaiah Stewart,66,22.4,6.9,4.77,0.59,1.28,0.73,0.3,5.62,1.55,0.37,1.59,0.98
140,Draymond Green,69,28.6,8.6,7.62,0.41,1.85,0.7,1.16,5.87,6.0,1.4,0.82,2.56
141,Goga Bitadze,75,20.6,7.1,4.86,0.59,1.91,0.66,0.1,6.35,1.7,0.74,1.31,0.88
142,Grayson Allen,72,27.3,11.6,8.42,0.46,1.86,0.81,2.34,3.0,3.12,0.94,0.34,1.41
143,Caris LeVert,65,27.5,13.6,10.75,0.46,2.58,0.74,1.86,3.67,3.22,1.0,0.4,1.16
144,CJ McCollum,54,29.5,18.6,15.25,0.45,3.04,0.76,2.71,3.67,4.57,0.65,0.38,2.25
145,Malik Monk,59,25.6,14.5,11.79,0.46,2.05,0.85,1.95,3.02,4.14,0.7,0.49,2.02
146,Brook Lopez,66,20.7,9.2,6.77,0.52,1.25,0.85,1.16,3.32,1.02,0.31,1.3,0.69
147,Santi Aldama,73,26.7,12.2,10.06,0.45,1.66,0.65,2.02,5.99,3.16,0.81,0.59,1.24
148,Jaden Ivey,71,31.6,19.1,15.0,0.46,4.18,0.74,2.15,3.92,4.24,1.03,0.4,2.6
149,Kelly Oubre Jr.,66,32.4,12.6,10.06,0.48,2.61,0.75,1.05,4.7,1.44,1.33,0.46,1.25
150,Obi Toppin,78,23.6,13.1,9.51,0.51,2.0,0.75,1.75,4.99,2.42,0.55,0.44,1.33
151,Quentin Grimes,71,28.4,12.6,9.81,0.45,2.07,0.75,2.32,4.17,2.63,1.04,0.35,1.42
152,Jalen Green,79,35.4,21.6,17.95,0.42,4.82,0.75,2.79,5.15,5.43,0.87,0.35,2.84
153,Zaccharie Risacher,76,28.0,15.0,11.6,0.49,2.13,0.71,2.14,3.98,1.47,0.78,0.6,1.41
154,Josh Minott,62,17.2,8.2,5.91,0.5,1.55,0.83,1.03,3.59,1.17,0.97,0.75,0.73
155,Ayo Dosunmu,73,25.7,11.3,8.62,0.52,1.36,0.8,1.35,2.8,3.66,0.89,0.35,1.54
156,Jabari Smith Jr.,71,28.5,12.8,10.36,0.44,2.09,0.83,1.95,7.01,1.12,0.46,0.54,1.1
157,Ty Jerome,76,21.7,12.4,9.6,0.47,2.21,0.85,1.5,2.68,4.1,1.1,0.05,1.64
158,Matisse Thybulle,61,22.3,7.2,6.16,0.45,0.72,0.65,1.21,2.87,1.28,1.69,0.66,0.66
159,VJ Edgecombe,77,27.3,12.0,9.8,0.41,3.04,0.76,1.62,4.71,2.36,1.6,0.46,1.64
160,Kyshawn George,70,28.3,10.2,8.53,0.43,1.66,0.75,1.66,5.04,2.93,1.11,0.64,1.53
161,Jonas Valančiūnas,71,17.8,9.9,7.25,0.57,1.81,0.85,0.13,7.53,1.91,0.38,0.48,1.31
162,Scoot Henderson,71,32.4,17.1,13.97,0.44,3.82,0.78,1.84,3.91,6.81,1.02,0.32,3.33
163,D'Angelo Russell,68,27.3,12.9,10.82,0.41,2.0,0.84,2.33,2.46,5.56,0.86,0.45,2.07
164,Kentavious Caldwell-Pope,66,27.7,9.4,7.37,0.43,1.32,0.89,1.84,2.71,1.85,1.16,0.37,0.8
165,Aaron Wiggins,72,21.6,12.7,9.97,0.49,1.49,0.81,1.81,3.66,1.68,0.78,0.23,0.88
166,Keon Ellis,74,22.7,6.4,4.92,0.44,0.74,0.81,1.47,2.55,1.43,1.41,0.7,0.75
167,Jeremy Sochan,66,25.6,11.2,8.13,0.54,2.26,0.7,0.81,6.25,2.41,0.87,0.48,1.51
168,Jalen Smith,54,17.2,9.3,7.17,0.51,1.18,0.8,1.07,6.57,1.16,0.3,0.72,0.6
169,Ziaire Williams,69,25.7,12.0,9.76,0.43,1.89,0.83,2.15,3.96,1.18,0.99,0.44,1.07
170,Jared McCain,70,25.6,15.6,11.76,0.47,2.5,0.87,2.28,2.34,2.81,0.67,0.12,1.8
171,Gary Trent Jr.,74,29.5,12.1,9.45,0.42,1.9,0.85,2.43,2.67,1.58,1.09,0.06,0.62
172,Buddy Hield,75,23.3,11.8,9.53,0.44,0.86,0.83,2.69,3.24,1.45,0.85,0.28,0.82
173,Luguentz Dort,74,29.5,9.3,7.92,0.42,0.54,0.73,2.31,3.92,1.45,1.08,0.5,0.82
174,Bilal Coulibaly,66,32.3,12.8,10.72,0.44,3.11,0.72,1.2,5.12,3.72,1.24,0.69,2.08
175,Brice Sensabaugh,72,25.3,15.4,12.43,0.44,1.86,0.87,2.94,3.6,1.97,0.71,0.15,1.73
176,Jerami Grant,55,28.6,13.5,11.52,0.38,2.92,0.87,2.25,3.14,1.68,0.8,0.81,1.37
177,Dillon Brooks,75,31.5,14.2,11.67,0.43,1.92,0.81,2.54,3.43,2.64,0.94,0.2,1.5
178,Kon Knueppel,70,27.3,12.4,9.44,0.44,2.39,0.88,1.97,2.97,2.71,0.8,0.17,1.37
179,Moussa Diabaté,71,22.4,9.5,6.12,0.63,2.76,0.65,0.03,7.6,0.9,0.91,0.63,1.1
180,Chris Paul,69,23.6,7.4,6.19,0.43,0.6,0.88,1.54,3.1,5.11,1.03,0.25,1.33
181,Guerschon Yabusele,72,25.7,10.5,7.52,0.52,1.68,0.76,1.35,4.9,2.05,0.8,0.27,1.22
182,Wendell Carter Jr.,68,27.5,8.8,6.94,0.49,1.73,0.71,0.76,7.22,1.58,0.82,0.73,1.23
183,Nikola Jović,61,25.6,10.2,7.83,0.47,1.26,0.84,1.68,4.25,3.0,0.82,0.32,1.57
184,Day'Ron Sharpe,71,18.7,8.4,6.92,0.52,1.29,0.68,0.31,7.46,1.88,0.59,0.93,1.24
185,Luke Kornet,68,17.2,6.0,3.86,0.69,0.96,0.69,0.01,5.08,1.17,0.43,0.97,0.37
186,Brandon Clarke,47,16.8,8.3,5.42,0.67,1.42,0.7,0.01,4.75,1.23,0.66,0.57,0.64
187,Ace Bailey,67,31.4,16.7,15.16,0.44,2.4,0.71,1.79,5.92,1.76,0.85,0.65,1.63
188,Sam Merrill,72,22.8,9.5,7.76,0.43,0.24,0.93,2.64,2.68,1.95,0.83,0.19,0.52
189,Dennis Schröder,76,30.6,12.4,10.28,0.4,3.19,0.84,1.44,2.97,6.31,0.81,0.19,1.89
190,Zach Collins,60,17.7,8.3,5.97,0.53,1.63,0.83,0.67,5.79,2.17,0.52,0.59,1.38
191,Keyonte George,70,29.5,17.2,13.7,0.4,4.15,0.82,2.76,3.29,4.6,0.58,0.13,2.02
192,Yves Missi,68,24.3,8.6,6.23,0.57,2.44,0.62,0.01,7.92,1.17,0.39,1.24,0.8
193,Rui Hachimura,74,28.5,11.8,9.06,0.5,1.54,0.75,1.54,4.17,1.02,0.59,0.35,0.6
194,Jaylin Williams,65,18.7,6.2,4.77,0.44,0.81,0.77,1.3,5.99,2.78,0.56,0.61,0.91
195,Ben Sheppard,71,24.4,8.5,7.0,0.43,0.94,0.9,1.61,3.99,2.2,0.84,0.25,0.69
196,Larry Nance Jr.,61,22.4,7.3,6.32,0.47,0.63,0.73,0.91,4.84,1.92,1.05,0.42,0.77
197,Dylan Harper,72,27.4,13.7,10.94,0.45,3.61,0.75,1.19,4.59,3.85,1.06,0.4,2.12
198,Jaylen Wells,74,27.5,11.2,8.38,0.44,2.15,0.85,1.9,4.27,2.16,0.62,0.12,0.99
199,Tre Jones,73,20.3,8.4,6.67,0.5,1.64,0.84,0.41,2.86,4.32,0.83,0.17,0.89
200,Terance Mann,67,26.6,10.7,8.22,0.51,1.38,0.79,1.12,3.69,2.24,0.69,0.23,0.9
201,Bruce Brown,73,26.5,10.3,8.46,0.47,1.73,0.81,0.95,3.87,2.7,0.9,0.39,1.34
202,Collin Murray-Boyles,68,21.3,8.7,6.41,0.52,2.62,0.7,0.19,5.18,1.97,1.14,0.78,1.47
203,De'Anthony Melton,47,21.3,9.3,7.85,0.41,1.25,0.82,1.78,3.42,2.7,1.15,0.36,1.41
204,RJ Barrett,76,31.3,17.6,14.65,0.45,3.94,0.7,1.63,6.03,4.07,0.81,0.26,2.09
205,Luka Garza,64,21.6,12.3,8.85,0.53,2.65,0.75,0.99,5.71,1.35,0.53,0.29,1.34
206,Ryan Dunn,71,26.5,9.9,9.44,0.4,1.16,0.51,1.81,5.72,0.85,1.27,0.69,0.75
207,Duncan Robinson,68,26.6,11.5,9.21,0.44,0.74,0.88,2.78,2.64,2.36,0.69,0.11,1.29
208,Noah Clowney,71,25.3,11.7,9.62,0.4,2.6,0.82,2.0,4.5,1.05,0.57,0.69,1.11
209,Ronald Holland II,74,23.3,10.2,7.29,0.49,2.85,0.75,0.87,3.85,2.05,1.07,0.38,1.34
210,Harrison Barnes,73,24.6,10.6,7.58,0.49,1.6,0.81,1.85,3.17,1.34,0.52,0.16,0.6
211,Max Strus,36,25.4,9.9,8.14,0.43,0.79,0.79,2.23,4.21,2.95,0.58,0.2,1.06
212,P.J. Washington,76,27.5,12.3,9.62,0.47,2.82,0.69,1.35,5.17,1.77,0.87,0.64,1.56
213,Ryan Rollins,71,18.7,7.8,5.99,0.49,1.29,0.8,0.98,2.6,3.33,1.05,0.28,1.34
214,Mike Conley,58,23.3,7.4,5.82,0.43,0.96,0.88,1.55,2.34,4.05,0.82,0.19,1.02
215,Marcus Smart,46,27.4,9.7,8.54,0.4,1.7,0.77,1.52,2.5,3.85,1.5,0.28,1.85
216,Bub Carrington,71,28.6,10.4,8.87,0.42,1.37,0.83,1.88,4.58,5.15,0.56,0.31,2.24
217,Royce O'Neale,74,22.3,8.7,7.52,0.41,0.52,0.66,2.26,3.68,2.41,0.78,0.4,0.92
218,Jonathan Isaac,56,16.2,4.4,3.62,0.43,1.13,0.71,0.44,4.65,0.7,0.96,1.15,0.67
219,Karlo Matković,42,16.3,7.2,4.97,0.6,0.91,0.79,0.51,4.26,0.89,0.43,0.75,0.9
220,Justin Champagnie,61,17.7,7.0,5.14,0.52,1.0,0.72,0.9,4.64,0.79,0.81,0.5,0.69
221,Moritz Wagner,38,17.3,10.1,6.41,0.58,2.65,0.77,0.63,4.38,1.17,0.6,0.27,1.09
222,Moses Moody,72,22.4,9.2,7.1,0.45,1.41,0.8,1.61,2.48,1.18,0.81,0.47,0.68
223,Klay Thompson,62,25.3,11.6,10.3,0.41,0.72,0.9,2.64,2.67,1.6,0.56,0.43,0.89
224,Dru Smith,38,18.8,6.1,4.82,0.47,0.8,0.82,0.98,2.4,2.02,1.19,0.36,0.9
225,Quinten Post,65,20.3,9.6,7.66,0.45,0.84,0.77,2.17,3.68,1.3,0.45,0.53,0.94
226,Collin Sexton,59,25.4,12.5,9.63,0.48,2.4,0.86,1.24,2.24,3.18,0.66,0.11,1.79
227,Khaman Maluach,66,18.8,6.9,4.98,0.57,1.26,0.76,0.18,5.79,0.68,0.34,0.91,0.91
228,Bogdan Bogdanović,55,22.7,9.8,7.88,0.45,1.08,0.89,1.74,2.82,2.19,0.65,0.18,0.96
229,Jonathan Kuminga,73,26.7,17.4,12.84,0.48,5.7,0.68,1.14,5.46,2.49,0.86,0.49,1.62
230,Isaiah Collier,74,27.6,11.4,9.43,0.46,2.87,0.71,0.79,3.32,6.73,1.16,0.24,2.66
231,Tre Johnson,73,28.6,13.9,12.13,0.41,2.06,0.84,2.29,2.67,2.57,0.74,0.22,1.45
232,Davion Mitchell,74,26.5,7.3,6.05,0.46,1.15,0.7,0.89,2.42,5.16,1.15,0.22,1.55
233,Dean Wade,67,24.3,6.7,5.4,0.42,0.63,0.68,1.75,3.98,1.18,0.81,0.44,0.46
234,Jordan Clarkson,68,26.6,14.2,12.01,0.41,2.86,0.81,2.15,3.19,4.35,0.77,0.17,2.27
235,Vince Williams Jr.,72,20.8,8.9,7.41,0.43,1.25,0.81,1.47,4.2,2.59,0.68,0.41,1.29
236,Nickeil Alexander-Walker,75,24.6,9.5,7.52,0.43,1.6,0.78,1.81,3.18,2.6,0.62,0.46,1.22
237,Kris Dunn,61,19.7,5.4,4.99,0.44,0.24,0.81,0.88,2.86,2.16,1.23,0.33,0.78
238,Naji Marshall,74,24.6,10.3,8.53,0.46,1.84,0.8,0.98,4.54,2.45,0.87,0.16,1.48
239,Dorian Finney-Smith,61,26.6,8.8,7.43,0.43,0.52,0.71,1.98,3.47,1.17,0.87,0.35,0.88
240,Jaxson Hayes,68,16.8,6.4,3.56,0.76,1.59,0.65,0.01,3.96,0.78,0.51,0.75,0.69
241,Cole Anthony,67,19.2,9.0,7.36,0.44,1.62,0.86,1.14,3.16,3.09,0.69,0.37,1.51
242,Isaiah Joe,73,19.4,8.9,6.78,0.45,0.65,0.84,2.3,2.35,1.36,0.52,0.12,0.4
243,Tyus Jones,73,23.4,6.8,6.0,0.44,0.24,0.84,1.36,2.13,4.31,0.74,0.1,0.74
244,Terrence Shannon Jr.,74,24.3,10.3,8.35,0.5,1.38,0.81,0.81,3.15,1.91,0.55,0.31,0.95
245,Hansen Yang,58,18.3,7.6,6.01,0.51,1.57,0.69,0.39,6.37,1.98,0.49,1.09,2.03
246,Anthony Black,74,21.7,8.1,7.05,0.45,1.44,0.76,0.72,3.09,2.22,1.01,0.55,1.19
247,Taurean Prince,78,27.4,7.4,5.83,0.45,0.72,0.81,1.53,2.87,1.87,0.94,0.23,1.02
248,Derrick Jones Jr.,74,23.7,8.9,6.71,0.52,1.48,0.65,0.96,3.35,0.71,0.88,0.49,0.77
249,Peyton Watson,74,19.3,6.6,5.06,0.5,1.52,0.66,0.55,3.2,1.04,0.51,1.25,0.7
250,Stephon Castle,77,28.6,14.3,11.71,0.45,3.88,0.72,1.08,3.95,4.29,1.0,0.3,2.32
251,Baylor Scheierman,71,20.6,8.7,7.54,0.41,1.06,0.76,1.76,4.2,2.35,0.85,0.13,1.06
252,Mouhamed Gueye,70,15.3,5.5,4.55,0.45,1.19,0.75,0.6,4.01,0.73,0.69,0.83,0.47
253,Haywood Highsmith,63,24.3,6.0,5.07,0.45,0.39,0.72,1.14,3.98,1.66,0.83,0.34,0.74
254,Keldon Johnson,75,20.3,9.9,7.78,0.5,1.61,0.8,0.92,3.97,1.3,0.49,0.26,0.92
255,Saddiq Bey,54,23.3,9.7,7.84,0.43,1.76,0.87,1.45,4.05,0.92,0.57,0.15,0.72
256,Isaac Okoro,61,22.4,8.2,6.12,0.5,1.46,0.71,1.04,2.71,1.55,0.69,0.37,0.51
257,Miles McBride,67,20.7,7.9,7.1,0.42,0.56,0.82,1.49,2.09,1.93,0.9,0.23,0.52
258,Jose Alvarado,55,19.6,7.8,6.97,0.4,0.93,0.81,1.44,2.17,2.99,1.01,0.22,0.98
259,Patrick Williams,68,21.7,8.8,7.29,0.46,0.99,0.75,1.42,3.09,1.64,0.77,0.38,1.14
260,Jake LaRavia,66,23.2,7.9,6.27,0.45,1.44,0.74,1.12,3.22,1.76,0.98,0.37,1.11
261,Aaron Holiday,72,21.2,9.7,7.93,0.42,0.95,0.86,2.21,1.77,2.14,0.59,0.2,0.86
262,Jarace Walker,68,17.8,7.4,6.03,0.46,0.81,0.79,1.25,3.36,2.01,0.62,0.42,1.0
263,AJ Green,72,26.6,8.1,6.6,0.41,0.45,0.83,2.28,2.86,2.14,0.56,0.11,0.64
264,Trendon Watford,69,20.6,9.5,6.79,0.54,2.16,0.76,0.45,4.12,1.93,0.6,0.31,1.41
265,Derik Queen,58,20.8,10.3,8.1,0.49,2.83,0.77,0.17,5.4,1.3,0.61,0.49,1.35
266,Nick Richards,56,16.8,6.7,4.38,0.62,1.62,0.8,0.01,5.75,0.55,0.17,0.69,1.06
267,Ochai Agbaji,72,19.8,7.8,6.43,0.49,0.45,0.71,1.21,2.85,0.96,0.67,0.36,0.65
268,Grant Williams,37,23.6,7.1,5.86,0.41,1.44,0.8,1.21,4.57,1.63,0.66,0.47,1.11
269,Jaime Jaquez Jr.,71,20.2,7.7,6.21,0.5,1.3,0.75,0.52,4.39,2.64,0.86,0.21,1.6
270,Walter Clayton Jr.,71,21.3,10.0,8.48,0.4,1.7,0.82,1.85,2.6,2.76,0.71,0.31,1.5
271,Tony Bradley,47,13.8,6.1,4.19,0.63,1.14,0.66,0.08,4.75,0.77,0.3,0.77,0.75
