,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
234,Alex Caruso,"PG,SG,SF",OKC,72.0,19.6,6.8,0.46,0.801,1.2,2.8,2.5,1.5,0.6,0.8
235,Anthony Black,"PG,SG,SF",ORL,76.0,19.3,6.8,0.433,0.734,0.6,2.4,2.2,0.8,0.5,1.2
236,Derrick Jones Jr.,"SF,PF",LAC,76.0,17.5,6.8,0.514,0.709,0.7,2.4,0.6,0.6,0.4,0.6
237,Caleb Martin,"SG,SF,PF",DAL,49.0,21.1,6.7,0.436,0.712,0.8,3.3,1.6,0.7,0.4,0.9
238,Lonzo Ball,"PG,SG",CLE,64.0,20.1,6.6,0.368,0.813,1.6,3.0,2.9,1.2,0.4,1.0
239,Danny Wolf,PF,BKN,74.0,15.7,6.4,0.473,0.684,0.4,3.6,1.5,0.4,0.6,0.9
240,Tristan da Silva,"SF,PF",ORL,76.0,20.0,6.4,0.425,0.882,0.9,3.0,1.4,0.4,0.3,0.7
241,Vince Williams Jr.,"PF,PG,SF,SG",MEM,68.0,18.3,6.4,0.43,0.798,0.9,3.7,2.1,0.5,0.3,1.1
242,Larry Nance Jr.,"PF,C",CLE,69.0,18.4,6.2,0.563,0.723,0.7,4.5,1.6,0.8,0.4,0.6
243,Andre Drummond,C,PHI,73.0,14.5,6.0,0.535,0.591,0.0,6.4,0.5,0.8,0.4,1.0
244,Jake LaRavia,"SF,PF",LAL,72.0,17.1,5.9,0.458,0.722,0.8,3.0,1.7,0.7,0.3,1.0
245,Trayce Jackson-Davis,"PF,C",GSW,72.0,13.8,5.8,0.632,0.567,0.0,4.1,1.3,0.4,0.7,0.6
246,Adem Bona,C,PHI,69.0,16.0,5.8,0.702,0.675,0.0,4.1,0.5,0.5,1.2,1.0
247,Jarace Walker,"PF,SF",IND,75.0,15.5,5.8,0.455,0.675,1.0,3.0,1.5,0.7,0.4,1.0
248,Robert Williams III,C,POR,69.0,17.0,5.7,0.671,0.771,0.0,5.5,1.0,0.6,1.2,0.8
249,Precious Achiuwa,"PF,C",FA,44.0,16.2,5.5,0.5,0.625,0.3,4.4,0.8,0.5,0.5,0.7
250,Jonathan Mogbo,"C,PF",TOR,72.0,18.4,5.5,0.45,0.733,0.2,4.3,2.0,0.8,0.5,1.0
251,Mason Plumlee,C,CHA,74.0,19.1,5.4,0.614,0.655,0.0,6.1,1.9,0.5,0.6,1.0
252,Ben Sheppard,"SG,SF",IND,72.0,19.4,5.3,0.408,0.884,1.1,2.7,1.4,0.7,0.2,0.4
253,Dario Saric,"PF,C",SAC,52.0,13.4,5.3,0.451,0.82,0.7,3.3,1.4,0.4,0.1,0.9
254,Kevin Love,"PF,C",UTH,42.0,11.2,5.3,0.396,0.798,1.0,4.0,1.1,0.4,0.1,0.7
255,Goga Bitadze,C,ORL,72.0,15.9,5.2,0.589,0.635,0.0,4.9,1.4,0.6,1.1,0.8
256,Kenrich Williams,"SF,PF",OKC,68.0,14.6,5.2,0.487,0.628,0.8,3.1,1.2,0.5,0.1,0.5
257,Bol Bol,"PF,C",FA,34.0,11.2,5.2,0.548,0.764,0.5,2.8,0.6,0.3,0.7,0.6
