,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
90,Alex Sarr,C,WAS,74.0,31.1,15.4,0.397,0.68,1.9,7.3,3.0,0.8,1.7,2.0
91,Stephon Castle,"PG,SG",SAS,77.0,29.0,15.4,0.429,0.722,1.1,3.6,4.2,1.0,0.3,2.2
92,Jerami Grant,"SF,PF",POR,71.0,29.2,15.2,0.414,0.829,2.1,3.3,2.1,0.8,0.7,1.4
93,D'Angelo Russell,"PG,SG",DAL,71.0,30.0,15.2,0.435,0.831,2.4,2.9,5.7,0.9,0.4,2.0
94,Amen Thompson,"PF,PG,SF,SG",HOU,75.0,31.5,14.8,0.557,0.687,0.3,8.2,4.1,1.4,1.1,2.1
95,Aaron Gordon,"PF,C",DEN,75.0,30.4,14.6,0.541,0.716,1.1,5.7,3.2,0.7,0.5,1.4
96,Tobias Harris,"PF,SF",DET,76.0,31.9,14.6,0.486,0.874,1.3,6.1,2.4,1.0,0.7,1.3
97,Kon Knueppel,"SF,SG",CHA,74.0,27.9,14.3,0.445,0.82,1.6,3.7,2.4,0.7,0.4,1.4
98,Zaccharie Risacher,"PF,SF,SG",ATL,76.0,28.3,14.3,0.454,0.716,1.9,4.1,1.3,0.8,0.5,1.4
99,Jarrett Allen,C,CLE,77.0,29.8,14.1,0.667,0.733,0.0,9.9,2.1,0.9,1.0,1.4
100,Jordan Clarkson,"PG,SF,SG",NYK,71.0,24.4,14.0,0.423,0.821,1.7,2.7,3.3,0.6,0.2,1.9
101,Collin Sexton,"PG,SG",CHA,74.0,22.7,13.8,0.471,0.856,1.3,2.0,3.2,0.6,0.1,1.8
102,Bobby Portis Jr.,"PF,C",MIL,73.0,25.9,13.8,0.49,0.802,1.1,8.1,1.7,0.7,0.4,1.1
103,Naz Reid,"PF,C",MIN,78.0,25.4,13.7,0.475,0.745,2.0,5.6,1.9,0.7,0.9,1.4
104,Jalen Suggs,"PG,SG",ORL,71.0,28.1,13.6,0.434,0.811,1.9,3.6,3.2,1.5,0.9,2.2
105,Mark Williams,C,PHO,70.0,26.3,13.6,0.624,0.773,0.0,9.3,2.0,0.8,1.1,1.4
106,Jabari Smith Jr.,"PF,C",HOU,72.0,31.1,13.6,0.444,0.813,1.9,7.3,1.4,0.5,0.8,1.2
107,Aaron Nesmith,"PF,SF",IND,72.0,30.0,13.4,0.477,0.853,2.1,4.7,1.7,1.0,0.6,1.0
108,Payton Pritchard,PG,BOS,78.0,27.7,13.4,0.461,0.836,2.8,4.1,4.0,0.9,0.2,1.1
109,Keyonte George,"PG,SG",UTH,74.0,27.1,13.3,0.391,0.826,2.1,3.0,4.5,0.5,0.1,2.3
110,Dillon Brooks,"PF,SF,SG",PHO,75.0,31.0,13.2,0.423,0.815,2.2,3.3,2.0,0.8,0.2,1.1
111,P.J. Washington Jr.,"PF,SF",DAL,73.0,30.0,13.2,0.454,0.719,1.6,5.8,2.1,0.9,0.9,1.5
112,Kelly Oubre Jr.,"PF,SF,SG",PHI,73.0,28.9,13.2,0.461,0.756,1.2,4.6,1.3,1.2,0.4,1.1
113,Jrue Holiday,"PG,SG",POR,71.0,32.0,13.1,0.449,0.873,1.8,4.6,4.7,1.1,0.5,2.0
114,Gary Trent Jr.,"SF,SG",MIL,75.0,28.8,13.0,0.44,0.826,2.4,2.5,1.4,1.1,0.1,0.7
115,Tre Johnson,SG,WAS,74.0,24.4,13.0,0.436,0.817,1.3,1.9,1.7,0.9,0.3,1.6
116,Ace Bailey,"PF,SF",UTH,75.0,27.0,12.8,0.465,0.742,0.9,4.3,1.8,0.8,0.5,1.7
117,Scoot Henderson,PG,POR,69.0,26.4,12.8,0.406,0.784,1.5,2.9,5.0,0.9,0.2,2.8
118,Christian Braun,"SG,SF",DEN,78.0,30.6,12.7,0.546,0.778,1.1,4.8,2.2,1.0,0.5,0.9
119,Jakob Poeltl,C,TOR,74.0,28.1,12.7,0.625,0.632,0.0,9.0,2.6,1.0,1.3,1.8
120,Keegan Murray,"SF,PF",SAC,77.0,33.1,12.7,0.449,0.818,2.2,5.8,1.4,0.9,0.8,0.8
121,Dyson Daniels,"PG,SF,SG",ATL,74.0,32.7,12.6,0.48,0.603,1.1,5.8,4.3,2.6,0.6,2.0
122,Dylan Harper,"PG,SG",SAS,73.0,24.5,12.4,0.458,0.818,0.8,2.6,3.6,1.0,0.4,1.8
123,Rui Hachimura,"SF,PF",LAL,69.0,28.5,12.4,0.522,0.76,1.4,4.4,1.2,0.6,0.4,0.8
124,Jalen Duren,C,DET,76.0,28.3,12.4,0.672,0.693,0.0,10.9,2.4,0.7,1.1,1.9
125,Jaden McDaniels,"SF,PF",MIN,78.0,32.4,12.4,0.482,0.781,1.3,5.0,2.0,1.2,0.9,1.3
126,Buddy Hield,"SG,SF",GSW,79.0,25.2,12.3,0.428,0.838,2.8,3.5,2.1,0.9,0.3,1.2
127,Rudy Gobert,C,MIN,75.0,32.1,12.3,0.653,0.656,0.0,11.3,1.6,0.7,1.6,1.4
128,Quentin Grimes,"SG,SF",PHI,74.0,27.1,12.2,0.462,0.765,2.1,3.4,2.5,0.9,0.3,1.4
129,T.J. McConnell,PG,IND,69.0,23.8,12.2,0.53,0.78,0.3,3.5,6.6,1.4,0.3,2.0
130,Gradey Dick,"SG,SF",TOR,73.0,26.9,12.2,0.416,0.859,1.8,3.1,1.5,0.8,0.2,1.3
131,Keldon Johnson,"PF,SF",SAS,75.0,22.8,12.1,0.466,0.772,1.2,4.0,1.7,0.6,0.2,1.0
132,Onyeka Okongwu,C,ATL,76.0,26.7,12.0,0.588,0.767,0.5,8.3,1.8,0.8,1.0,1.2
133,Jonathan Kuminga,"PF,SF",GSW,72.0,20.6,11.9,0.486,0.694,0.7,3.6,1.8,0.7,0.4,1.2
134,Ty Jerome,"PG,SG",MEM,74.0,20.1,11.9,0.504,0.888,1.4,2.5,3.4,1.0,0.1,1.3
135,Matas Buzelis,"SF,PF",CHI,76.0,26.6,11.8,0.457,0.813,1.6,4.6,1.4,0.5,1.2,1.3
136,Andrew Nembhard,"PG,SG",IND,75.0,31.6,11.7,0.462,0.798,1.1,3.3,5.9,1.3,0.2,1.9
137,Josh Hart,"PF,SF,SG",NYK,76.0,35.8,11.7,0.504,0.768,1.0,8.7,5.0,1.3,0.3,1.8
138,Malcolm Brogdon,"PG,SG",FA,66.0,22.4,11.7,0.453,0.866,1.1,3.3,3.5,0.5,0.2,1.3
139,Obi Toppin,PF,IND,77.0,22.9,11.6,0.521,0.775,1.5,4.5,1.9,0.7,0.5,1.0
140,Ayo Dosunmu,"SF,SG",CHI,71.0,29.6,11.5,0.493,0.797,1.4,3.1,3.8,0.8,0.4,1.5
141,Brice Sensabaugh,"PF,SF,SG",UTH,74.0,22.8,11.3,0.448,0.891,2.2,3.2,1.7,0.7,0.1,1.7
142,Khris Middleton,"PF,SF,SG",WAS,69.0,22.3,11.3,0.458,0.863,1.3,3.6,4.0,0.8,0.2,1.7
143,Donte DiVincenzo,"PG,SG",MIN,74.0,25.4,11.2,0.43,0.777,2.6,3.6,3.2,1.2,0.3,1.4
144,Caris LeVert,"SG,SF",DET,73.0,24.7,11.2,0.441,0.728,1.4,3.3,3.3,0.9,0.4,1.3
145,Walter Clayton,"PG,SG",UTH,74.0,22.6,11.2,0.434,0.808,1.4,1.7,3.4,0.8,0.2,2.1
146,Dennis Schroder,"PG,SG",SAC,76.0,25.5,11.1,0.417,0.84,1.4,2.3,4.5,0.7,0.2,1.6
147,Chris Boucher,"PF,C",FA,72.0,20.4,11.1,0.487,0.774,1.5,5.9,0.7,0.6,0.9,0.7
148,Tari Eason,"SF,PF",HOU,71.0,23.5,11.0,0.481,0.747,1.0,6.1,1.3,1.5,0.7,1.1
149,Nic Claxton,C,BKN,75.0,27.8,11.0,0.606,0.533,0.0,8.0,2.4,0.9,1.6,1.2
150,Terry Rozier,"PG,SG",MIA,47.0,22.5,11.0,0.414,0.845,1.4,2.9,3.1,0.7,0.1,1.2
151,Saddiq Bey,"SF,PF",NOR,74.0,25.7,11.0,0.42,0.849,1.5,4.4,1.2,0.7,0.1,0.7
152,Bilal Coulibaly,"SG,SF",WAS,70.0,32.2,11.0,0.422,0.735,1.1,4.8,2.8,1.2,0.7,1.9
153,Brandin Podziemski,"PG,SG",GSW,74.0,28.6,10.9,0.439,0.718,1.7,5.3,3.5,1.1,0.2,1.2
154,Luguentz Dort,"SG,SF",OKC,76.0,29.4,10.9,0.426,0.767,2.2,4.1,1.6,1.1,0.5,0.9
155,Harrison Barnes,"SF,PF",SAS,79.0,26.4,10.9,0.484,0.818,1.5,3.2,1.3,0.5,0.2,0.6
156,Egor Demin,"PG,SG",BKN,74.0,25.3,10.8,0.444,0.769,0.7,3.0,4.4,0.9,0.4,1.8
157,Kyle Filipowski,"C,PF",UTH,75.0,24.8,10.8,0.506,0.65,1.2,6.7,2.2,0.8,0.4,1.6
158,Max Strus,"SG,SF",CLE,57.0,28.5,10.8,0.425,0.826,2.4,4.2,3.1,0.6,0.3,1.1
159,Toumani Camara,"SF,PF",POR,77.0,30.9,10.6,0.459,0.734,1.6,5.5,2.0,1.3,0.6,1.4
160,Daniel Gafford,C,DAL,73.0,21.9,10.6,0.715,0.683,0.0,6.4,1.3,0.5,1.6,1.0
161,Kel'el Ware,"C,PF",MIA,74.0,25.5,10.6,0.552,0.689,0.6,8.3,1.2,0.7,1.2,1.0
162,Santi Aldama,"C,PF,SF",MEM,72.0,23.8,10.5,0.472,0.694,1.6,5.7,2.3,0.7,0.5,0.9
163,Ausar Thompson,"PF,SF",DET,72.0,26.0,10.5,0.512,0.627,0.2,6.1,2.2,1.7,0.8,1.5
164,Derik Queen,C,NOR,71.0,23.9,10.4,0.521,0.738,0.2,5.5,1.6,0.8,0.9,1.3
165,Jaylen Wells,"SF,SG",MEM,76.0,27.0,10.4,0.431,0.83,1.7,3.5,1.7,0.5,0.1,0.8
166,Jeremiah Fears,"PG,SG",NOR,74.0,21.2,10.4,0.434,0.799,0.8,1.9,2.6,0.8,0.1,1.3
167,Tim Hardaway Jr.,"SG,SF",DEN,77.0,24.5,10.3,0.407,0.833,2.0,2.4,1.5,0.5,0.1,0.6
168,Wendell Carter Jr.,C,ORL,75.0,27.1,10.3,0.49,0.727,0.8,7.4,1.9,0.7,0.7,1.2
169,Kevin Huerter,"SG,SF",CHI,72.0,24.4,10.3,0.444,0.733,2.0,3.0,2.4,0.9,0.4,0.9
170,Herbert Jones,"SF,PF",NOR,72.0,31.4,10.2,0.469,0.825,1.2,3.5,2.6,1.5,0.7,1.4
171,Bub Carrington,"PG,SG",WAS,77.0,30.9,10.1,0.406,0.811,1.8,4.3,4.7,0.7,0.3,1.7
172,Corey Kispert,"PF,SF,SG",WAS,74.0,22.8,10.1,0.463,0.802,1.9,2.5,1.4,0.4,0.2,0.9
173,Isaiah Collier,"PG,SG",UTH,75.0,31.4,10.0,0.421,0.681,0.7,3.8,7.2,1.0,0.3,3.4
174,GG Jackson II,"SF,PF",MEM,69.0,20.2,10.0,0.408,0.742,1.5,3.8,1.1,0.5,0.3,1.2
175,Zach Edey,C,MEM,70.0,24.5,9.9,0.575,0.705,0.3,9.2,1.1,0.5,1.4,1.5
176,Jaime Jaquez Jr.,"SF,SG",MIA,75.0,24.2,9.9,0.475,0.779,0.7,4.2,2.7,1.0,0.2,1.5
177,Walker Kessler,C,UTH,76.0,28.2,9.8,0.679,0.535,0.1,9.9,1.3,0.5,2.2,1.3
178,Brook Lopez,C,LAC,77.0,23.5,9.8,0.519,0.81,1.2,3.8,1.2,0.5,1.4,0.8
179,Aaron Wiggins,"SG,SF",OKC,76.0,19.9,9.7,0.501,0.824,1.3,3.3,1.4,0.7,0.2,0.8
180,Bogdan Bogdanovic,"SG,SF",LAC,71.0,20.6,9.7,0.444,0.892,1.8,2.3,2.1,0.7,0.2,1.1
181,Duncan Robinson,"SG,SF",DET,75.0,21.8,9.7,0.44,0.889,2.2,2.1,2.0,0.5,0.1,1.1
182,Sam Hauser,"SF,PF",BOS,75.0,24.0,9.6,0.441,0.901,2.7,3.9,1.2,0.7,0.3,0.4
183,Cole Anthony,PG,MIL,73.0,19.0,9.5,0.444,0.839,1.0,3.2,2.8,0.6,0.4,1.3
184,Scotty Pippen Jr.,"PG,SG",MEM,75.0,20.9,9.5,0.48,0.728,1.1,3.2,4.1,1.3,0.4,1.7
185,Jeremy Sochan,"C,PF",SAS,72.0,23.2,9.4,0.487,0.722,0.6,5.1,2.2,0.7,0.4,1.3
