,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
550,Dillon Jones,"SF,PF",WAS,0.0,30.0,10.2,2.5,1.0,2.5,0.382,0.5,0.3,0.615,0.3,2.3,1.1,0.3,0.1,0.5,-11.72
551,Jevon Carter,"PG,SG",CHI,0.0,32.0,7.2,2.8,1.1,2.8,0.377,0.1,0.1,0.778,0.6,0.5,0.7,0.3,0.1,0.3,-11.82
552,Johnny Davis,"SG,SF",FA,0.0,42.0,9.7,2.7,1.1,2.7,0.406,0.5,0.3,0.578,0.2,1.3,0.5,0.4,0.2,0.2,-11.9
553,Bryce McGowens,"PG,SG",NO,0.0,36.0,8.7,3.0,1.0,2.4,0.43,0.9,0.7,0.773,0.3,1.0,0.5,0.2,0.1,0.3,-11.91
554,Chaz Lanier,SG,DET,0.0,40.0,8.7,3.7,1.3,3.1,0.421,0.5,0.4,0.778,0.7,0.8,0.2,0.2,0.0,0.2,-11.94
555,Will Riley,SF,WAS,0.0,40.0,10.4,3.8,1.4,3.2,0.423,1.0,0.7,0.723,0.4,1.3,0.7,0.1,0.1,0.4,-11.94
556,Tristan Thompson,C,FA,0.0,44.0,9.7,2.6,1.2,2.1,0.545,0.9,0.3,0.272,0.0,3.4,0.8,0.2,0.3,0.5,-11.98
557,Tyrese Proctor,,CLE,0.0,30.0,12.7,2.7,1.0,4.7,0.213,0.0,0.0,0.0,0.7,1.3,1.0,0.7,0.0,1.3,-12.08
558,Kylor Kelley,,FA,0.0,11.0,11.5,3.1,1.3,2.0,0.635,0.9,0.6,0.598,0.0,3.6,0.5,0.1,0.3,0.4,-12.1
559,Daeqwon Plowden,"SF,PF",SAC,0.0,6.0,5.9,3.6,1.3,2.1,0.639,0.2,0.2,1.0,0.8,0.9,0.2,0.0,0.0,0.3,-12.11
560,Tolu Smith,,DET,0.0,2.0,8.4,5.3,2.3,3.4,0.667,1.1,0.8,0.667,0.0,3.0,0.0,0.0,0.0,0.8,-12.15
561,Dariq Whitehead,"SG,SF",BKN,0.0,11.0,12.1,5.3,1.8,4.6,0.396,0.3,0.2,0.563,1.5,1.5,0.7,0.3,0.1,0.7,-12.16
562,Nae'Qwan Tomlin,,CLE,0.0,5.0,12.7,7.3,2.6,6.5,0.406,2.2,1.6,0.726,0.4,4.3,0.4,0.0,0.2,0.4,-12.33
563,Colin Castleton,"PF,C",ORL,0.0,21.0,10.2,3.1,1.2,2.4,0.481,0.9,0.7,0.793,0.0,2.8,0.7,0.2,0.2,0.6,-12.35
564,Kobe Brown,"PF,C",LAC,0.0,30.0,5.9,1.5,0.6,1.5,0.434,0.1,0.1,0.625,0.2,1.1,0.4,0.2,0.1,0.2,-12.38
565,Colby Jones,"SG,SF",DET,0.0,10.0,9.8,3.1,1.2,2.8,0.436,0.6,0.4,0.641,0.3,1.8,0.9,0.5,0.3,0.5,-12.42
566,Maxwell Lewis,"SG,SF",BKN,0.0,31.0,7.4,2.2,0.9,2.2,0.379,0.2,0.2,0.696,0.4,1.0,0.4,0.2,0.1,0.4,-12.43
567,Reece Beekman,PG,BKN,0.0,16.0,11.0,2.2,0.8,2.5,0.328,0.5,0.4,0.76,0.2,0.9,1.5,0.8,0.1,0.5,-12.54
568,Garrett Temple,"PG,SG",TOR,0.0,20.0,9.4,2.6,0.9,2.5,0.343,0.6,0.5,0.841,0.3,1.4,1.1,0.5,0.1,0.4,-12.55
569,Hunter Tyson,"SF,PF",DEN,0.0,30.0,5.3,1.8,0.6,1.7,0.377,0.3,0.3,0.758,0.3,1.0,0.3,0.1,0.1,0.2,-12.57
570,Olivier-Maxence Prosper,"PF,C",MEM,0.0,40.0,6.8,2.4,0.8,2.1,0.394,0.9,0.6,0.655,0.2,1.5,0.5,0.3,0.1,0.2,-12.71
571,Tosan Evbuomwan,"SF,PF",NY,0.0,22.0,10.4,3.8,1.3,3.0,0.446,1.0,0.7,0.73,0.4,1.8,0.7,0.3,0.2,0.5,-12.74
572,Jalen Pickett,"PG,SG",DEN,0.0,20.0,9.1,2.8,1.1,2.5,0.426,0.1,0.1,0.714,0.6,1.0,1.5,0.3,0.1,0.4,-12.79
573,Damion Baugh,"PG,SG",FA,0.0,15.0,13.7,3.6,1.4,4.3,0.322,0.5,0.4,0.878,0.4,1.6,1.8,0.5,0.1,1.0,-12.84
574,Yuki Kawamura,,CHI,0.0,22.0,8.2,3.3,1.0,2.6,0.383,0.8,0.6,0.788,0.6,1.1,2.0,0.2,0.0,0.5,-12.85
575,KJ Simpson,PG,CHA,0.0,16.0,10.4,3.6,1.4,3.8,0.363,0.6,0.5,0.823,0.4,1.4,1.4,0.4,0.1,0.7,-12.85
576,Isaiah Mobley,"SF,PF",FA,0.0,5.0,12.3,4.0,1.7,4.3,0.387,0.4,0.1,0.333,0.6,2.0,1.5,0.4,0.1,0.3,-13.04
577,Jackson Rowe,,GS,0.0,6.0,8.6,3.7,1.3,2.9,0.469,1.0,0.5,0.495,0.5,1.9,0.7,0.7,0.0,0.2,-13.13
578,Antonio Reeves,"SG,SF",CHA,0.0,14.0,8.0,3.8,1.4,3.0,0.461,0.4,0.3,0.791,0.6,0.8,0.5,0.3,0.1,0.4,-13.14
579,Tyler Smith,"PF,C",MIL,0.0,14.0,5.3,3.0,1.1,2.2,0.482,0.4,0.3,0.743,0.6,1.1,0.2,0.1,0.2,0.4,-13.18
580,Adou Thiero,SF,LAL,0.0,20.0,10.4,4.3,1.5,3.0,0.488,1.8,1.3,0.679,0.1,1.6,0.5,0.5,0.2,0.5,-13.19
581,Cole Swider,PF,FA,0.0,14.0,10.9,4.3,1.6,4.3,0.366,0.1,0.1,0.692,1.1,1.5,0.3,0.2,0.1,0.5,-13.32
582,Jeff Green,PF,HOU,0.0,20.0,7.1,2.9,1.0,2.1,0.468,0.7,0.6,0.811,0.4,1.0,0.4,0.1,0.2,0.2,-13.34
583,Drew Timme,,BKN,0.0,10.0,10.4,4.5,1.9,4.2,0.441,0.7,0.4,0.621,0.4,2.7,0.8,0.2,0.0,0.6,-13.39
584,Jaylen Martin,,WAS,0.0,10.0,7.9,2.6,1.0,2.5,0.419,0.3,0.3,0.909,0.2,1.5,0.6,0.3,0.0,0.4,-13.62
585,Tyson Etienne,,BKN,0.0,7.0,11.4,4.2,1.3,4.0,0.328,0.8,0.6,0.803,1.0,0.7,0.9,0.2,0.1,0.6,-13.76
586,Jordan Miller,SF,LAC,0.0,20.0,7.4,2.8,1.1,2.4,0.441,0.6,0.5,0.806,0.2,1.1,0.6,0.3,0.1,0.5,-13.81
587,Jalen Hood-Schifino,"SG,SF",FA,0.0,18.0,13.1,4.4,1.5,4.5,0.329,1.3,0.9,0.734,0.5,1.3,1.4,0.3,0.3,0.8,-13.86
588,Taze Moore,,FA,0.0,3.0,10.0,4.0,1.7,4.9,0.345,0.7,0.3,0.507,0.3,2.7,1.0,0.7,0.0,0.8,-13.91
589,Orlando Robinson,C,ORL,0.0,10.0,5.0,1.9,0.7,1.6,0.459,0.5,0.3,0.756,0.1,1.4,0.5,0.1,0.1,0.3,-14.06
590,Joe Ingles,SF,MIN,0.0,20.0,6.0,1.5,0.5,1.2,0.424,0.2,0.1,0.813,0.3,0.7,1.1,0.2,0.0,0.4,-14.09
591,Jamaree Bouyea,PG,MIL,0.0,10.0,8.4,2.1,0.9,2.2,0.401,0.3,0.2,0.667,0.1,1.3,1.1,0.3,0.1,0.9,-14.23
592,Ron Harper Jr.,SF,BOS,0.0,8.0,8.3,1.6,0.4,3.3,0.126,0.8,0.8,1.0,0.0,2.8,1.2,0.0,0.0,0.0,-14.34
593,DeAndre Jordan,C,NO,0.0,10.0,4.7,1.5,0.7,1.0,0.637,0.5,0.2,0.451,0.0,1.9,0.4,0.1,0.2,0.3,-14.4
594,Jacob Toppin,,ATL,0.0,13.0,4.3,1.4,0.5,1.2,0.454,0.1,0.1,1.0,0.2,0.8,0.3,0.1,0.0,0.2,-14.48
595,Chris Livingston,SF,MIL,0.0,20.0,5.1,1.5,0.5,1.3,0.403,0.5,0.4,0.75,0.0,1.5,0.3,0.2,0.0,0.3,-15.1
596,James Johnson,PF,IND,0.0,10.0,4.1,0.8,0.4,1.0,0.337,0.2,0.1,0.667,0.0,0.5,0.6,0.3,0.2,0.4,-15.11
