,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
432,Bruno Fernando,C,FA,0.0,31.0,11.9,4.9,2.0,3.4,0.573,1.5,1.0,0.675,0.0,3.5,0.9,0.4,0.5,0.8,-8.26
433,Cam Reddish,"SG,SF",FA,0.0,40.0,19.2,4.5,1.6,4.0,0.394,1.0,0.7,0.707,0.6,2.0,0.9,1.0,0.3,0.5,-8.29
434,Jae'Sean Tate,"SF,PF",HOU,0.0,55.0,12.0,3.4,1.3,2.8,0.472,0.6,0.4,0.672,0.3,2.4,0.8,0.5,0.2,0.4,-8.32
435,Noa Essengue,PF,CHI,0.0,68.0,15.8,5.6,1.8,3.7,0.475,2.5,1.8,0.711,0.3,2.6,0.6,0.5,0.3,0.6,-8.32
436,Derrick Rose,PG,FA,0.0,24.0,16.6,8.0,3.2,6.9,0.46,1.1,1.0,0.894,0.6,1.9,3.3,0.3,0.1,1.3,-8.34
437,Marcus Morris Sr.,"PF,C",FA,0.0,49.0,16.7,6.5,2.4,5.5,0.44,0.9,0.7,0.813,1.0,2.8,0.7,0.3,0.3,0.6,-8.36
438,Pat Connaughton,"SG,SF",CHA,0.0,58.0,12.4,3.5,1.3,2.9,0.448,0.5,0.4,0.755,0.6,1.9,1.3,0.3,0.2,0.4,-8.37
439,Ricky Council IV,"SG,SF",FA,0.0,52.0,13.1,6.1,2.0,5.0,0.402,1.9,1.5,0.782,0.6,2.2,1.0,0.3,0.1,0.5,-8.39
440,Julian Phillips,"SF,PF",CHI,0.0,58.0,12.4,3.9,1.4,3.2,0.441,0.8,0.6,0.768,0.5,1.8,0.5,0.4,0.2,0.3,-8.4
441,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Jared Butler,"PG,SG",PHO,134.3,40.0,10.8,5.4,2.0,4.4,0.46,0.9,0.7,0.837,0.6,1.1,2.4,0.5,0.1,0.9,-8.46
443,AJ Johnson,"PG,SG",WAS,0.0,50.0,16.0,5.6,2.1,5.4,0.386,0.9,0.8,0.862,0.6,1.5,1.9,0.3,0.1,0.9,-8.46
444,Blake Wesley,"PG,SG",POR,0.0,59.0,13.1,4.1,1.6,3.4,0.456,1.2,0.8,0.644,0.3,1.3,2.4,0.6,0.1,0.9,-8.48
445,Nikola Topic,PG,OKC,0.0,40.0,15.4,7.0,2.6,5.7,0.46,1.6,1.3,0.828,0.5,1.5,1.8,0.4,0.1,0.7,-8.5
446,Devin Carter,PG,SAC,0.0,60.0,15.0,5.3,1.8,4.9,0.37,1.7,1.0,0.589,0.7,2.9,1.6,0.8,0.2,0.7,-8.53
447,Jaylen Clark,"SG,SF",MIN,0.0,40.0,13.1,4.1,1.4,3.0,0.467,0.9,0.7,0.787,0.6,1.3,0.7,0.9,0.1,0.2,-8.56
448,Lamar Stevens,"SF,PF",FA,0.0,27.0,11.9,5.8,2.3,5.1,0.451,1.1,0.8,0.771,0.4,2.8,0.6,0.5,0.4,0.6,-8.56
449,Landry Shamet,"SG,SF",NY,0.0,40.0,15.5,6.5,2.4,5.3,0.445,0.7,0.5,0.791,1.2,1.3,0.9,0.5,0.1,0.6,-8.58
450,Drake Powell,SG,BKN,0.0,52.0,17.5,3.8,1.4,2.9,0.479,0.8,0.5,0.597,0.5,1.7,0.6,0.4,0.4,0.4,-8.61
451,Oscar Tshiebwe,"PF,C",UTA,0.0,11.0,11.7,5.3,2.1,3.6,0.578,1.6,1.2,0.742,0.0,5.5,0.4,0.6,0.1,0.4,-8.65
452,Eric Gordon,"SG,SF",PHI,0.0,30.0,14.5,5.6,2.0,4.5,0.44,0.6,0.5,0.774,1.1,0.9,1.1,0.5,0.2,0.6,-8.66
453,Monte Morris,PG,PHO,0.0,40.0,13.6,5.2,1.9,4.6,0.416,0.8,0.6,0.8,0.8,1.6,1.9,0.5,0.2,0.4,-8.69
454,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,PJ Hall,C,MEM,0.0,25.0,8.0,4.0,1.7,2.9,0.584,0.5,0.4,0.755,0.2,2.7,0.5,0.0,0.5,0.2,-8.7
456,Kris Murray,"SF,PF",POR,0.0,65.0,14.4,4.0,1.6,3.9,0.407,0.7,0.4,0.551,0.5,2.5,0.9,0.5,0.2,0.6,-8.72
457,Micah Potter,"PF,C",FA,0.0,27.0,15.1,3.7,1.3,3.0,0.435,0.5,0.4,0.813,0.7,3.5,0.6,0.3,0.3,0.6,-8.81
458,Jase Richardson,SG,ORL,0.0,50.0,11.4,4.2,1.4,3.1,0.463,1.2,0.9,0.817,0.4,1.1,0.6,0.3,0.1,0.3,-8.86
459,Nolan Traoré,PG,BKN,0.0,62.0,17.5,7.1,2.5,6.1,0.41,2.0,1.4,0.706,0.7,1.1,2.7,0.4,0.0,1.5,-8.89
460,Malaki Branham,"SG,SF",WAS,0.0,50.0,11.0,5.1,2.0,4.5,0.438,0.5,0.5,0.849,0.7,1.1,1.1,0.2,0.1,0.7,-8.9
461,Jae Crowder,"SF,PF",FA,0.0,29.0,17.3,4.7,1.7,4.1,0.414,0.6,0.4,0.741,0.9,2.5,1.0,0.6,0.1,0.4,-8.91
462,Alijah Martin,SG,TOR,0.0,50.0,11.4,4.1,1.4,3.2,0.448,0.9,0.7,0.722,0.6,1.3,0.6,0.4,0.1,0.4,-9.0
463,Ja'Kobe Walter,"PG,SG",TOR,0.0,40.0,14.2,5.8,2.1,5.1,0.405,1.1,0.9,0.796,0.8,2.1,1.1,0.6,0.1,0.7,-9.0
464,De'Anthony Melton,"PG,SG",GS,0.0,22.0,14.5,5.5,1.9,4.8,0.389,1.0,0.8,0.81,1.0,1.9,1.5,0.8,0.2,0.6,-9.01
465,Jett Howard,SF,ORL,0.0,60.0,13.7,5.3,2.0,5.3,0.371,0.5,0.3,0.653,1.1,1.4,0.9,0.3,0.2,0.7,-9.05
466,Dylan Cardwell,,SAC,0.0,30.0,13.7,1.5,0.5,2.5,0.2,1.0,0.5,0.5,0.0,2.0,0.0,1.0,1.5,1.0,-9.12
