PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Jay Huff,25.0,19.2,7.9,2.7,6.4,0.422,1.3,1.0,0.788,1.4,3.7,1.3,0.3,2.5,0.7
Bub Carrington,23.0,26.4,7.8,2.7,7.3,0.367,1.1,0.8,0.72,1.7,3.5,4.4,0.5,0.1,2.2
Jaden Ivey,10.0,14.4,7.8,2.7,5.9,0.458,1.6,1.4,0.875,1.0,2.6,1.4,0.4,0.1,1.1
Nick Smith Jr.,9.0,14.8,7.8,2.9,6.2,0.464,0.7,0.4,0.667,1.6,1.1,1.6,0.8,0.2,1.2
Kris Dunn,25.0,26.3,7.7,3.0,6.2,0.481,1.1,0.8,0.741,0.9,2.7,2.8,1.7,0.2,1.3
Isaiah Jackson,25.0,18.6,7.7,3.0,5.1,0.591,2.2,1.7,0.768,0.0,5.8,0.8,0.8,0.8,1.2
Quinten Post,26.0,18.1,7.7,2.8,6.5,0.44,0.6,0.5,0.813,1.5,4.1,1.4,0.6,0.6,0.8
Pat Spencer,18.0,16.4,7.7,2.9,6.4,0.457,1.1,1.0,0.9,0.8,2.6,3.3,0.8,0.1,0.9
Jordan Walsh,21.0,21.5,7.7,3.0,4.9,0.602,1.0,0.9,0.818,0.9,5.0,1.0,1.2,0.6,0.6
Kentavious Caldwell-Pope,25.0,21.9,7.6,2.5,6.7,0.377,1.5,1.4,0.921,1.2,2.3,3.2,0.8,0.2,1.3
Nikola Jović,18.0,19.3,7.6,2.6,6.6,0.39,2.2,1.6,0.718,0.9,3.7,2.8,0.6,0.4,1.9
Patrick Williams,23.0,21.1,7.6,2.6,6.7,0.387,1.3,0.8,0.655,1.5,3.3,1.3,1.0,0.3,1.0
Kyle Anderson,8.0,18.3,7.5,3.0,5.6,0.533,1.9,1.4,0.733,0.1,2.8,3.3,1.5,0.4,0.9
Ryan Dunn,20.0,23.2,7.5,3.1,6.7,0.459,0.9,0.6,0.667,0.8,5.0,1.9,1.4,0.6,1.0
Vince Williams Jr.,20.0,21.9,7.5,2.6,7.7,0.34,1.4,1.1,0.786,1.2,4.4,5.1,0.9,0.6,2.3
Precious Achiuwa,18.0,19.9,7.4,3.2,5.9,0.542,1.8,0.8,0.455,0.2,5.4,0.9,0.7,0.4,0.4
Luke Kornet,17.0,25.4,7.4,2.7,4.4,0.622,2.4,1.9,0.805,0.0,6.4,2.2,0.3,1.4,0.6
Isaiah Collier,16.0,20.6,7.3,2.4,4.8,0.5,3.3,2.2,0.673,0.3,1.9,5.3,0.4,0.3,2.1
Andre Drummond,23.0,21.5,7.3,3.0,5.5,0.54,1.5,1.0,0.629,0.5,9.3,0.8,0.7,1.0,0.9
Luke Kennard,23.0,20.5,7.3,2.5,5.3,0.472,0.9,0.9,0.952,1.4,1.9,2.3,0.8,0.0,1.0
Jared McCain,15.0,17.7,7.3,2.8,7.4,0.378,0.4,0.3,0.833,1.4,1.9,1.6,0.8,0.0,0.9
Josh Minott,24.0,19.2,7.3,2.6,5.1,0.512,1.0,0.8,0.75,1.3,4.5,1.3,0.8,0.5,0.7
Cole Anthony,24.0,15.8,7.1,3.0,7.0,0.435,0.8,0.5,0.55,0.6,2.7,4.1,0.7,0.3,1.9
Seth Curry,2.0,16.0,7.0,3.0,4.5,0.667,0.0,0.0,,1.0,2.0,1.5,1.0,0.0,0.0
Collin Murray-Boyles,21.0,17.6,7.0,2.7,4.9,0.553,1.5,1.0,0.625,0.6,3.3,1.3,0.6,0.3,1.2
