PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Kobe Brown,16.0,12.0,3.8,1.3,3.2,0.412,0.8,0.6,0.833,0.6,2.2,1.1,0.4,0.1,0.6
Clint Capela,21.0,11.7,3.8,1.7,3.0,0.565,0.7,0.5,0.667,0.0,4.8,0.4,0.4,0.8,0.5
Rob Dillingham,22.0,10.5,3.8,1.5,4.4,0.354,0.6,0.4,0.692,0.3,1.1,1.9,0.7,0.1,1.0
Duop Reath,20.0,8.5,3.8,1.4,2.6,0.519,0.2,0.1,0.667,1.0,1.0,0.3,0.2,0.2,0.3
Jamir Watkins,8.0,12.1,3.8,1.4,2.3,0.611,0.5,0.5,1.0,0.5,2.4,0.5,0.0,0.4,0.4
Jase Richardson,15.0,6.7,3.7,1.3,2.5,0.526,0.7,0.5,0.727,0.5,0.9,1.0,0.2,0.0,0.3
Julian Strawther,9.0,7.9,3.7,1.2,3.3,0.367,1.4,1.0,0.692,0.2,1.6,0.4,0.0,0.1,0.3
Malaki Branham,11.0,8.0,3.6,1.0,2.5,0.393,1.8,1.5,0.8,0.2,1.6,0.9,0.2,0.1,0.5
Devin Carter,9.0,9.6,3.6,1.1,3.4,0.323,0.8,0.8,1.0,0.6,1.4,1.4,0.7,0.1,0.9
Hugo González,20.0,11.6,3.6,1.5,2.9,0.509,0.4,0.2,0.429,0.5,2.1,0.6,0.7,0.2,0.6
Tyler Kolek,21.0,10.2,3.6,1.5,3.2,0.463,0.4,0.2,0.625,0.4,1.0,2.0,0.5,0.0,0.6
Larry Nance Jr.,16.0,15.0,3.6,1.4,4.1,0.354,0.2,0.1,0.333,0.6,2.8,1.3,0.6,0.3,0.6
Noah Penda,13.0,8.8,3.6,1.3,2.7,0.486,0.8,0.5,0.636,0.5,3.2,1.1,0.1,0.2,0.5
Mitchell Robinson,17.0,17.5,3.6,1.6,2.4,0.683,1.6,0.4,0.222,0.0,8.2,1.0,0.8,1.1,0.8
Charles Bassey,2.0,15.5,3.5,1.5,4.0,0.375,1.5,0.5,0.333,0.0,7.5,1.0,0.5,0.5,0.5
Adem Bona,17.0,16.1,3.5,1.3,2.4,0.55,1.4,0.8,0.583,0.1,3.7,0.2,0.4,1.5,0.7
Antonio Reeves,6.0,8.8,3.5,1.3,2.7,0.5,0.0,0.0,,0.8,0.8,0.3,0.2,0.0,0.0
Nick Richards,23.0,9.7,3.5,1.3,2.6,0.517,1.2,0.8,0.679,0.0,3.3,0.3,0.1,0.5,1.0
Marcus Sasser,2.0,4.0,3.5,1.5,2.0,0.75,0.0,0.0,,0.5,0.0,1.5,0.0,0.0,0.0
Ochai Agbaji,18.0,14.7,3.4,1.4,3.6,0.385,0.7,0.6,0.769,0.1,2.1,0.7,0.4,0.3,0.3
Thomas Bryant,19.0,7.8,3.3,1.2,2.8,0.434,0.8,0.6,0.733,0.3,2.2,0.2,0.3,0.3,0.2
Chaz Lanier,13.0,10.2,3.3,1.1,3.2,0.333,0.2,0.2,1.0,0.9,1.1,0.8,0.3,0.0,0.1
Gui Santos,19.0,9.2,3.3,1.2,2.9,0.4,0.7,0.5,0.714,0.5,1.8,0.6,0.3,0.1,0.8
David Jones García,10.0,6.7,3.2,1.3,2.5,0.52,0.6,0.3,0.5,0.3,1.2,1.8,0.6,0.1,0.5
Baylor Scheierman,21.0,12.0,3.2,1.2,2.2,0.543,0.0,0.0,1.0,0.8,1.9,0.7,0.5,0.1,0.4
Jordan McLaughlin,9.0,8.3,3.1,1.1,2.7,0.417,0.3,0.3,1.0,0.6,0.7,1.1,0.8,0.0,0.2
Mark Sears,7.0,3.7,3.1,0.9,1.9,0.462,1.1,0.9,0.75,0.6,0.3,0.3,0.0,0.0,0.6
John Konchar,22.0,13.0,3.0,1.2,2.3,0.51,0.4,0.3,0.667,0.4,2.7,1.2,0.9,0.3,0.3
Chris Livingston,3.0,5.7,3.0,1.3,2.3,0.571,0.3,0.3,1.0,0.0,1.0,0.3,0.3,0.0,0.0
Jahmai Mashack,2.0,4.5,3.0,1.0,2.5,0.4,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0
Kevin McCullar Jr.,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0
Doug McDermott,2.0,5.5,3.0,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.5
Emanuel Miller,5.0,6.6,3.0,1.2,2.6,0.462,0.4,0.2,0.5,0.4,0.6,0.8,0.4,0.0,0.0
Riley Minix,3.0,2.7,3.0,1.3,2.0,0.667,0.0,0.0,,0.3,0.7,0.3,0.3,0.0,0.0
Monte Morris,6.0,10.8,3.0,1.2,3.3,0.35,0.7,0.3,0.5,0.3,1.2,1.5,0.2,0.2,0.3
Pete Nance,6.0,2.8,3.0,1.2,1.8,0.636,0.0,0.0,,0.7,0.7,0.2,0.0,0.0,0.0
Dalen Terry,14.0,11.3,3.0,1.3,2.7,0.474,0.5,0.2,0.429,0.2,1.8,1.4,0.8,0.3,0.7
Guerschon Yabusele,24.0,9.8,3.0,1.1,2.7,0.4,0.4,0.3,0.6,0.5,2.2,0.4,0.1,0.2,0.3
Moussa Cisse,18.0,10.1,2.9,1.2,1.9,0.618,1.5,0.6,0.407,0.0,3.3,0.2,0.2,1.1,0.7
Jonathan Isaac,23.0,10.3,2.9,1.1,2.4,0.455,1.0,0.5,0.5,0.3,3.2,0.1,0.3,0.5,0.3
Chris Paul,16.0,14.3,2.9,1.1,3.5,0.321,0.1,0.1,0.5,0.6,1.8,3.3,0.7,0.0,1.0
Jae'Sean Tate,14.0,8.3,2.9,1.2,2.3,0.531,0.1,0.1,1.0,0.4,1.6,0.5,0.3,0.0,0.3
Bobi Klintman,6.0,8.8,2.8,1.2,3.5,0.333,0.5,0.0,0.0,0.5,2.7,0.7,0.3,0.0,0.8
Yanic Konan Niederhäuser,11.0,5.2,2.8,1.2,1.6,0.722,0.9,0.5,0.5,0.0,1.4,0.3,0.0,0.3,0.3
Julian Phillips,22.0,10.1,2.8,1.1,2.5,0.436,0.3,0.2,0.833,0.4,1.4,0.3,0.5,0.2,0.1
Xavier Tillman Sr.,11.0,9.4,2.8,1.3,2.5,0.5,0.0,0.0,,0.3,2.2,0.5,0.5,0.2,0.4
Kevon Looney,12.0,12.9,2.7,1.2,2.8,0.424,0.5,0.3,0.5,0.1,3.9,1.4,0.3,0.4,0.5
Jericho Sims,20.0,14.1,2.7,1.2,1.5,0.828,0.4,0.3,0.714,0.0,3.6,0.7,0.2,0.3,0.8
Yang Hansen,13.0,7.7,2.6,0.9,3.1,0.3,0.8,0.7,0.9,0.1,1.8,0.8,0.0,0.4,0.7
Jalen Pickett,11.0,8.8,2.6,1.0,2.3,0.44,0.1,0.1,1.0,0.5,1.5,1.3,0.3,0.0,0.5
Dwight Powell,21.0,11.1,2.6,0.8,1.2,0.64,1.4,1.0,0.733,0.0,2.1,0.9,0.5,0.2,0.4
Carter Bryant,18.0,7.9,2.5,0.9,2.8,0.333,0.2,0.2,0.75,0.4,1.7,0.1,0.2,0.1,0.3
Caleb Houstan,8.0,5.4,2.5,0.8,1.6,0.462,0.4,0.4,1.0,0.6,0.6,0.3,0.1,0.1,0.5
GG Jackson II,8.0,6.8,2.5,0.9,3.5,0.25,1.1,0.8,0.667,0.0,1.8,0.3,0.5,0.1,0.3
Isaiah Livers,13.0,12.2,2.5,0.8,2.2,0.345,0.5,0.4,0.833,0.5,2.2,0.4,0.5,0.4,0.4
Rasheer Fleming,13.0,5.9,2.4,0.8,2.5,0.344,0.4,0.4,1.0,0.3,1.2,0.2,0.3,0.2,0.2
Elijah Harkless,7.0,9.4,2.4,0.6,1.6,0.364,1.3,1.0,0.778,0.3,0.9,0.7,0.6,0.0,0.4
Tyus Jones,26.0,13.9,2.4,0.9,2.7,0.343,0.1,0.1,1.0,0.5,0.8,2.0,0.6,0.1,0.3
Chris Boucher,8.0,11.4,2.3,0.9,2.8,0.318,0.5,0.4,0.75,0.1,2.3,0.4,0.6,0.9,0.1
Zeke Nnaji,14.0,8.3,2.3,0.9,1.6,0.545,0.5,0.4,0.714,0.2,1.5,0.2,0.3,0.2,0.5
Orlando Robinson,3.0,7.3,2.3,1.0,1.7,0.6,0.0,0.0,,0.3,1.0,0.7,0.3,0.0,0.0
Luke Travers,11.0,8.8,2.2,0.6,3.1,0.206,0.8,0.8,1.0,0.1,1.9,0.8,0.5,0.4,0.2
Cody Williams,13.0,12.2,2.2,1.0,3.1,0.325,0.2,0.1,0.333,0.2,0.9,0.5,0.2,0.2,0.4
Jeff Green,10.0,4.8,2.1,0.8,1.6,0.5,0.0,0.0,,0.5,0.4,0.1,0.0,0.1,0.0
Gary Harris,17.0,14.5,2.1,0.8,1.9,0.394,0.2,0.2,1.0,0.4,1.4,1.2,0.7,0.2,0.5
Rayan Rupert,18.0,8.6,2.1,0.8,2.3,0.366,0.2,0.1,0.5,0.3,1.8,0.4,0.4,0.1,0.5
Lindy Waters III,12.0,6.9,2.1,0.8,1.9,0.391,0.0,0.0,,0.6,1.2,0.4,0.2,0.0,0.1
Joan Beringer,9.0,4.1,2.0,0.9,1.2,0.727,0.3,0.2,0.667,0.0,1.3,0.0,0.1,0.2,0.2
Koby Brea,2.0,4.0,2.0,0.5,1.5,0.333,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0
Hunter Dickinson,1.0,5.0,2.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0
Trentyn Flowers,2.0,3.0,2.0,1.0,1.5,0.667,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5
Josh Green,1.0,17.0,2.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0
Ron Harper Jr.,4.0,5.0,2.0,0.8,2.5,0.3,0.0,0.0,,0.5,0.8,1.0,0.3,0.5,0.0
Colby Jones,1.0,7.0,2.0,1.0,3.0,0.333,0.0,0.0,,0.0,4.0,2.0,0.0,0.0,0.0
E.J. Liddell,7.0,4.6,2.0,0.7,1.7,0.417,0.4,0.3,0.667,0.3,1.3,0.0,0.0,0.0,0.0
Kyle Lowry,3.0,8.0,2.0,0.7,1.3,0.5,0.0,0.0,,0.7,0.3,1.3,0.3,0.0,0.0
Wendell Moore Jr.,3.0,14.3,2.0,1.0,2.0,0.5,0.0,0.0,,0.0,1.3,1.0,0.7,0.3,0.3
Daeqwon Plowden,1.0,14.0,2.0,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0
Jahmir Young,5.0,4.8,2.0,0.8,2.2,0.364,0.0,0.0,,0.4,0.4,0.8,0.2,0.0,0.4
Johnny Furphy,7.0,11.6,1.9,0.7,2.0,0.357,0.0,0.0,,0.4,1.7,0.1,0.6,0.0,0.7
Anthony Gill,9.0,3.6,1.9,0.7,0.8,0.857,0.4,0.4,1.0,0.1,0.8,0.0,0.0,0.1,0.4
PJ Hall,7.0,3.9,1.9,0.7,1.3,0.556,0.4,0.3,0.667,0.1,1.3,0.3,0.0,0.3,0.1
Bronny James,14.0,8.9,1.9,0.7,2.2,0.323,0.1,0.1,1.0,0.3,0.6,1.5,0.6,0.1,0.8
Thanasis Antetokounmpo,10.0,2.5,1.8,0.6,0.9,0.667,0.9,0.6,0.667,0.0,0.4,0.0,0.3,0.3,0.1
JD Davison,11.0,6.7,1.8,0.7,1.5,0.471,0.2,0.0,0.0,0.4,0.4,0.9,0.3,0.1,0.1
Maxi Kleber,10.0,12.1,1.8,0.6,1.5,0.4,0.4,0.3,0.75,0.3,1.8,0.6,0.2,0.3,0.2
Cody Martin,4.0,13.8,1.8,0.5,2.5,0.2,1.5,0.8,0.5,0.0,3.5,0.5,1.0,0.5,1.0
Chris Youngblood,19.0,5.6,1.8,0.5,1.6,0.333,0.4,0.4,1.0,0.4,1.0,0.3,0.1,0.0,0.1
Brooks Barnhizer,17.0,7.8,1.7,0.7,1.4,0.522,0.4,0.2,0.667,0.1,1.9,0.4,0.2,0.1,0.2
Johni Broome,6.0,6.5,1.7,0.7,3.3,0.2,0.7,0.3,0.5,0.0,2.2,0.7,0.3,0.0,0.3
Dylan Cardwell,3.0,11.0,1.7,0.7,2.0,0.333,0.7,0.3,0.5,0.0,1.7,0.0,0.7,1.0,0.7
Harrison Ingram,3.0,3.7,1.7,0.7,1.0,0.667,0.0,0.0,,0.3,1.0,0.0,0.0,0.0,0.0
Leonard Miller,9.0,4.2,1.7,0.7,1.3,0.5,0.6,0.3,0.6,0.0,1.2,0.4,0.2,0.0,0.4
Mason Plumlee,10.0,9.4,1.7,0.5,0.6,0.833,1.1,0.7,0.636,0.0,2.9,1.1,0.4,0.0,0.6
Dario Šarić,3.0,9.3,1.7,0.3,1.7,0.2,0.7,0.7,1.0,0.3,1.7,0.7,0.0,0.0,0.3
Jamal Cain,5.0,6.2,1.6,0.6,1.6,0.375,0.4,0.2,0.5,0.2,0.8,0.4,0.2,0.2,0.4
Amir Coffey,19.0,7.8,1.6,0.5,1.2,0.435,0.4,0.4,1.0,0.2,0.8,0.4,0.0,0.1,0.1
Taelon Peter,15.0,7.1,1.6,0.5,1.9,0.241,0.3,0.3,0.8,0.4,1.1,0.9,0.1,0.1,0.6
Jacob Toppin,5.0,3.4,1.6,0.8,1.2,0.667,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0
Tyson Etienne,8.0,4.3,1.5,0.5,1.9,0.267,0.0,0.0,,0.5,0.0,0.1,0.0,0.0,0.1
Myron Gardner,4.0,2.3,1.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,0.3,0.0,0.0,0.0
DaRon Holmes,2.0,2.0,1.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0
Javonte Cooke,5.0,6.2,1.4,0.6,2.4,0.25,0.0,0.0,,0.2,0.6,1.0,0.2,0.0,0.8
Nigel Hayes-Davis,18.0,9.1,1.4,0.7,2.1,0.316,0.1,0.1,0.5,0.1,1.3,0.3,0.4,0.1,0.3
Khaman Maluach,12.0,4.9,1.4,0.4,1.1,0.385,0.7,0.6,0.875,0.0,1.0,0.2,0.0,0.3,0.4
Nolan Traoré,5.0,8.8,1.4,0.4,2.2,0.182,0.4,0.2,0.5,0.4,0.4,1.0,0.4,0.0,0.4
Isaac Jones,4.0,4.5,1.3,0.5,1.0,0.5,0.5,0.3,0.5,0.0,0.5,0.3,0.0,0.0,0.0
Isaac Jones,3.0,5.7,1.0,0.3,0.7,0.5,0.7,0.3,0.5,0.0,0.7,0.3,0.0,0.0,0.0
Isaac Jones,1.0,1.0,2.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Andre Jackson Jr.,12.0,6.4,1.3,0.4,1.3,0.313,0.3,0.3,0.75,0.2,0.8,1.3,0.4,0.2,0.4
Ariel Hukporti,16.0,7.9,1.2,0.4,0.8,0.538,0.5,0.3,0.625,0.0,2.4,0.5,0.1,0.5,0.6
Caleb Martin,22.0,9.1,1.2,0.4,1.7,0.243,0.4,0.3,0.875,0.1,1.5,0.9,0.5,0.1,0.4
Jonathan Mogbo,11.0,4.5,1.2,0.5,1.1,0.5,0.1,0.1,1.0,0.0,1.4,0.5,0.1,0.3,0.1
Hunter Sallis,6.0,4.2,1.2,0.5,0.8,0.6,0.3,0.2,0.5,0.0,0.2,0.7,0.0,0.2,0.8
Johnny Juzang,8.0,2.8,1.1,0.4,1.1,0.333,0.3,0.1,0.5,0.3,0.4,0.1,0.0,0.0,0.1
Adou Thiero,9.0,5.8,1.1,0.3,0.6,0.6,0.6,0.4,0.8,0.0,0.7,0.1,0.3,0.0,0.3
Hunter Tyson,9.0,3.9,1.1,0.3,1.4,0.231,0.2,0.2,1.0,0.2,1.3,0.3,0.1,0.0,0.0
Curtis Jones,2.0,1.5,1.0,0.5,1.5,0.333,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
Miles Kelly,2.0,5.5,1.0,0.5,1.0,0.5,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.5
Drew Peterson,5.0,11.8,1.0,0.4,3.0,0.133,0.4,0.2,0.5,0.0,1.4,0.4,0.6,0.2,0.0
Drew Timme,2.0,4.0,1.0,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.5,0.5,0.0,0.0
Bismack Biyombo,8.0,7.3,0.9,0.4,0.5,0.75,0.3,0.1,0.5,0.0,0.8,0.4,0.4,0.1,0.4
N'Faly Dante,4.0,3.8,0.8,0.3,1.0,0.25,0.3,0.3,1.0,0.0,1.8,0.0,0.5,0.0,0.3
Garrett Temple,5.0,3.8,0.8,0.2,0.8,0.25,0.4,0.2,0.5,0.2,0.4,0.2,0.4,0.2,0.2
Mohamed Diawara,17.0,3.2,0.7,0.3,0.8,0.357,0.1,0.0,0.0,0.1,0.6,0.5,0.2,0.1,0.3
AJ Johnson,10.0,4.5,0.7,0.2,1.3,0.154,0.4,0.3,0.75,0.0,0.6,0.4,0.0,0.0,0.2
Amari Williams,6.0,5.2,0.5,0.2,0.3,0.5,0.3,0.2,0.5,0.0,1.2,0.2,0.2,0.3,0.0
Pacome Dadiet,9.0,2.4,0.4,0.1,0.7,0.167,0.2,0.2,1.0,0.0,0.6,0.2,0.0,0.0,0.0
Lachlan Olbrich,5.0,7.2,0.4,0.2,1.2,0.167,0.0,0.0,,0.0,2.2,0.6,0.0,0.0,0.4
Jahmyl Telfort,8.0,4.0,0.1,0.0,0.5,0.0,0.5,0.1,0.25,0.0,0.4,0.1,0.1,0.0,0.1
Sharife Cooper,4.0,2.5,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3
Isaiah Crawford,2.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Noa Essengue,2.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0
Tosan Evbuomwan,4.0,1.8,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0
Chucky Hepburn,2.0,6.5,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.5,1.0,0.5,0.0,0.5
Joe Ingles,8.0,2.9,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.8,0.1,0.0,0.0
Kasparas Jakučionis,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0
Trey Jemison,3.0,3.3,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.3
Christian Koloko,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0
Chris Mañon,2.0,3.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.5,0.0
Alijah Martin,2.0,3.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0
League Average,,,,,,0.471,,,0.788,,,,,,
