INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10140.0,alex sarr,3.0,25.3,15.7,8.0,4.3,0.3,2.0,0.3,0.543,0.8,2.3,4.717149162137776,48
10057.0,deni avdija,4.0,32.0,23.5,5.8,4.0,0.5,1.0,3.0,0.478,0.857,3.3,4.686631414635279,49
10270.0,tre johnson,3.0,27.3,16.3,4.0,2.0,0.3,1.0,3.0,0.474,1.0,1.3,4.415997034024808,50
10052.0,demar derozan,3.0,38.0,19.0,5.0,6.0,1.7,0.3,1.0,0.5,0.545,1.0,4.370457035086803,51
10170.0,alex caruso,1.0,30.0,8.0,2.0,3.0,2.0,1.0,2.0,0.333,,0.0,4.333627245385489,52
10115.0,jaden mcdaniels,4.0,31.8,16.0,3.8,1.0,0.5,2.5,1.3,0.453,0.786,1.3,4.328834070775993,53
10375.0,ajay mitchell,4.0,27.3,18.3,4.8,3.5,1.0,0.3,1.3,0.475,1.0,0.8,4.3147969041415735,54
10204.0,ryan rollins,3.0,31.0,12.0,4.3,4.3,2.7,0.3,1.0,0.387,1.0,2.3,4.240870029351532,55
10089.0,immanuel quickley,4.0,32.3,15.3,4.8,7.0,2.0,0.0,1.0,0.408,0.739,1.5,4.165666076537198,56
10247.0,kyle kuzma,2.0,20.5,10.0,3.5,1.5,1.5,1.5,0.0,0.6,1.0,1.0,4.142798151343088,57
10187.0,rj barrett,4.0,30.8,21.5,5.0,3.0,1.3,0.5,1.5,0.618,0.8,2.3,3.9600328858411005,58
10018.0,donovan mitchell,4.0,33.5,31.3,2.0,4.0,1.5,0.3,2.8,0.564,0.788,4.0,3.822676094049665,59
10032.0,jalen johnson,3.0,31.0,19.7,7.0,4.0,1.7,0.3,0.0,0.561,0.867,2.3,3.774972321939195,60
10035.0,jimmy butler,4.0,32.8,21.5,4.5,4.8,1.3,0.0,1.3,0.489,0.881,1.8,3.720294730679562,61
10220.0,nickeil alexander walker,4.0,29.5,15.8,2.8,3.3,1.3,0.5,2.3,0.407,0.833,1.0,3.715595404412824,62
10171.0,keyonte george,3.0,35.3,20.0,3.0,9.7,1.0,0.3,1.3,0.422,0.947,3.7,3.6562847010087505,63
10043.0,paolo banchero,4.0,36.3,22.8,8.5,2.0,0.5,1.5,0.8,0.394,0.821,2.5,3.650360530497654,64
10013.0,kevin durant,3.0,36.3,26.3,6.0,2.3,1.3,0.3,1.0,0.5,0.903,2.3,3.593324168743177,65
10033.0,josh giddey,3.0,31.3,19.3,8.7,6.3,0.7,0.7,1.7,0.432,0.714,3.7,3.571059973229375,66
10028.0,trey murphy,3.0,37.0,14.7,7.3,4.3,1.0,0.0,1.3,0.386,0.857,0.7,3.5685381947529318,67
10197.0,jonathan kuminga,4.0,31.3,18.0,8.0,4.0,0.8,0.3,1.5,0.581,0.8,2.5,3.5292753112512614,68
10175.0,cole anthony,2.0,19.5,16.0,3.0,6.0,1.0,0.5,1.5,0.684,0.429,1.0,3.469488011594902,69
10262.0,josh minott,3.0,19.0,9.0,4.0,1.3,1.3,0.3,0.7,0.667,1.0,0.0,3.447751051078832,70
10182.0,royce oneale,4.0,32.8,11.8,6.5,3.0,2.0,0.3,3.3,0.381,0.5,2.0,3.4217188131194107,71
10144.0,bennedict mathurin,2.0,36.5,31.0,7.0,2.5,0.0,0.0,2.5,0.548,0.885,2.5,3.4063738778735813,72
10496.0,rayj dennis,2.0,27.5,9.5,2.0,5.5,1.0,1.5,1.5,0.333,1.0,2.5,3.3774267573198156,73
10012.0,trae young,4.0,33.0,20.8,2.3,9.5,1.0,0.0,1.3,0.364,0.833,2.3,3.372498924869942,74
