INDEX,PLAYER_NORM,G,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
10033.0,josh giddey,1.0,29.0,19.0,0.417,0.727,1.0,5.0,11.0,0.0,1.0,6.0
10072.0,jordan poole,2.0,36.5,19.0,0.412,1.0,3.0,2.0,3.5,0.0,0.5,1.5
10029.0,jaren jackson,2.0,24.0,18.5,0.5,1.0,0.5,5.5,1.0,0.5,3.5,4.0
10036.0,kawhi leonard,2.0,31.0,18.5,0.467,0.875,1.0,4.5,3.5,1.0,1.0,2.0
10028.0,trey murphy,2.0,39.0,18.5,0.424,1.0,2.0,8.5,4.0,1.5,0.0,1.0
10179.0,gary trent,2.0,27.0,18.5,0.481,0.5,4.5,3.0,3.0,1.0,0.0,1.0
10077.0,miles bridges,1.0,31.0,18.0,0.545,0.75,3.0,11.0,4.0,1.0,0.0,1.0
10052.0,demar derozan,2.0,37.0,18.0,0.577,0.5,0.5,4.5,7.5,2.0,0.5,1.0
10107.0,devin vassell,2.0,35.5,18.0,0.424,0.333,3.5,4.0,2.5,1.5,0.0,2.0
10043.0,paolo banchero,2.0,35.5,17.5,0.344,0.706,0.5,8.5,1.0,0.5,0.5,2.5
10020.0,evan mobley,2.0,35.0,17.5,0.433,0.444,2.5,8.0,4.0,1.5,1.5,3.0
10080.0,onyeka okongwu,2.0,31.5,17.5,0.591,0.875,1.0,5.0,2.0,0.5,1.5,1.0
10183.0,brice sensabaugh,2.0,22.5,17.5,0.542,1.0,3.0,4.0,1.5,1.0,0.0,1.5
10167.0,pj washington,2.0,34.5,17.5,0.6,0.5,2.0,7.0,1.0,1.0,1.0,5.0
10058.0,og anunoby,2.0,33.5,17.0,0.444,0.667,3.0,8.0,1.5,2.5,0.5,2.5
10171.0,keyonte george,2.0,32.0,17.0,0.407,0.909,1.0,2.0,9.5,1.0,0.5,3.5
10032.0,jalen johnson,2.0,30.5,17.0,0.522,0.833,0.0,7.5,4.5,1.0,0.5,3.0
10270.0,tre johnson,2.0,26.5,16.5,0.5,1.0,3.5,4.0,2.0,0.5,1.0,2.0
10186.0,aaron wiggins,2.0,28.0,16.5,0.5,1.0,3.5,5.0,0.5,0.0,0.5,1.0
10175.0,cole anthony,2.0,19.5,16.0,0.684,0.429,1.5,3.0,6.0,1.0,0.5,1.0
10153.0,rui hachimura,2.0,33.5,16.0,0.684,0.5,2.5,3.0,1.5,0.0,0.0,0.5
10168.0,khris middleton,2.0,29.0,16.0,0.481,0.4,2.0,5.0,2.5,1.5,0.0,1.0
10089.0,immanuel quickley,2.0,32.5,16.0,0.423,0.643,0.5,5.5,8.0,1.5,0.0,2.5
10205.0,zaccharie risacher,1.0,21.0,16.0,0.538,,2.0,2.0,0.0,0.0,1.0,0.0
10131.0,shaedon sharpe,2.0,27.0,16.0,0.286,1.0,2.0,3.0,2.5,1.0,0.0,3.0
10197.0,jonathan kuminga,3.0,31.0,15.7,0.552,0.75,2.0,7.3,4.0,1.0,0.0,2.3
10316.0,tristan da silva,2.0,21.5,15.5,0.556,0.75,2.5,3.5,1.5,1.5,0.0,1.0
10208.0,dennis schroder,2.0,31.5,15.5,0.483,,1.5,3.0,5.0,2.0,0.5,4.0
10163.0,grayson allen,2.0,32.0,15.0,0.417,1.0,3.0,3.0,6.0,1.0,0.5,2.0
10268.0,cedric coward,2.0,22.0,15.0,0.714,1.0,1.0,2.5,1.5,2.0,0.5,0.0
10225.0,jeremiah fears,2.0,23.5,15.0,0.667,0.857,0.0,2.0,1.5,1.0,0.0,2.0
10331.0,ron holland,2.0,20.0,15.0,0.529,0.9,1.5,4.5,3.0,2.0,0.5,2.0
10202.0,kevin huerter,1.0,27.0,15.0,0.364,0.833,2.0,5.0,0.0,1.0,2.0,1.0
10269.0,jaime jaquez,2.0,28.5,15.0,0.737,0.667,0.0,8.0,3.5,2.0,0.0,2.5
10125.0,collin sexton,1.0,17.0,15.0,0.444,0.857,1.0,1.0,3.0,1.0,0.0,1.0
10288.0,ben sheppard,1.0,39.0,15.0,0.455,1.0,3.0,8.0,4.0,1.0,1.0,0.0
10100.0,ausar thompson,2.0,28.5,15.0,0.583,0.2,0.5,5.5,5.5,1.0,1.0,1.0
10220.0,nickeil alexander walker,2.0,29.5,14.5,0.303,0.875,1.0,2.5,4.0,1.0,0.5,1.0
10085.0,toumani camara,2.0,33.5,14.5,0.455,1.0,2.5,8.0,3.5,1.5,0.0,0.5
10232.0,derrick jones,2.0,20.5,14.5,0.846,0.5,3.0,2.5,1.5,0.5,1.0,0.5
10174.0,nikola jovic,2.0,25.0,14.5,0.533,0.889,2.5,4.5,2.0,1.0,0.5,2.0
10096.0,mikal bridges,2.0,34.5,14.0,0.524,1.0,1.5,5.5,4.0,2.5,1.5,1.0
10132.0,ayo dosunmu,1.0,27.0,14.0,0.429,,2.0,5.0,2.0,0.0,0.0,0.0
10048.0,cooper flagg,2.0,33.0,14.0,0.37,1.0,1.0,7.5,3.0,1.0,0.5,4.0
10149.0,dylan harper,2.0,24.0,14.0,0.385,0.75,1.0,4.5,2.5,0.5,0.0,3.5
10115.0,jaden mcdaniels,2.0,28.0,14.0,0.458,0.75,1.5,3.5,1.0,0.5,2.0,1.5
10024.0,amen thompson,2.0,34.5,14.0,0.4,0.667,0.0,4.0,3.0,0.5,0.5,3.0
10127.0,cason wallace,1.0,42.0,14.0,0.5,0.5,3.0,7.0,5.0,4.0,0.0,2.0
10098.0,andrew wiggins,2.0,28.0,14.0,0.5,0.583,0.5,5.5,2.0,1.0,1.0,1.5
,nic claxton,2.0,27.0,13.5,0.5,0.5,0.0,6.5,3.0,1.5,0.0,1.5
10362.0,simone fontecchio,2.0,21.0,13.5,0.611,,2.5,3.0,1.5,1.0,0.0,1.0
10142.0,jabari smith,2.0,41.0,13.5,0.345,1.0,2.5,5.5,1.0,1.0,0.5,1.0
10053.0,ivica zubac,2.0,26.0,13.5,0.667,0.75,0.0,6.0,3.5,0.0,0.5,2.5
10055.0,jarrett allen,2.0,29.5,13.0,0.6,0.615,0.0,5.5,2.5,2.0,0.5,1.5
10513.0,dominick barlow,1.0,34.0,13.0,0.5,0.833,0.0,8.0,5.0,0.0,1.0,2.0
10177.0,moussa diabate,1.0,21.0,13.0,0.714,0.75,0.0,9.0,0.0,1.0,1.0,2.0
10244.0,gradey dick,2.0,21.0,13.0,0.471,0.875,1.5,4.5,0.5,1.0,0.0,0.5
10159.0,sam hauser,2.0,25.0,13.0,0.5,1.0,4.0,2.5,0.5,0.5,0.5,2.0
10111.0,jrue holiday,2.0,30.5,13.0,0.37,0.75,1.5,5.5,9.0,2.0,0.0,4.0
10249.0,jarace walker,1.0,30.0,13.0,0.545,,1.0,4.0,4.0,1.0,0.0,2.0
10104.0,kelel ware,2.0,18.5,13.0,0.647,1.0,1.0,6.5,0.5,1.0,1.0,1.5
10201.0,ziaire williams,2.0,21.0,13.0,0.563,0.667,3.0,2.5,0.5,1.5,0.0,0.0
10065.0,deandre ayton,2.0,32.5,12.5,0.667,0.25,0.0,7.0,0.0,0.0,1.0,3.0
10061.0,walker kessler,2.0,29.0,12.5,1.0,0.7,1.0,9.0,3.0,2.5,2.0,3.5
10191.0,miles mcbride,2.0,29.0,12.5,0.389,0.833,3.0,3.0,2.5,1.0,0.5,1.0
10112.0,neemias queta,2.0,23.5,12.5,0.769,0.714,0.0,7.5,0.5,0.0,0.5,2.0
10075.0,jalen suggs,2.0,18.0,12.5,0.833,,2.5,3.5,3.0,1.0,0.0,3.0
10073.0,john collins,2.0,26.0,12.0,0.529,0.714,0.5,6.5,1.5,1.5,1.0,2.0
10251.0,tre jones,1.0,32.0,12.0,0.625,0.5,1.0,1.0,8.0,3.0,0.0,2.0
10297.0,tre mann,1.0,21.0,12.0,0.571,0.667,2.0,3.0,6.0,1.0,0.0,2.0
10071.0,payton pritchard,2.0,36.5,12.0,0.333,0.857,1.0,5.0,4.0,1.5,0.0,1.5
10016.0,domantas sabonis,1.0,37.0,12.0,0.667,0.0,0.0,12.0,1.0,0.0,0.0,2.0
,alex sarr,2.0,25.5,12.0,0.5,0.667,0.0,10.0,4.0,0.5,1.5,2.5
10246.0,isaiah stewart,2.0,21.0,12.0,0.5,0.5,1.5,7.0,1.0,0.0,3.0,0.5
10219.0,egor demin,2.0,23.5,11.5,0.636,1.0,3.5,5.5,3.0,0.5,0.0,2.5
10182.0,royce oneale,2.0,28.5,11.5,0.421,0.5,3.0,4.5,1.5,1.5,0.5,1.5
10108.0,anfernee simons,2.0,29.5,11.5,0.474,0.667,1.5,2.5,2.5,2.0,0.5,1.0
10160.0,jaylen wells,2.0,25.0,11.5,0.412,0.4,3.5,3.5,2.5,0.5,0.0,1.5
10351.0,saddiq bey,2.0,28.5,11.0,0.421,0.5,2.0,4.5,2.5,0.5,0.0,0.0
10162.0,kentavious caldwell pope,2.0,27.0,11.0,0.286,1.0,2.0,3.5,4.5,1.0,0.0,2.5
10068.0,donovan clingan,2.0,26.0,11.0,0.636,1.0,1.5,7.0,1.5,1.0,1.0,0.5
10090.0,draymond green,3.0,27.7,11.0,0.571,0.429,2.0,6.0,7.3,0.3,1.0,3.3
10136.0,kon knueppel,1.0,25.0,11.0,0.667,,3.0,5.0,1.0,0.0,0.0,2.0
10204.0,ryan rollins,2.0,29.5,11.0,0.35,1.0,1.0,4.5,2.5,2.5,0.5,2.5
10211.0,cam whitmore,2.0,18.0,11.0,0.429,1.0,0.5,4.0,1.0,0.5,0.0,0.5
10056.0,jalen duren,2.0,16.0,10.5,0.625,0.5,0.0,6.0,0.5,1.0,1.5,1.0
10176.0,brook lopez,2.0,17.5,10.5,0.412,,3.5,5.0,0.5,0.5,1.0,1.5
10207.0,walter clayton,2.0,19.0,10.0,0.533,1.0,1.0,5.5,4.0,1.5,0.0,2.0
10109.0,donte divincenzo,2.0,24.5,10.0,0.5,0.667,2.0,2.0,3.0,2.0,1.0,3.0
10393.0,collin gillespie,2.0,25.0,10.0,0.381,,2.0,3.5,4.5,1.0,1.0,1.5
10238.0,aj green,2.0,26.5,10.0,0.636,,3.0,2.0,0.5,0.5,0.0,0.5
10190.0,quentin grimes,1.0,32.0,10.0,0.375,0.5,2.0,5.0,5.0,0.0,0.0,5.0
10252.0,tim hardaway,1.0,22.0,10.0,0.5,,2.0,2.0,0.0,1.0,0.0,0.0
10198.0,buddy hield,3.0,19.0,10.0,0.423,1.0,2.0,1.0,1.7,0.7,0.0,1.3
10280.0,ryan kalkbrenner,1.0,27.0,10.0,0.833,,0.0,11.0,1.0,0.0,2.0,4.0
10247.0,kyle kuzma,2.0,20.5,10.0,0.6,1.0,0.0,3.5,1.5,1.5,1.5,1.0
10413.0,kris murray,2.0,22.5,10.0,0.8,1.0,1.0,0.5,0.5,1.0,0.5,1.0
10134.0,kelly oubre,1.0,34.0,10.0,0.333,1.0,2.0,4.0,1.0,0.0,1.0,2.0
10070.0,jakob poeltl,2.0,24.5,10.0,0.769,0.0,0.0,5.5,2.0,0.0,0.5,1.5
10126.0,kevin porter,1.0,9.0,10.0,0.6,1.0,2.0,0.0,2.0,1.0,0.0,0.0
10377.0,tidjane salaun,1.0,17.0,10.0,0.571,,2.0,4.0,1.0,0.0,0.0,0.0
10195.0,wendell carter,2.0,30.5,9.5,0.444,0.688,0.0,8.0,1.5,1.5,0.5,2.0
10172.0,kyle filipowski,2.0,25.0,9.5,0.471,,1.5,5.0,4.5,0.0,0.5,0.5
10082.0,tobias harris,2.0,37.0,9.5,0.333,1.0,1.0,8.5,4.0,1.0,0.5,0.5
10215.0,keldon johnson,2.0,22.0,9.5,0.692,0.0,0.5,7.5,1.5,0.5,0.0,0.0
10318.0,larry nance,2.0,16.5,9.5,0.533,0.333,1.0,4.5,1.0,0.5,0.0,0.5
10184.0,duncan robinson,2.0,35.5,9.5,0.375,1.0,2.0,1.5,1.0,0.0,1.5,0.5
10116.0,santi aldama,2.0,22.0,9.0,0.5,0.25,0.5,7.0,1.0,1.0,1.0,1.5
,bub carrington,2.0,27.5,9.0,0.313,0.667,2.0,4.0,2.5,1.5,0.0,1.5
10293.0,max christie,2.0,27.5,9.0,0.545,,3.0,0.5,1.5,0.0,0.5,1.0
10150.0,al horford,2.0,24.5,9.0,0.467,,2.0,4.0,1.5,0.5,0.5,2.0
10284.0,corey kispert,2.0,19.5,9.0,0.538,0.0,2.0,2.5,2.5,0.0,0.5,0.5
10123.0,davion mitchell,2.0,27.5,9.0,0.471,0.0,1.0,3.5,9.5,1.0,0.5,2.0
10451.0,svi mykhailiuk,2.0,24.5,9.0,0.545,1.0,2.5,2.5,1.5,0.5,0.0,1.0
10378.0,josh okogie,2.0,18.5,9.0,0.571,0.8,1.0,3.0,1.0,0.0,0.5,0.5
10519.0,olivier maxence prosper,2.0,16.0,9.0,0.625,1.0,0.0,4.5,0.5,0.0,0.0,1.5
10254.0,derik queen,2.0,24.5,9.0,0.467,0.667,0.0,5.5,0.5,0.5,1.5,0.5
10194.0,reed sheppard,2.0,24.0,9.0,0.273,0.5,2.5,2.0,2.5,2.0,0.5,2.5
10145.0,klay thompson,2.0,20.0,9.0,0.3,1.0,1.0,3.0,0.5,0.5,0.0,0.5
10130.0,brandin podziemski,3.0,29.7,8.7,0.36,0.667,1.3,5.0,1.0,1.3,0.0,1.3
10091.0,herbert jones,2.0,32.5,8.5,0.273,1.0,1.5,8.0,2.5,2.0,0.5,2.0
10263.0,terance mann,2.0,22.0,8.5,0.5,1.0,1.0,1.0,1.5,1.0,0.0,0.5
10170.0,alex caruso,1.0,30.0,8.0,0.333,,2.0,2.0,3.0,2.0,1.0,0.0
10346.0,oso ighodaro,2.0,20.0,8.0,0.583,0.5,0.0,5.0,1.0,0.0,0.0,1.0
10200.0,luke kornet,2.0,25.0,8.0,0.583,0.5,0.0,8.0,3.5,0.0,1.5,0.5
10155.0,caris levert,1.0,21.0,8.0,0.429,0.5,1.0,1.0,2.0,1.0,0.0,1.0
10366.0,craig porter,2.0,10.5,8.0,0.875,,1.0,1.0,1.5,0.5,0.0,0.0
10278.0,paul reed,2.0,11.5,8.0,0.636,,1.0,4.5,0.5,0.0,1.5,1.5
10230.0,dayron sharpe,2.0,14.0,8.0,0.778,0.5,0.5,3.0,1.5,1.0,1.0,3.5
10227.0,jonas valanciunas,1.0,12.0,8.0,0.8,,0.0,3.0,2.0,0.0,1.0,0.0
10277.0,dean wade,2.0,27.5,8.0,0.5,0.667,2.0,4.0,0.5,0.5,0.5,0.0
10350.0,jalen wilson,1.0,15.0,8.0,0.6,,2.0,0.0,0.0,0.0,0.0,1.0
10321.0,steven adams,2.0,31.0,7.5,0.625,0.833,0.0,11.5,1.5,1.5,0.0,2.0
