Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
37,Shaedon Sharpe,22.0,POR,SG,19.0,14.0,28.5,7.8,17.8,0.438,1.5,6.2,0.246,6.3,11.6,0.541,0.481,4.2,5.3,0.792,1.2,3.7,4.9,2.3,1.4,0.2,2.7,2.3,21.3,
38,Bennedict Mathurin,23.0,IND,SF,12.0,12.0,32.7,6.6,14.4,0.457,2.8,6.4,0.429,3.8,8.0,0.479,0.552,5.3,6.4,0.818,0.9,4.7,5.6,2.3,0.8,0.2,3.1,3.0,21.2,
39,Zach LaVine,30.0,SAC,SG,21.0,21.0,33.3,7.4,15.1,0.487,2.8,7.2,0.391,4.6,8.0,0.575,0.58,3.3,3.8,0.863,0.3,2.9,3.1,2.3,0.8,0.2,2.1,2.3,20.9,
40,Miles Bridges,27.0,CHO,PF,23.0,23.0,34.6,7.1,17.0,0.421,2.5,7.8,0.318,4.7,9.2,0.507,0.494,4.1,4.7,0.862,1.0,5.3,6.2,3.4,0.6,0.6,1.5,2.0,20.8,
41,Brandon Ingram,28.0,TOR,SF,24.0,24.0,33.8,7.8,16.9,0.462,1.3,4.4,0.302,6.5,12.5,0.518,0.501,3.9,4.8,0.816,0.8,5.1,5.9,3.8,0.9,0.6,3.1,2.2,20.8,
42,Nickeil Alexander-Walker,27.0,ATL,SG,23.0,20.0,32.7,7.1,15.1,0.468,2.9,7.3,0.391,4.2,7.8,0.542,0.563,3.6,4.2,0.856,0.8,2.7,3.5,3.4,1.0,0.7,2.2,2.2,20.7,
43,Paolo Banchero,23.0,ORL,PF,13.0,13.0,31.8,6.5,14.3,0.457,0.9,3.5,0.261,5.6,10.8,0.521,0.489,6.7,8.7,0.77,0.9,7.5,8.5,3.9,0.7,0.8,2.5,2.2,20.7,
44,Trey Murphy III,25.0,NOP,SF,22.0,22.0,35.6,7.0,15.0,0.468,2.8,7.8,0.363,4.2,7.3,0.581,0.562,3.6,4.0,0.92,1.5,5.0,6.5,3.5,1.7,0.2,2.2,2.3,20.5,
45,Josh Giddey,23.0,CHI,PG,20.0,20.0,34.1,7.1,14.8,0.478,1.8,4.5,0.389,5.3,10.3,0.517,0.537,4.6,6.1,0.746,1.4,8.5,9.9,9.1,1.0,0.4,3.7,1.9,20.4,
46,Scottie Barnes,24.0,TOR,PF,24.0,24.0,33.6,7.7,15.1,0.51,1.5,3.6,0.402,6.3,11.5,0.543,0.558,3.2,3.8,0.846,2.1,5.7,7.8,5.2,1.4,1.7,2.5,3.0,20.1,
47,Anthony Davis,32.0,DAL,PF,10.0,10.0,29.3,8.0,15.3,0.523,0.7,2.1,0.333,7.3,13.2,0.553,0.546,2.9,4.2,0.69,3.0,7.2,10.2,3.2,1.2,1.6,1.7,2.1,19.6,
48,Jimmy Butler,36.0,GSW,SF,20.0,20.0,30.9,6.0,11.6,0.519,0.9,2.1,0.439,5.1,9.5,0.537,0.558,6.6,7.7,0.857,2.3,3.4,5.6,5.0,1.6,0.3,1.4,1.3,19.5,
49,LaMelo Ball,24.0,CHO,PG,16.0,16.0,28.9,6.7,17.3,0.386,2.4,8.6,0.285,4.3,8.8,0.486,0.457,3.6,4.1,0.877,1.1,4.9,6.0,8.5,1.1,0.2,3.3,3.1,19.4,
50,RJ Barrett,25.0,TOR,SF,17.0,17.0,30.9,7.1,13.9,0.506,1.8,5.1,0.356,5.2,8.8,0.593,0.572,3.4,4.7,0.725,0.7,4.1,4.8,3.8,0.8,0.2,1.5,2.6,19.4,
51,Jerami Grant,31.0,POR,PF,22.0,10.0,29.6,5.7,12.9,0.445,2.4,5.9,0.403,3.4,7.0,0.481,0.537,5.6,6.5,0.854,1.1,2.6,3.7,2.6,0.9,0.6,2.0,3.1,19.4,
52,Bam Adebayo,28.0,MIA,C,18.0,18.0,30.5,6.9,14.4,0.477,1.8,5.1,0.352,5.1,9.4,0.544,0.538,3.6,4.6,0.793,1.4,7.6,9.0,2.6,1.0,0.8,1.8,1.3,19.2,
53,Kristaps Porziņģis,30.0,ATL,C,13.0,12.0,25.9,6.4,12.8,0.497,1.8,5.1,0.364,4.5,7.8,0.584,0.569,4.5,5.3,0.855,1.5,4.2,5.6,3.1,0.5,1.6,0.9,3.4,19.2,
54,Alex Sarr,20.0,WAS,C,16.0,16.0,29.7,7.8,15.1,0.515,1.1,3.3,0.346,6.6,11.8,0.561,0.552,2.4,3.8,0.639,2.4,6.2,8.6,3.3,0.8,2.0,2.1,2.1,19.1,
55,Evan Mobley,24.0,CLE,PF,24.0,24.0,34.1,7.0,14.0,0.5,1.5,4.3,0.353,5.5,9.8,0.564,0.554,3.4,5.4,0.631,2.5,6.7,9.1,4.0,1.0,1.7,2.3,2.3,18.9,
56,Jalen Duren,22.0,DET,C,21.0,21.0,29.2,6.9,10.5,0.655,0.0,0.0,,6.9,10.5,0.655,0.655,5.1,6.8,0.754,4.2,7.3,11.5,1.8,0.8,1.0,2.6,3.3,18.8,
57,Aaron Gordon,30.0,DEN,PF,13.0,13.0,28.3,6.3,11.8,0.532,2.2,4.8,0.444,4.2,7.0,0.593,0.623,4.0,4.6,0.867,1.5,4.5,5.9,1.3,0.8,0.2,1.4,1.8,18.8,
58,CJ McCollum,34.0,WAS,SG,22.0,22.0,30.0,6.6,15.0,0.442,3.0,7.5,0.402,3.6,7.5,0.482,0.542,2.3,2.9,0.797,0.5,2.5,3.0,3.4,0.7,0.3,1.6,2.3,18.6,
59,Joel Embiid,31.0,PHI,C,8.0,8.0,24.4,6.4,14.3,0.447,1.1,4.5,0.25,5.3,9.8,0.538,0.487,4.6,5.6,0.822,1.3,4.1,5.4,3.1,0.8,1.4,2.6,2.0,18.5,
60,Desmond Bane,27.0,ORL,SG,23.0,23.0,33.0,6.5,14.9,0.437,1.6,5.0,0.319,4.9,9.9,0.498,0.491,3.7,4.0,0.934,1.2,3.1,4.3,4.5,0.7,0.3,2.2,2.9,18.3,
61,Chet Holmgren,23.0,OKC,PF,19.0,19.0,29.3,6.8,12.2,0.56,1.4,3.9,0.36,5.4,8.3,0.656,0.619,3.1,3.8,0.819,1.5,6.5,8.0,1.7,0.6,1.4,2.1,3.2,18.2,
62,Kon Knueppel,20.0,CHO,SF,23.0,22.0,33.4,6.3,13.7,0.462,3.4,8.3,0.414,2.9,5.4,0.536,0.587,2.1,2.3,0.906,1.0,4.6,5.5,3.2,0.7,0.2,2.4,2.2,18.2,
63,DeMar DeRozan,36.0,SAC,PF,23.0,23.0,33.0,6.5,13.0,0.498,0.8,2.0,0.383,5.7,11.0,0.52,0.528,4.1,4.6,0.896,0.5,2.6,3.0,3.5,1.3,0.2,1.1,2.0,17.9,
64,Ja Morant,26.0,MEM,PG,12.0,12.0,28.8,5.8,16.3,0.359,0.8,5.0,0.167,5.0,11.3,0.444,0.385,5.4,5.8,0.942,0.5,3.0,3.5,7.6,1.0,0.1,3.8,2.3,17.9,
65,Trae Young,27.0,ATL,PG,5.0,5.0,27.8,5.2,14.0,0.371,1.0,5.2,0.192,4.2,8.8,0.477,0.407,6.4,7.8,0.821,0.0,2.0,2.0,7.8,0.8,0.2,2.0,1.8,17.8,
66,Jaren Jackson Jr.,26.0,MEM,C,21.0,21.0,29.6,6.4,13.6,0.47,1.6,4.8,0.337,4.8,8.8,0.543,0.53,3.1,4.0,0.786,0.9,4.2,5.1,1.8,0.7,1.0,2.1,4.1,17.5,
67,Ryan Rollins,23.0,MIL,PG,25.0,24.0,32.3,6.8,14.2,0.476,2.3,5.8,0.39,4.5,8.4,0.536,0.556,1.7,2.2,0.782,0.8,3.4,4.2,6.0,1.6,0.3,2.6,2.8,17.5,
68,Amen Thompson,23.0,HOU,PG,21.0,21.0,36.0,6.8,14.2,0.477,0.4,2.1,0.205,6.3,12.1,0.524,0.492,3.4,4.3,0.8,2.5,4.5,7.0,5.1,1.4,0.5,2.7,2.6,17.4,
69,Grayson Allen,30.0,PHO,SG,15.0,15.0,31.3,5.9,13.1,0.449,3.6,8.5,0.422,2.3,4.5,0.5,0.587,1.9,2.4,0.806,0.5,2.4,2.9,3.9,1.6,0.3,1.7,2.4,17.3,
70,Stephon Castle,21.0,SAS,PG,13.0,13.0,32.0,5.9,11.9,0.497,0.9,3.8,0.24,5.0,8.1,0.619,0.535,4.5,6.5,0.694,1.5,4.3,5.8,7.5,1.7,0.4,4.0,3.6,17.3,
71,Cooper Flagg,19.0,DAL,SF,24.0,24.0,33.7,6.7,14.0,0.475,0.9,3.5,0.253,5.8,10.6,0.547,0.506,3.1,3.8,0.822,1.2,5.1,6.3,3.3,1.3,0.7,2.2,2.2,17.3,
72,Jordan Poole,26.0,NOP,PG,7.0,4.0,30.3,5.0,14.1,0.354,2.9,8.4,0.339,2.1,5.7,0.375,0.455,4.4,4.6,0.969,0.4,1.3,1.7,3.4,0.3,0.3,2.1,2.6,17.3,
73,Andrew Nembhard,26.0,IND,PG,15.0,15.0,30.9,5.6,13.2,0.424,1.8,5.1,0.351,3.8,8.1,0.471,0.492,4.2,4.9,0.851,0.3,1.7,2.0,6.3,0.9,0.2,2.3,2.5,17.2,
74,Payton Pritchard,28.0,BOS,PG,23.0,23.0,32.1,6.3,14.1,0.448,2.7,8.0,0.339,3.6,6.1,0.589,0.543,1.9,2.2,0.86,1.1,3.2,4.3,4.9,0.7,0.1,1.3,1.8,17.2,
75,Domantas Sabonis,29.0,SAC,C,11.0,11.0,33.2,6.7,13.2,0.51,0.4,1.8,0.2,6.4,11.4,0.56,0.524,3.4,4.6,0.725,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4.0,17.2,
76,Quentin Grimes,25.0,PHI,SG,21.0,4.0,33.1,5.5,12.0,0.456,2.4,6.4,0.381,3.0,5.6,0.542,0.558,3.6,4.2,0.854,0.7,3.2,3.9,4.4,0.9,0.4,2.8,2.3,17.0,
77,Derrick White,31.0,BOS,SG,22.0,22.0,33.0,5.9,15.2,0.388,3.0,8.9,0.333,3.0,6.4,0.464,0.485,2.3,2.7,0.833,0.9,3.2,4.1,5.3,1.5,1.2,1.6,1.9,17.0,
78,Kelly Oubre Jr.,30.0,PHI,SF,12.0,12.0,34.8,6.2,12.4,0.497,1.9,5.6,0.343,4.3,6.8,0.622,0.574,2.5,3.2,0.789,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,16.8,
79,Immanuel Quickley,26.0,TOR,PG,24.0,24.0,32.3,6.1,13.0,0.471,2.6,6.7,0.391,3.5,6.3,0.556,0.572,1.9,2.5,0.738,0.4,4.0,4.4,6.3,1.2,0.0,1.8,2.2,16.8,
80,Andrew Wiggins,30.0,MIA,SF,21.0,21.0,32.8,6.6,13.6,0.483,1.7,4.6,0.371,4.9,9.0,0.54,0.545,1.9,2.7,0.702,1.6,3.5,5.0,3.0,1.0,1.1,1.9,2.5,16.8,
81,Mikal Bridges,29.0,NYK,SF,22.0,22.0,34.4,6.5,12.0,0.542,2.4,5.5,0.426,4.1,6.5,0.641,0.64,1.3,1.6,0.806,1.3,3.3,4.5,4.1,2.0,1.1,1.0,2.2,16.7,
82,Jrue Holiday,35.0,POR,PG,12.0,12.0,33.4,6.2,13.8,0.446,2.6,7.1,0.365,3.6,6.8,0.531,0.539,1.8,2.1,0.84,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2.0,16.7,
83,Keegan Murray,25.0,SAC,PF,8.0,7.0,37.9,6.4,14.3,0.447,1.6,6.0,0.271,4.8,8.3,0.576,0.504,2.0,2.6,0.762,1.8,5.4,7.1,1.6,2.0,1.5,0.6,1.9,16.4,
84,Brandon Miller,23.0,CHO,SF,7.0,7.0,25.7,5.6,14.4,0.386,2.0,7.6,0.264,3.6,6.9,0.521,0.455,3.1,3.9,0.815,0.3,1.9,2.1,2.9,0.7,1.1,1.9,2.1,16.3,
85,Devin Vassell,25.0,SAS,SG,22.0,22.0,32.7,5.8,13.2,0.441,2.9,7.1,0.401,3.0,6.0,0.489,0.55,1.7,2.0,0.864,0.4,3.3,3.7,2.4,1.0,0.5,1.1,2.4,16.2,
86,Nikola Vučević,35.0,CHI,C,21.0,21.0,30.7,6.4,13.2,0.487,1.9,4.9,0.392,4.5,8.3,0.543,0.56,1.4,1.8,0.789,2.4,7.2,9.6,3.4,0.8,0.3,1.8,2.4,16.2,
87,De'Andre Hunter,28.0,CLE,SF,21.0,21.0,28.8,5.5,12.3,0.444,2.0,6.3,0.311,3.5,6.0,0.583,0.523,3.0,3.7,0.831,0.7,3.7,4.3,2.5,0.8,0.1,1.7,2.9,16.0,
88,Jaden McDaniels,25.0,MIN,PF,22.0,22.0,32.1,6.2,11.6,0.535,1.6,3.4,0.486,4.6,8.3,0.555,0.605,2.0,2.3,0.86,1.2,3.5,4.7,2.5,1.2,1.0,1.9,3.6,16.0,
89,Onyeka Okongwu,25.0,ATL,C,24.0,13.0,30.8,6.1,12.1,0.507,1.8,5.2,0.355,4.3,6.9,0.62,0.583,2.0,2.6,0.758,1.8,5.6,7.4,3.0,0.9,1.1,1.9,3.4,16.0,
90,Jalen Williams,24.0,OKC,SG,4.0,4.0,30.0,6.0,14.3,0.421,0.5,2.0,0.25,5.5,12.3,0.449,0.439,3.5,3.5,1.0,0.3,5.5,5.8,6.0,1.0,1.3,1.5,2.5,16.0,
91,P.J. Washington,27.0,DAL,PF,20.0,20.0,32.0,5.9,13.3,0.44,1.6,4.8,0.333,4.3,8.5,0.5,0.5,2.6,3.8,0.684,1.4,6.4,7.8,2.2,1.2,1.2,2.6,2.3,15.9,
92,Ivica Zubac,28.0,LAC,C,24.0,24.0,32.8,7.0,11.8,0.599,0.0,0.0,,7.0,11.8,0.599,0.599,1.8,2.6,0.71,3.5,8.1,11.6,2.6,0.5,0.9,2.0,2.7,15.9,
93,Ayo Dosunmu,26.0,CHI,SG,19.0,6.0,27.8,5.7,10.7,0.529,2.0,4.1,0.494,3.7,6.7,0.551,0.623,2.4,2.8,0.852,0.4,2.3,2.6,3.1,0.6,0.3,1.4,1.9,15.8,
94,Jeremiah Fears,19.0,NOP,PG,24.0,22.0,28.0,5.9,13.3,0.441,1.3,3.4,0.366,4.6,9.9,0.466,0.488,2.8,3.5,0.798,0.7,2.7,3.4,3.0,1.5,0.2,2.3,1.9,15.8,
95,Jaime Jaquez Jr.,24.0,MIA,SF,23.0,0.0,29.4,6.3,12.2,0.516,0.3,1.5,0.229,6.0,10.7,0.557,0.53,2.9,3.7,0.767,1.4,4.6,6.0,5.1,0.7,0.3,2.1,2.3,15.8,
96,OG Anunoby,28.0,NYK,PF,13.0,13.0,30.5,5.7,11.9,0.477,2.4,6.2,0.383,3.3,5.7,0.581,0.577,1.7,2.2,0.759,1.5,3.7,5.2,2.1,1.8,0.6,1.8,2.2,15.5,
97,Jalen Green,23.0,PHO,SG,2.0,2.0,15.0,5.5,11.5,0.478,3.0,7.0,0.429,2.5,4.5,0.556,0.609,1.5,2.5,0.6,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,15.5,
98,Aaron Nesmith,26.0,IND,SF,11.0,11.0,30.5,4.9,13.4,0.367,2.8,7.5,0.373,2.1,5.8,0.359,0.473,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.8,0.3,0.7,2.5,15.5,
99,Collin Sexton,27.0,CHO,SG,21.0,10.0,25.2,5.2,10.7,0.489,1.2,3.4,0.366,4.0,7.3,0.545,0.547,3.8,4.3,0.879,0.4,1.8,2.2,4.2,0.7,0.2,2.5,1.9,15.5,
100,Deandre Ayton,27.0,LAL,C,20.0,20.0,29.4,7.1,10.2,0.696,0.0,0.0,,7.1,10.2,0.696,0.696,1.2,1.7,0.676,2.8,5.9,8.7,0.9,0.7,1.1,2.1,2.6,15.4,
101,Jabari Smith Jr.,22.0,HOU,PF,20.0,20.0,33.4,5.5,12.0,0.456,2.0,5.5,0.364,3.5,6.5,0.535,0.54,2.4,3.0,0.783,1.4,5.1,6.4,1.9,0.8,0.8,1.2,2.9,15.3,
102,Kyshawn George,22.0,WAS,SF,20.0,20.0,31.5,5.4,11.5,0.47,2.5,5.5,0.45,3.0,6.1,0.488,0.576,1.9,2.6,0.745,0.8,5.1,5.9,4.8,1.1,0.9,3.4,4.2,15.2,
103,Tobias Harris,33.0,DET,PF,14.0,14.0,29.7,5.2,11.5,0.453,1.8,4.7,0.379,3.4,6.8,0.505,0.531,2.5,3.0,0.833,0.9,4.1,5.1,2.4,0.4,0.3,1.1,2.4,14.7,
104,Ajay Mitchell,23.0,OKC,SG,23.0,6.0,26.6,5.3,11.4,0.466,1.1,3.3,0.347,4.2,8.1,0.513,0.515,3.0,3.4,0.873,0.6,2.8,3.3,3.6,1.5,0.3,1.7,2.1,14.7,
105,Jalen Suggs,24.0,ORL,PG,18.0,18.0,24.8,5.0,10.8,0.462,2.0,5.9,0.34,3.0,4.9,0.607,0.554,2.5,2.8,0.9,0.8,3.1,3.9,4.7,1.9,0.6,2.7,3.2,14.5,
106,Paul George,35.0,PHI,PF,7.0,7.0,23.3,5.0,11.9,0.422,2.0,5.7,0.35,3.0,6.1,0.488,0.506,2.4,3.1,0.773,0.4,4.4,4.9,3.1,1.7,0.4,1.4,1.3,14.4,
107,Walker Kessler,24.0,UTA,C,5.0,5.0,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4.0,5.8,0.69,0.784,2.8,4.0,0.7,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,
108,Jarrett Allen,27.0,CLE,C,15.0,15.0,26.1,5.5,9.5,0.573,0.0,0.3,0.0,5.5,9.3,0.59,0.573,3.4,4.4,0.773,2.4,5.2,7.6,1.8,1.0,0.9,1.6,1.5,14.3,
109,VJ Edgecombe,20.0,PHI,SG,19.0,19.0,34.4,5.4,13.1,0.415,1.9,5.2,0.367,3.5,7.9,0.447,0.488,1.6,2.1,0.75,1.8,3.9,5.7,4.1,1.4,0.5,1.8,3.2,14.3,
110,Saddiq Bey,26.0,NOP,SF,23.0,15.0,29.0,5.0,11.3,0.448,1.9,5.3,0.35,3.2,5.9,0.537,0.531,2.2,3.0,0.739,1.8,4.1,5.9,2.2,1.0,0.1,0.7,1.1,14.2,
111,Darius Garland,26.0,CLE,PG,9.0,9.0,28.3,4.6,12.9,0.353,1.9,5.9,0.321,2.7,7.0,0.381,0.427,3.0,3.4,0.871,0.8,2.2,3.0,6.2,0.7,0.1,2.8,1.8,14.0,
112,LeBron James,41.0,LAL,SF,6.0,6.0,32.8,5.5,13.3,0.413,1.2,4.5,0.259,4.3,8.8,0.491,0.456,1.8,3.3,0.55,0.7,3.7,4.3,7.8,0.7,0.2,1.8,1.5,14.0,
