Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,26.0,LAL,PG,16.0,16.0,36.9,10.9,22.9,0.478,3.7,10.8,0.341,7.3,12.1,0.601,0.559,9.7,11.9,0.812,0.8,8.1,8.9,8.9,1.6,0.6,4.3,2.6,35.3,
2,Shai Gilgeous-Alexander,27.0,OKC,PG,23.0,23.0,33.3,10.8,19.4,0.556,2.2,5.0,0.443,8.6,14.4,0.595,0.613,9.0,10.2,0.881,0.5,4.3,4.7,6.4,1.4,0.7,1.7,2.0,32.8,
3,Tyrese Maxey,25.0,PHI,PG,22.0,22.0,39.9,10.7,22.9,0.467,3.6,9.4,0.382,7.1,13.5,0.527,0.546,6.7,7.5,0.886,0.3,4.3,4.6,7.1,1.7,0.9,2.6,2.3,31.6,
4,Donovan Mitchell,29.0,CLE,SG,23.0,23.0,34.3,10.6,21.1,0.502,4.0,10.4,0.385,6.6,10.7,0.615,0.597,5.3,6.3,0.836,1.0,3.9,4.8,5.5,1.4,0.3,3.4,2.4,30.5,
5,Austin Reaves,27.0,LAL,SG,19.0,19.0,36.6,8.9,16.9,0.525,2.9,7.8,0.372,6.0,9.2,0.655,0.61,8.6,9.8,0.882,0.7,4.8,5.5,6.8,1.1,0.1,3.4,2.3,29.3,
6,Nikola Jokić,30.0,DEN,C,22.0,22.0,34.9,10.5,17.2,0.608,2.0,4.9,0.407,8.5,12.3,0.689,0.667,6.3,7.4,0.858,3.1,9.3,12.4,11.0,1.4,0.8,3.5,2.8,29.2,
7,Jaylen Brown,29.0,BOS,SF,22.0,22.0,33.4,10.8,21.7,0.497,2.1,6.0,0.351,8.7,15.7,0.552,0.545,5.4,7.0,0.773,1.0,5.1,6.1,4.9,1.1,0.4,3.6,3.2,29.0,
8,Giannis Antetokounmpo,31.0,MIL,PF,17.0,17.0,29.1,11.1,17.3,0.639,0.6,1.4,0.435,10.5,15.9,0.657,0.656,6.2,9.8,0.635,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,28.9,
9,Anthony Edwards,24.0,MIN,SG,19.0,19.0,34.2,9.4,19.2,0.488,3.4,8.1,0.416,6.0,11.1,0.54,0.575,5.9,7.1,0.837,0.8,3.9,4.7,3.9,1.2,0.8,3.1,2.1,28.1,
10,Jalen Brunson,29.0,NYK,PG,20.0,20.0,34.6,9.8,20.7,0.473,2.8,7.5,0.369,7.1,13.3,0.532,0.54,5.6,6.4,0.867,0.5,2.7,3.2,6.3,0.8,0.1,2.3,2.4,27.9,
11,Stephen Curry,37.0,GSW,PG,16.0,16.0,31.1,9.1,19.4,0.471,4.7,12.0,0.391,4.4,7.4,0.602,0.592,4.9,5.4,0.919,0.3,3.4,3.7,4.0,1.3,0.6,3.1,2.2,27.9,
12,Lauri Markkanen,28.0,UTA,PF,22.0,22.0,35.1,9.2,19.5,0.472,3.0,8.3,0.361,6.2,11.2,0.555,0.549,6.2,6.8,0.907,2.2,4.4,6.5,2.0,0.8,0.4,1.2,1.7,27.6,
13,Cade Cunningham,24.0,DET,PG,21.0,21.0,36.4,9.5,21.0,0.452,1.9,6.4,0.299,7.6,14.7,0.519,0.498,6.5,7.8,0.84,1.5,4.9,6.4,9.3,1.5,0.8,3.9,3.3,27.5,
14,James Harden,36.0,LAC,PG,23.0,23.0,35.3,7.7,17.5,0.443,3.5,9.6,0.367,4.2,7.9,0.536,0.544,7.8,8.7,0.899,0.5,4.9,5.4,8.3,1.2,0.4,4.0,2.1,26.8,
15,Deni Avdija,25.0,POR,SF,23.0,23.0,34.5,7.8,16.4,0.477,2.5,6.7,0.377,5.3,9.7,0.547,0.554,8.0,9.9,0.815,1.3,6.0,7.2,6.2,0.6,0.6,3.6,3.2,26.2,
16,Victor Wembanyama,22.0,SAS,C,12.0,12.0,34.7,9.3,18.4,0.502,1.7,4.8,0.345,7.6,13.6,0.558,0.548,6.0,7.0,0.857,2.0,10.9,12.9,4.0,1.1,3.6,3.6,3.7,26.2,
17,Michael Porter Jr.,27.0,BRK,SF,19.0,19.0,32.8,9.3,18.7,0.496,3.5,9.0,0.392,5.7,9.7,0.592,0.59,3.8,4.6,0.818,1.2,6.4,7.6,3.2,0.9,0.3,2.2,2.2,25.8,
18,Kawhi Leonard,34.0,LAC,SF,14.0,14.0,31.7,9.1,18.4,0.492,2.3,5.9,0.39,6.8,12.6,0.54,0.554,4.9,5.1,0.972,0.6,4.9,5.5,3.0,1.9,0.4,1.9,1.5,25.4,
19,Kevin Durant,37.0,HOU,SF,19.0,19.0,35.3,8.8,17.4,0.505,1.7,4.5,0.384,7.1,12.9,0.547,0.554,5.9,6.7,0.89,0.3,4.5,4.8,3.9,1.0,0.6,2.8,2.5,25.3,
20,Devin Booker,29.0,PHO,SG,22.0,22.0,34.7,8.1,17.8,0.457,1.8,5.6,0.315,6.4,12.2,0.522,0.506,7.0,8.0,0.874,1.0,3.3,4.3,6.7,0.9,0.4,3.7,2.9,25.0,
21,De'Aaron Fox,28.0,SAS,PG,14.0,14.0,32.9,8.7,17.7,0.492,2.4,6.4,0.378,6.3,11.3,0.557,0.56,5.1,6.1,0.837,0.9,2.8,3.7,6.5,1.4,0.3,3.5,2.6,25.0,
22,Norman Powell,32.0,MIA,SG,19.0,19.0,30.5,8.2,16.2,0.505,3.0,6.7,0.445,5.2,9.4,0.547,0.598,5.5,6.3,0.867,0.4,3.2,3.6,2.4,1.1,0.3,1.9,2.5,24.8,
23,Jamal Murray,28.0,DEN,PG,21.0,21.0,35.0,8.9,17.6,0.503,3.3,7.2,0.461,5.5,10.4,0.532,0.597,3.6,4.0,0.893,0.5,4.1,4.6,6.9,1.1,0.3,2.5,1.6,24.6,
24,Pascal Siakam,31.0,IND,PF,22.0,22.0,34.2,8.9,18.5,0.482,1.8,4.9,0.37,7.1,13.6,0.522,0.531,4.9,7.2,0.679,1.6,5.5,7.1,4.1,1.2,0.5,2.2,3.0,24.5,
25,Tyler Herro,26.0,MIA,SG,5.0,5.0,31.4,8.6,16.4,0.524,3.0,6.2,0.484,5.6,10.2,0.549,0.616,3.6,3.8,0.947,0.6,4.0,4.6,2.2,1.2,0.6,1.2,1.4,23.8,
26,Coby White,25.0,CHI,SG,6.0,4.0,30.0,7.3,16.5,0.444,2.7,8.2,0.327,4.7,8.3,0.56,0.525,6.5,8.2,0.796,0.3,2.7,3.0,6.2,0.7,0.0,2.8,2.0,23.8,
27,Jalen Johnson,24.0,ATL,SF,22.0,22.0,35.2,8.5,15.8,0.534,1.6,4.0,0.404,6.8,11.8,0.579,0.586,4.9,6.0,0.805,1.3,9.1,10.5,7.9,1.6,0.4,3.3,2.1,23.4,
28,Franz Wagner,24.0,ORL,SF,23.0,23.0,34.5,8.0,16.4,0.487,1.5,4.3,0.354,6.5,12.1,0.534,0.533,5.9,7.1,0.823,1.5,4.7,6.2,3.8,1.2,0.4,1.9,2.3,23.4,
29,Alperen Şengün,23.0,HOU,C,19.0,19.0,35.9,8.5,16.8,0.505,1.1,2.7,0.385,7.4,14.1,0.528,0.536,5.1,6.8,0.738,2.9,6.2,9.1,7.1,1.3,1.0,3.3,3.4,23.1,
30,Julius Randle,31.0,MIN,PF,23.0,23.0,33.6,7.7,15.7,0.494,1.7,5.0,0.351,6.0,10.7,0.561,0.55,5.7,6.9,0.835,1.5,5.7,7.3,5.9,1.0,0.2,2.7,2.5,23.0,
31,Keyonte George,22.0,UTA,PG,22.0,22.0,33.7,7.1,16.1,0.442,2.2,6.5,0.338,5.0,9.7,0.512,0.51,6.4,7.1,0.904,0.5,3.3,3.8,6.9,0.9,0.3,3.5,2.4,22.9,
32,Karl-Anthony Towns,30.0,NYK,C,22.0,22.0,33.1,7.4,15.8,0.467,1.9,5.4,0.353,5.5,10.4,0.526,0.527,5.8,6.6,0.883,3.1,8.8,11.9,3.4,0.8,0.7,2.6,3.4,22.5,
33,Dillon Brooks,30.0,PHO,SF,17.0,17.0,31.4,8.3,18.1,0.459,2.3,7.4,0.31,6.0,10.6,0.564,0.523,3.4,4.1,0.841,0.9,2.3,3.2,1.9,1.6,0.1,2.4,3.7,22.3,
34,Zion Williamson,25.0,NOP,PF,10.0,10.0,30.9,7.4,14.5,0.51,0.0,0.3,0.0,7.4,14.2,0.521,0.51,7.3,10.1,0.723,2.3,3.3,5.6,4.0,1.6,0.5,3.1,2.3,22.1,
35,Kevin Porter Jr.,25.0,MIL,PG,6.0,6.0,28.8,7.2,12.8,0.558,3.5,5.7,0.618,3.7,7.2,0.512,0.695,4.0,4.5,0.889,0.5,3.0,3.5,5.8,2.2,0.3,2.3,1.7,21.8,
36,Cam Thomas,24.0,BRK,SG,8.0,8.0,28.3,6.6,16.5,0.402,2.0,5.6,0.356,4.6,10.9,0.425,0.462,6.1,7.0,0.875,0.4,1.0,1.4,2.6,0.5,0.1,2.0,1.9,21.4,
