INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10211.0,cam whitmore,4.0,17.3,10.3,3.0,1.0,1.0,0.0,0.8,0.447,0.8,1.5,-1.256496070932867,250
,isaiah livers,3.0,11.3,2.7,0.3,0.0,0.7,0.7,0.7,0.286,1.0,0.0,-1.263431953921097,251
10160.0,jaylen wells,5.0,26.8,9.4,2.8,1.6,0.8,0.0,1.6,0.341,0.692,1.0,-1.2832111190147515,252
10150.0,al horford,3.0,23.3,6.7,4.0,1.0,0.7,0.3,1.3,0.421,,1.7,-1.2902017057880644,253
10278.0,paul reed,4.0,8.5,5.0,2.8,0.5,0.3,0.8,0.5,0.6,,1.3,-1.2902608502334036,254
10067.0,cameron johnson,4.0,25.8,8.0,2.5,1.5,0.5,0.0,1.3,0.385,0.875,1.0,-1.2909964164632903,255
10205.0,zaccharie risacher,3.0,23.0,8.7,1.7,0.0,0.3,0.7,1.0,0.4,0.75,0.3,-1.2975180981662795,256
10350.0,jalen wilson,4.0,18.5,8.0,1.0,1.3,0.3,0.0,1.8,0.5,0.833,1.0,-1.3708239228800911,257
10299.0,quinten post,5.0,13.4,3.8,3.6,0.8,0.2,0.6,1.0,0.412,,0.6,-1.3787709781955244,258
,david jones garcia,2.0,3.0,3.5,0.5,1.0,0.0,0.0,0.0,0.75,1.0,0.0,-1.3898135073396491,259
10484.0,pelle larsson,4.0,11.8,6.5,1.8,0.8,0.5,0.0,1.3,0.529,0.75,0.5,-1.4262898702415596,260
10225.0,jeremiah fears,4.0,26.0,13.3,1.8,2.8,1.3,0.0,0.3,0.523,0.667,2.3,-1.4279348361114481,261
10435.0,anthony gill,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,-1.4395115942364762,262
,daniss jenkins,4.0,10.3,3.5,0.0,1.5,1.0,0.0,0.5,0.5,1.0,1.0,-1.4727503045037498,263
10422.0,jakobe walter,2.0,13.5,2.5,1.5,2.0,0.5,0.5,0.5,0.25,1.0,0.5,-1.4776494356402148,264
,harrison ingram,2.0,3.0,1.5,0.5,0.0,0.0,0.0,0.5,1.0,,0.0,-1.485453299003948,265
10499.0,joan beringer,2.0,3.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,-1.501183608018359,266
10244.0,gradey dick,5.0,16.6,8.0,2.8,0.4,0.6,0.0,1.0,0.355,0.813,0.2,-1.5150335141299611,267
10414.0,pj hall,3.0,5.7,2.3,1.3,0.0,0.0,0.7,0.3,0.75,,0.3,-1.518493216262794,268
10227.0,jonas valanciunas,4.0,12.5,8.5,5.0,1.5,0.0,0.5,0.0,0.56,0.667,1.0,-1.5296100490713158,269
10124.0,bobby portis,4.0,19.5,8.0,6.0,0.5,0.3,0.3,1.0,0.359,,1.3,-1.551328600155291,270
10394.0,jaesean tate,1.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.667,,0.0,-1.5542847746888167,271
10209.0,anthony black,5.0,25.6,11.6,3.6,1.8,0.8,0.6,0.8,0.476,0.636,2.8,-1.5604621881026155,272
10102.0,aaron nesmith,4.0,32.5,10.8,4.8,1.0,0.0,0.5,2.8,0.294,0.286,0.5,-1.5929729081927377,273
10237.0,mason plumlee,2.0,4.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,,0.0,-1.6053189172052567,274
10279.0,isaac okoro,4.0,24.3,4.8,3.3,1.8,0.3,0.5,0.5,0.32,1.0,1.5,-1.6121191944632354,275
10357.0,gabe vincent,3.0,24.0,3.7,1.0,2.3,1.0,0.0,0.7,0.231,1.0,0.7,-1.6146810513354708,276
10323.0,xavier tillman,4.0,9.8,3.8,2.8,0.5,0.5,0.3,0.3,0.538,,0.3,-1.6198804898563426,277
10495.0,jordan mclaughlin,4.0,8.0,2.5,0.0,0.8,0.8,0.0,0.5,0.429,1.0,0.0,-1.6573661791598977,278
10353.0,daron holmes,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.5,1.0,,0.0,-1.6614386585181289,279
10411.0,eric gordon,2.0,8.0,4.0,0.0,0.0,0.5,0.0,1.0,0.75,,0.5,-1.8373177342440872,280
10493.0,hugo gonzalez,3.0,15.0,2.0,1.7,0.3,1.3,0.3,0.0,0.375,,0.0,-1.8457447352048737,281
10297.0,tre mann,4.0,20.5,6.0,3.3,3.3,1.0,0.0,1.0,0.242,0.8,2.0,-1.9252933380794182,282
10317.0,trayce jackson davis,3.0,8.7,2.7,1.7,0.7,0.7,0.3,0.0,0.333,1.0,0.3,-1.9376699189771445,283
10328.0,jamison battle,3.0,8.7,4.7,2.0,0.0,0.3,0.0,1.3,0.625,,0.7,-1.9404789630694206,284
10121.0,taylor hendricks,4.0,17.3,5.0,4.8,0.3,0.5,0.5,0.5,0.389,0.667,0.8,-2.0179513967741145,285
10343.0,javonte green,5.0,16.2,5.0,2.4,1.0,0.8,0.2,1.0,0.333,0.667,0.4,-2.024119985912238,286
,javon small,5.0,17.8,6.4,1.4,4.2,0.0,0.2,1.2,0.346,0.8,1.4,-2.034419669213464,287
10274.0,mouhamed gueye,5.0,16.4,7.4,3.6,1.4,0.2,0.8,1.0,0.536,0.333,1.0,-2.056620774302089,288
10427.0,branden carlson,3.0,2.3,0.7,0.3,0.0,0.0,0.0,0.0,1.0,,0.0,-2.137224635108853,289
10433.0,duop reath,3.0,5.3,4.0,0.3,0.7,0.0,0.3,1.3,0.5,,0.0,-2.1457494913554602,290
10453.0,asa newell,2.0,14.5,8.5,5.0,0.5,0.0,0.0,2.0,0.5,0.5,1.0,-2.2048236714199145,291
10158.0,lonzo ball,4.0,23.5,4.8,3.8,6.0,1.0,0.0,1.0,0.261,0.6,2.8,-2.2176593296870735,292
10086.0,bradley beal,2.0,20.0,5.5,1.0,1.0,0.5,0.0,0.5,0.444,1.0,1.0,-2.240681304929203,293
